Organism,RA,TAXID,Source,SampleID,Pipeline
Halomonas sp. HL-93,0.1949303001135968,1666906,Expected,S1,bmock12
Muricauda sp. ES.050,0.1803109035791449,1798204,Expected,S1,bmock12
Halomonas sp. HL-4,0.1742779486617887,1761789,Expected,S1,bmock12
Marinobacter sp. LV10R510-8,0.1574862548154059,1415571,Expected,S1,bmock12
Psychrobacter sp. LV10R520-6,0.1111282273531431,1415574,Expected,S1,bmock12
Cohaesibacter sp. ES.047,0.0707015823241948,1798205,Expected,S1,bmock12
Marinobacter sp. LV10MA510-1,0.0487790673722026,1415567,Expected,S1,bmock12
Thioclava sp. ES.032,0.03153435451694,1798206,Expected,S1,bmock12
Propionibacteriaceae bacterium ES.041,0.0116406184580876,1945889,Expected,S1,bmock12
Micromonospora echinofusca DSM 43913,0.0103911171427101,47858,Expected,S1,bmock12
Micromonospora echinaurantiaca DSM 43904,0.0087748486930786,47857,Expected,S1,bmock12
Micromonospora coxensis DSM 45161,4.477696970641089e-05,356852,Expected,S1,bmock12
Bordetella pertussis,0.254083,520,Expected,S1,camisimGI
Bordetella petrii,0.181416,94624,Expected,S1,camisimGI
Bordetella pseudohinzii,0.097345,1331258,Expected,S1,camisimGI
Clostridium aceticum,0.0749789999999999,84022,Expected,S1,camisimGI
Bacteroides thetaiotaomicron,0.066372,818,Expected,S1,camisimGI
Clostridium butyricum,0.032429,1492,Expected,S1,camisimGI
Bacteroides fragilis,0.030973,817,Expected,S1,camisimGI
Clostridium botulinum,0.029805,1491,Expected,S1,camisimGI
Clostridium pasteurianum,0.026549,1501,Expected,S1,camisimGI
Clostridium scatologenes,0.022124,1548,Expected,S1,camisimGI
Fermentimonas caenicola,0.013274,1562970,Expected,S1,camisimGI
Bacteroides salanitronis,0.013274,376805,Expected,S1,camisimGI
Bordetella bronchiseptica,0.013274,518,Expected,S1,camisimGI
Clostridium autoethanogenum,0.009647,84023,Expected,S1,camisimGI
Akkermansia muciniphila,0.00885,239935,Expected,S1,camisimGI
Bacteroides vulgatus,0.00885,821,Expected,S1,camisimGI
[Clostridium] stercorarium,0.00885,1510,Expected,S1,camisimGI
Clostridium acetobutylicum,0.00885,1488,Expected,S1,camisimGI
Escherichia coli,0.00885,562,Expected,S1,camisimGI
Eubacterium limosum,0.00885,1736,Expected,S1,camisimGI
Lachnoclostridium phytofermentans,0.008094,66219,Expected,S1,camisimGI
Clostridium saccharobutylicum,0.0073939999999999,169679,Expected,S1,camisimGI
Bordetella holmesii,0.006979,35814,Expected,S1,camisimGI
Achromobacter xylosoxidans,0.004425,85698,Expected,S1,camisimGI
Bacteroides dorei,0.004425,357276,Expected,S1,camisimGI
Erysipelothrix rhusiopathiae,0.004425,1648,Expected,S1,camisimGI
Burkholderia multivorans,0.004425,87883,Expected,S1,camisimGI
Clostridium carboxidivorans,0.004425,217159,Expected,S1,camisimGI
Bifidobacterium animalis,0.004425,28025,Expected,S1,camisimGI
Bordetella parapertussis,0.004425,519,Expected,S1,camisimGI
Ruminococcus albus,0.004425,1264,Expected,S1,camisimGI
Butyrivibrio hungatei,0.004425,185008,Expected,S1,camisimGI
Clostridium cellulovorans,0.004425,1493,Expected,S1,camisimGI
Odoribacter splanchnicus,0.004425,28118,Expected,S1,camisimGI
Bordetella bronchialis,0.004425,463025,Expected,S1,camisimGI
Clostridium tetani,0.003627,1513,Expected,S1,camisimGI
Clostridium beijerinckii,0.0014099999999999,1520,Expected,S1,camisimGI
Cellulosilyticum lentocellum,0.000755,29360,Expected,S1,camisimGI
Riemerella anatipestifer,0.0,34085,Expected,S1,camisimGI
Bordetella sp. H567,0.0,1697043,Expected,S1,camisimGI
Neisseria weaveri,0.0,28091,Expected,S1,camisimGI
Actinomyces sp. oral taxon 414,0.0,712122,Expected,S1,camisimGI
Burkholderia sp. RPE64,0.0,758793,Expected,S1,camisimGI
Burkholderia cenocepacia,0.0,95486,Expected,S1,camisimGI
Bacteroides helcogenes,0.0,290053,Expected,S1,camisimGI
Staphylococcus xylosus,0.0,1288,Expected,S1,camisimGI
Maribacter sp. T28,0.0,1836467,Expected,S1,camisimGI
Streptococcus gordonii,0.0,1302,Expected,S1,camisimGI
Clostridium estertheticum,0.0,238834,Expected,S1,camisimGI
Prevotella sp. oral taxon 299,0.0,652716,Expected,S1,camisimGI
Streptococcus oralis,0.0,1303,Expected,S1,camisimGI
Gramella flava,0.0,1486245,Expected,S1,camisimGI
Mannheimia varigena,0.0,85404,Expected,S1,camisimGI
Zunongwangia profunda,0.0,398743,Expected,S1,camisimGI
Streptococcus mitis,0.0,28037,Expected,S1,camisimGI
Burkholderia stabilis,0.0,95485,Expected,S1,camisimGI
Burkholderia gladioli,0.0,28095,Expected,S1,camisimGI
Streptococcus parasanguinis,0.0,1318,Expected,S1,camisimGI
Lachnoclostridium sp. YL32,0.0,1834196,Expected,S1,camisimGI
Porphyromonas asaccharolytica,0.0,28123,Expected,S1,camisimGI
Formosa sp. Hel1_33_131,0.0,1336794,Expected,S1,camisimGI
Clostridium formicaceticum,0.0,1497,Expected,S1,camisimGI
Burkholderia pseudomultivorans,0.0,1207504,Expected,S1,camisimGI
Lacinutrix venerupis,0.0,1486034,Expected,S1,camisimGI
Clostridioides difficile,0.0,1496,Expected,S1,camisimGI
Ruminiclostridium sp. KB18,0.0,1834198,Expected,S1,camisimGI
Polaribacter reichenbachii,0.0,996801,Expected,S1,camisimGI
Parabacteroides sp. YL27,0.0,1834200,Expected,S1,camisimGI
Erysipelotrichaceae bacterium I46,0.0,1834207,Expected,S1,camisimGI
Treponema sp. OMZ 838,0.0,1539298,Expected,S1,camisimGI
Treponema caldarium,0.0,215591,Expected,S1,camisimGI
