Species,RA,tax_id
AKKERMANSIA_MUCINIPHILA,0.0018,239935
ALISTIPES_FINEGOLDII,0.013,214856
ANAEROSTIPES_HADRUS,0.0175,649756
BACTEROIDES_THETAIOTAOMICRON,0.0772,818
BACTEROIDES_UNIFORMIS,0.0105,820
BIFIDOBACTERIUM_LONGUM,0.3702,216816
BLAUTIA_WEXLERAE,0.0011,418240
CLOSTRIDIUM_BUTYRICUM,0.1059,1492
COLLINSELLA_AEROFACIENS,0.0199,74426
ESCHERICHIA_COLI,0.0933,562
EUBACTERIUM_HALLII,0.0148,39488
FAECALIBACTERIUM_PRAUSNITZII,0.0016,853
LACTOBACILLUS_GASSERI,0.0026,1596
PARABACTEROIDES_DISTASONIS,0.101,823
PREVOTELLA_COPRI,0.1384,165179
PREVOTELLA_MELANINOGENICA,0.0153,28132
ROSEBURIA_HOMINIS,0.0135,301301
ROSEBURIA_INTESTINALIS,0.0011,166486
RUMINOCOCCUS_GAUVREAUII,0.0012,438033
