Species,RA,tax_id
HALOMONAS_SP._HL-93,0.1949303001135968,1666906
MURICAUDA_SP._ES-050,0.1803109035791449,1798204
HALOMONAS_SP._HL-4,0.1742779486617887,1761789
MARINOBACTER_SP._LV10R510-8,0.1574862548154059,1415571
PSYCHROBACTER_SP._LV10R520-6,0.1111282273531431,1415574
COHAESIBACTER_SP._ES-047,0.0707015823241948,1798205
MARINOBACTER_SP._LV10MA510-1,0.0487790673722026,1415567
THIOCLAVA_SP._ES-032,0.03153435451694,1798206
PROPIONIBACTERIACEAE_BACTERIUM_ES-041,0.0116406184580876,1945889
MICROMONOSPORA_ECHINOFUSCA,0.0103911171427101,47858
MICROMONOSPORA_ECHINAURANTIACA,0.0087748486930786,47857
MICROMONOSPORA_COXENSIS,4.477696970641089e-05,356852
