Species,RA
Bordetella pertussis,0.254083
Bordetella petrii,0.181416
Bordetella pseudohinzii,0.097345
Clostridium aceticum,0.0749789999999999
Bacteroides thetaiotaomicron,0.066372
Clostridium butyricum,0.032429
Bacteroides fragilis,0.030973
Clostridium botulinum,0.029805
Clostridium pasteurianum,0.026549
Clostridium scatologenes,0.022124
Fermentimonas caenicola,0.013274
Bacteroides salanitronis,0.013274
Bordetella bronchiseptica,0.013274
Clostridium autoethanogenum,0.009647
Akkermansia muciniphila,0.00885
Bacteroides vulgatus,0.00885
[Clostridium] stercorarium,0.00885
Clostridium acetobutylicum,0.00885
Escherichia coli,0.00885
Eubacterium limosum,0.00885
Lachnoclostridium phytofermentans,0.008094
Clostridium saccharobutylicum,0.0073939999999999
Bordetella holmesii,0.006979
Achromobacter xylosoxidans,0.004425
Bacteroides dorei,0.004425
Erysipelothrix rhusiopathiae,0.004425
Burkholderia multivorans,0.004425
Clostridium carboxidivorans,0.004425
Bifidobacterium animalis,0.004425
Bordetella parapertussis,0.004425
Ruminococcus albus,0.004425
Butyrivibrio hungatei,0.004425
Clostridium cellulovorans,0.004425
Odoribacter splanchnicus,0.004425
Bordetella bronchialis,0.004425
Clostridium tetani,0.003627
Clostridium beijerinckii,0.0014099999999999
Cellulosilyticum lentocellum,0.000755
