Species,RA,tax_id
TERRIGLOBUS_ROSEUS,2.07,392734
CORYNEBACTERIUM_GLUTAMICUM,0.3,1718
NOCARDIOPSIS_DASSONVILLEI,0.0,2014
OLSENELLA_ULI,2.26,133926
SEGNILIPARUS_ROTUNDUS,1.41,286802
ECHINICOLA_VIETNAMENSIS,0.62,390884
MEIOTHERMUS_SILVANUS,8.56,52022
CLOSTRIDIUM_PERFRINGENS,0.42,1502
CLOSTRIDIUM_THERMOCELLUM,0.43,1515
DESULFOSPOROSINUS_ACIDIPHILUS,15.11,885581
DESULFOSPOROSINUS_MERIDIEI,4.61,79209
DESULFOTOMACULUM_GIBSONIAE,6.91,102134
STREPTOCOCCUS_PYOGENES,0.43,1314
THERMOBACILLUS_COMPOSTI,8.5,377615
ESCHERICHIA_COLI,0.18,562
FRATEURIA_AURANTIA,3.99,81475
HIRSCHIA_BALTICA,8.16,2724
STUTZERIMONAS_STUTZERI,1.55,316
SALMONELLA_BONGORI,0.14,54736
SALMONELLA_ENTERICA,0.52,28901
SPIROCHAETA_SMARAGDINAE,11.39,55206
FERVIDOBACTERIUM_PENNIVORANS,11.26,93466
CORALIOMARGARITA_AKAJIMENSIS,3.41,395922
HALOVIVAX_RUBER,1.75,387341
NATRONOBACTERIUM_GREGORYI,2.46,44930
NATRONOCOCCUS_OCCULTUS,3.55,29288
