Organism,RA
Terriglobus roseus,2.07
Corynebacterium glutamicum,0.3
Nocardiopsis dassonvillei,0
Olsenella uli,2.26
Segniliparus rotundus,1.41
Echinicola vietnamensis,0.62
Meiothermus Silvanus,8.56
Clostridium perfringens,0.42
Clostridium thermocellum,0.43
Desulfosporosinus acidiphilus,15.11
Desulfosporosinus meridiei,4.61
Desulfotomaculum gibsoniae,6.91
Streptococcus pyogenes,0.43
Thermobacillus composti,8.5
Escherichia coli,0.18
Frateuria aurantia,3.99
Hirschia baltica,8.16
Pseudomonas stutzeri,1.55
Salmonella bongori,0.14
Salmonella enterica ,0.52
Spirochaeta smaragdinae,11.39
Fervidobacterium pennivorans,11.26
Coraliomargarita akajimensis,3.41
Halovivax ruber,1.75
Natronobacterium gregoryi,2.46
Natronococcus occultus,3.55
