SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,15,0.9163,0.0035,5.6916,0.8671,0.0064,100.0000,0.0000,bio4
SRR11487932,14,0.9020,0.0037,4.5410,0.8713,0.0067,100.0000,0.0000,bio4
SRR11487933,14,0.9056,0.0034,6.0565,0.8801,0.0064,100.0000,0.0000,bio4
SRR11487934,15,0.8969,0.0032,5.6939,0.8806,0.0065,100.0000,0.0000,bio4
SRR11487935,14,0.9105,0.0032,4.8690,0.8881,0.0061,100.0000,0.0000,bio4
Average,14,0.9063,0.0034,5.3704,0.8774,0.0064,100.0000,0.0000,bio4
SRR11487931,15,0.9019,0.0045,5.9316,0.8303,0.0071,100.0000,0.0000,jams
SRR11487932,16,0.8973,0.0045,9.6443,0.8223,0.0070,100.0000,0.0000,jams
SRR11487933,15,0.9096,0.0043,5.2991,0.8402,0.0066,100.0000,0.0000,jams
SRR11487934,15,0.9006,0.0044,5.4209,0.8332,0.0069,100.0000,0.0000,jams
SRR11487935,15,0.9155,0.0042,6.0090,0.8419,0.0064,100.0000,0.0000,jams
Average,15,0.9050,0.0044,6.4610,0.8336,0.0068,100.0000,0.0000,jams
SRR11487931,16,0.9134,0.0048,6.1797,0.8063,0.0083,100.0000,0.0000,wgsa
SRR11487932,16,0.9112,0.0049,6.4008,0.8046,0.0082,100.0000,0.0000,wgsa
SRR11487933,16,0.9198,0.0046,6.5033,0.8142,0.0076,100.0000,0.0000,wgsa
SRR11487934,16,0.9165,0.0047,6.4448,0.8117,0.0078,100.0000,0.0000,wgsa
SRR11487935,16,0.9235,0.0046,6.2562,0.8179,0.0075,100.0000,0.0000,wgsa
Average,16,0.9169,0.0047,6.3570,0.8109,0.0079,100.0000,0.0000,wgsa
SRR11487931,16,0.3723,0.0086,3.1882,0.6543,0.0166,100.0000,0.0000,wol
SRR11487932,16,0.3532,0.0088,3.2368,0.6454,0.0171,100.0000,0.0000,wol
SRR11487933,16,0.3586,0.0087,3.0849,0.6509,0.0168,100.0000,0.0000,wol
SRR11487934,16,0.3760,0.0086,3.1331,0.6548,0.0165,100.0000,0.0000,wol
SRR11487935,16,0.3660,0.0086,3.0234,0.6564,0.0166,100.0000,0.0000,wol
Average,16,0.3652,0.0087,3.1333,0.6524,0.0167,100.0000,0.0000,wol
