SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,18,0.9157,0.0032,5.2605,0.8568,0.0059,100.0000,0.0015,bio4
SRR11487932,17,0.9028,0.0033,4.8354,0.8612,0.0062,100.0000,0.0000,bio4
SRR11487933,17,0.9066,0.0030,6.2762,0.8715,0.0058,100.0000,0.0000,bio4
SRR11487934,18,0.8966,0.0030,6.2508,0.8632,0.0060,100.0000,0.0095,bio4
SRR11487935,17,0.9113,0.0029,5.1244,0.8773,0.0056,100.0000,0.0000,bio4
Average,17,0.9066,0.0031,5.5495,0.8660,0.0059,100.0000,0.0022,bio4
SRR11487931,76,0.9164,0.0010,14.2781,0.8066,0.0033,100.0000,0.0568,jams
SRR11487932,68,0.9113,0.0012,13.9015,0.8045,0.0036,100.0000,0.0391,jams
SRR11487933,75,0.9217,0.0010,13.4032,0.8141,0.0032,100.0000,0.0400,jams
SRR11487934,76,0.9154,0.0010,14.5752,0.8077,0.0033,94.7368,0.0735,jams
SRR11487935,79,0.9268,0.0009,14.9581,0.8165,0.0030,100.0000,0.0658,jams
Average,75,0.9183,0.0010,14.2232,0.8098,0.0033,98.9474,0.0550,jams
SRR11487931,926,0.9199,0.0001,49.6389,0.8081,0.0011,100.0000,0.2694,wgsa
SRR11487932,952,0.9190,0.0001,50.6412,0.8072,0.0011,100.0000,0.3062,wgsa
SRR11487933,933,0.9279,0.0001,48.6334,0.8179,0.0010,100.0000,0.2666,wgsa
SRR11487934,880,0.9248,0.0001,48.3883,0.8136,0.0011,100.0000,0.2957,wgsa
SRR11487935,869,0.9309,0.0001,46.8386,0.8218,0.0010,100.0000,0.2705,wgsa
Average,912,0.9245,0.0001,48.8281,0.8137,0.0011,100.0000,0.2817,wgsa
SRR11487931,188,0.3997,0.0010,18.0867,0.5343,0.0051,100.0000,4.5266,wol
SRR11487932,196,0.3846,0.0010,18.4624,0.5265,0.0051,100.0000,4.5670,wol
SRR11487933,205,0.3945,0.0009,18.6242,0.5346,0.0049,100.0000,4.5228,wol
SRR11487934,189,0.4066,0.0010,18.0536,0.5407,0.0050,100.0000,4.4647,wol
SRR11487935,198,0.4010,0.0009,18.2778,0.5399,0.0049,100.0000,4.4699,wol
Average,195,0.3973,0.0010,18.3009,0.5352,0.0050,100.0000,4.5102,wol
