SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487931,17,0.9142,0.0034,5.2528,0.8570,0.0060,100.0000,0.0000,bio4
SRR11487932,17,0.9028,0.0033,4.8354,0.8613,0.0062,100.0000,0.0000,bio4
SRR11487933,17,0.9066,0.0030,6.2762,0.8717,0.0058,100.0000,0.0000,bio4
SRR11487934,17,0.8944,0.0032,5.8814,0.8635,0.0062,100.0000,0.0000,bio4
SRR11487935,17,0.9113,0.0029,5.1244,0.8775,0.0056,100.0000,0.0000,bio4
Average,17,0.9059,0.0031,5.4740,0.8662,0.0060,100.0000,0.0000,bio4
SRR11487931,18,0.9007,0.0043,7.8716,0.8087,0.0069,100.0000,0.0000,jams
SRR11487932,18,0.8945,0.0043,7.2568,0.8062,0.0070,100.0000,0.0000,jams
SRR11487933,19,0.9069,0.0039,8.8944,0.8148,0.0063,100.0000,0.0000,jams
SRR11487934,18,0.8980,0.0042,7.3804,0.8101,0.0067,100.0000,0.0000,jams
SRR11487935,17,0.9106,0.0042,6.7833,0.8194,0.0065,100.0000,0.0000,jams
Average,18,0.9021,0.0042,7.6373,0.8118,0.0067,100.0000,0.0000,jams
SRR11487931,17,0.9122,0.0044,4.6517,0.8125,0.0084,100.0000,0.0000,wgsa
SRR11487932,17,0.9108,0.0044,4.7533,0.8110,0.0083,100.0000,0.0000,wgsa
SRR11487933,17,0.9187,0.0042,4.4721,0.8210,0.0077,100.0000,0.0000,wgsa
SRR11487934,17,0.9158,0.0043,4.4548,0.8173,0.0079,100.0000,0.0000,wgsa
SRR11487935,17,0.9223,0.0041,4.4669,0.8255,0.0076,100.0000,0.0000,wgsa
Average,17,0.9160,0.0043,4.5598,0.8175,0.0080,100.0000,0.0000,wgsa
SRR11487931,18,0.2914,0.0083,3.3507,0.6248,0.0177,100.0000,0.0000,wol
SRR11487932,18,0.2756,0.0085,3.4846,0.6160,0.0181,100.0000,0.0000,wol
SRR11487933,18,0.2816,0.0084,3.2745,0.6226,0.0177,100.0000,0.0000,wol
SRR11487934,18,0.2963,0.0083,3.3150,0.6261,0.0175,100.0000,0.0000,wol
SRR11487935,18,0.2883,0.0083,3.2343,0.6285,0.0176,100.0000,0.0000,wol
Average,18,0.2866,0.0084,3.3318,0.6236,0.0177,100.0000,0.0000,wol
