species,SRR11487931,tax_id
AKKERMANSIA_MUCINIPHILA,0.0014032,239935
ALISTIPES_FINEGOLDII,0.0001034,214856
ANAEROSTIPES_HADRUS,0.0120095,649756
BACTEROIDES_THETAIOTAOMICRON,0.07661609999999999,818
BACTEROIDES_UNIFORMIS,0.0020246,820
BIFIDOBACTERIUM_LONGUM,0.40543999999999997,216816
BLAUTIA_WEXLERAE,0.0002567,418240
CLOSTRIDIUM_BUTYRICUM,0.0135385,1492
COLLINSELLA_AEROFACIENS,0.0176075,74426
ESCHERICHIA_COLI,0.1585617,562
EUBACTERIUM_HALLII,0.0087514,39488
FAECALIBACTERIUM_PRAUSNITZII,0.0005252,853
LACTOBACILLUS_PARAGASSERI,7.62e-05,2107999
PARABACTEROIDES_DISTASONIS,0.13185639999999998,823
PREVOTELLA_COPRI,0.12773110000000001,165179
PREVOTELLA_MELANINOGENICA,0.027133400000000002,28132
ROSEBURIA_HOMINIS,0.015609900000000001,301301
ROSEBURIA_INTESTINALIS,0.0007551,166486
