genus,SRR11487932
Agathobaculum,0.0
Akkermansia,0.000101999796000408
Alistipes,0.009201981596036808
Anaerobutyricum,2.6999946000108e-05
Anaerostipes,0.005931988136023728
Anaerotruncus,5.999988000024e-06
Bacteroides,0.10904478191043618
Bifidobacterium,0.4091731816536367
Blautia,6.499987000026e-05
Butyricicoccus,0.0
Clostridioides,0.0
Clostridium,0.019957960084079834
Colidextribacter,0.0
Collinsella,0.010573978852042296
Coprococcus,4.99999000002e-06
Dolosigranulum,0.0
Dorea,8.999982000036e-06
Enterobacter,0.0
Escherichia,0.17683264633470733
Eubacterium,0.0039859920280159436
Faecalibacterium,5.0999898000204e-05
Faecalicatena,0.0
Flavonifractor,0.0
Gemmiger,0.0
Hungatella,0.0
Lachnoanaerobaculum,6.999986000028e-06
Lachnospira,0.0
Lactiplantibacillus,3.999992000016e-06
Lactobacillus,0.000180999638000724
Limosilactobacillus,1.999996000008e-06
Longicatena,0.0
Marvinbryantia,2.999994000012e-06
Massospora,0.0
Odoribacter,0.0
Parabacteroides,0.12836074327851346
Phocaeicola,0.0003749992500015
Prevotella,0.11212077575844849
Pseudoflavonifractor,0.0
Roseburia,0.007213985572028856
Ruminococcus,6.2999874000252e-05
Ruthenibacterium,0.0
Salmonella,0.0
Shigella,2.7999944000112e-05
