species,SRR11487933
Agathobaculum Unclassified NSJ 28,0.0
Akkermansia muciniphila,7.6000076000076e-05
Alistipes Unclassified AF14 19,1.2000012000012e-05
Alistipes Unclassified CHKCI003,8.000008000008e-06
Alistipes Unclassified D31t1 170403 E11,0.0
Alistipes Unclassified HGB5,5.000005000005e-06
Alistipes communis,0.0
Alistipes dispar,0.0
Alistipes finegoldii,0.004908004908004908
Alistipes onderdonkii,0.0
Alistipes shahii,0.0
Anaerostipes Unclassified 992a,0.0
Anaerostipes Unclassified Marseille Q3525,0.0
Anaerostipes butyraticus,3.000003000003e-06
Anaerostipes hadrus,0.006067006067006067
Anaerotruncus rubiinfantis,3.000003000003e-06
Bacteroides Unclassified 224,0.0
Bacteroides Unclassified AR29,0.0
Bacteroides Unclassified CBA7301,0.0
Bacteroides Unclassified L10 4,0.0
Bacteroides acidifaciens,0.0
Bacteroides bouchesdurhonensis,0.0
Bacteroides caccae,3.5000035000035e-05
Bacteroides caecimuris,1.6000016000016e-05
Bacteroides cellulosilyticus,2.2000022000022e-05
Bacteroides eggerthii,0.000343000343000343
Bacteroides faecalis,1.000001000001e-05
Bacteroides faecis,0.000157000157000157
Bacteroides fragilis,0.0
Bacteroides luti,2.3000023000023e-05
Bacteroides ovatus,0.000113000113000113
Bacteroides reticulotermitis,0.0
Bacteroides salyersiae,0.0
Bacteroides thetaiotaomicron,0.10598510598510598
Bacteroides uniformis,1.1000011000011e-05
Bacteroides xylanisolvens,0.0
Bifidobacterium breve,0.0
Bifidobacterium longum,0.3988363988363988
Blautia Unclassified AF19 10LB,1.3000013000013e-05
Blautia Unclassified M29,0.0
Blautia Unclassified MSJ 9,0.0
Blautia Unclassified Marseille P3087,0.0
Blautia faecis,7.000007000007e-06
Blautia luti,0.0
Blautia obeum,4.000004000004e-06
Blautia wexlerae,4.2000042000042e-05
Butyricicoccus pullicaecorum,0.0
Clostridioides difficile,0.0
Clostridium Unclassified 3 3,2.1000021000021e-05
Clostridium Unclassified AF36 18BH,4.000004000004e-06
Clostridium Unclassified BIOML A1,0.0
Clostridium Unclassified C2 6 12,3.3000033000033e-05
Clostridium Unclassified C5S11,1.2000012000012e-05
Clostridium Unclassified D43t1 170807 H7,5.000005000005e-06
Clostridium Unclassified IBUN13A,0.0
Clostridium Unclassified IBUN22A,3.7000037000037e-05
Clostridium Unclassified IBUN62F,8.000008000008e-06
Clostridium Unclassified LS,4.000004000004e-06
Clostridium Unclassified NSJ 6,1.6000016000016e-05
Clostridium Unclassified SM 530 WT 3G,0.000131000131000131
Clostridium Unclassified SS2 1,8.000008000008e-06
Clostridium Unclassified YB 6,0.0
Clostridium algoriphilum,0.0
Clostridium baratii,1.000001000001e-05
Clostridium beijerinckii,5.6000056000056e-05
Clostridium botulinum,2.9000029000029e-05
Clostridium butyricum,0.018573018573018574
Clostridium cadaveris,0.0
Clostridium chauvoei,3.2000032000032e-05
Clostridium chromiireducens,5.000005000005e-06
Clostridium cochlearium,0.0
Clostridium frigidicarnis,9.000009000009e-06
Clostridium hydrogeniformans,0.0
Clostridium neonatale,0.0
Clostridium nigeriense,0.0
Clostridium paraputrificum,7.000007000007e-06
Clostridium perfringens,2.000002000002e-06
Clostridium puniceum,0.0
Clostridium saccharobutylicum,0.000267000267000267
Clostridium saccharoperbutylacetonicum,5.000005000005e-06
Clostridium sardiniense,4.1000041000041e-05
Clostridium taeniosporum,0.0
Clostridium thermobutyricum,0.0
Clostridium tyrobutyricum,6.000006000006e-06
Clostridium vincentii,0.0
Colidextribacter Unclassified 210702 DFI 3 9,0.0
Collinsella Unclassified AF02 46 1,0.0
Collinsella Unclassified AF28 5AC,0.0
Collinsella Unclassified AM17 1,0.0
Collinsella Unclassified AM28 11LB,0.0
Collinsella Unclassified AM33 4BH,0.0
Collinsella Unclassified TF05 9AC,0.0
Collinsella aerofaciens,0.008815008815008815
Coprococcus Unclassified ART55 1,0.0
Coprococcus comes,6.000006000006e-06
Dolosigranulum pigrum,3.000003000003e-06
Dorea Unclassified AM58 8,6.000006000006e-06
Dorea longicatena,0.0
Enterobacter cloacae complex Unclassified ECL112,0.0
Escherichia coli,0.16361916361916362
Eubacterium hallii,0.004433004433004433
Faecalibacterium Unclassified Marseille Q0746,0.0
Faecalibacterium prausnitzii,2.9000029000029e-05
Faecalicatena fissicatena,0.0
Flavonifractor plautii,0.0
Gemmiger formicilis,0.0
Hungatella hathewayi,4.000004000004e-06
Lachnoanaerobaculum Unclassified OBRC5 5,0.0
Lachnospira Unclassified NSJ 43,0.0
Lactiplantibacillus plantarum,0.0
Lactobacillus gasseri,1.1000011000011e-05
Lactobacillus helveticus,0.0
Lactobacillus paragasseri,0.000101000101000101
Limosilactobacillus oris,0.0
Longicatena caecimuris,0.0
Marvinbryantia formatexigens,0.0
Massospora platypediae,0.0
Odoribacter laneus,0.000164000164000164
Parabacteroides Unclassified 52,0.0
Parabacteroides Unclassified CH2 D42 20,0.0
Parabacteroides Unclassified D26,0.0
Parabacteroides Unclassified ZJ 118,0.0
Parabacteroides distasonis,0.1283051283051283
Parabacteroides johnsonii,0.0
Phocaeicola massiliensis,5.7000057000057e-05
Phocaeicola plebeius,4.000004000004e-06
Prevotella Unclassified ICM33,0.0
Prevotella copri,0.10136910136910136
Prevotella denticola,0.0
Prevotella histicola,0.0
Prevotella jejuni,2.000002000002e-06
Prevotella melaninogenica,0.01793001793001793
Prevotella scopos,0.0
Pseudoflavonifractor phocaeensis,0.0
Roseburia Unclassified AM51 8,5.000005000005e-06
