species,SRR11487933,tax_id
BIFIDOBACTERIUM_LONGUM,0.3988363988363988,216816
ESCHERICHIA_COLI,0.16361916361916362,562
PARABACTEROIDES_DISTASONIS,0.1283051283051283,823
BACTEROIDES_THETAIOTAOMICRON,0.10598510598510598,818
PREVOTELLA_COPRI,0.10136910136910136,165179
UNCLASSIFIED,0.031503031503031506,12908
CLOSTRIDIUM_BUTYRICUM,0.018573018573018574,1492
PREVOTELLA_MELANINOGENICA,0.01793001793001793,28132
COLLINSELLA_AEROFACIENS,0.008815008815008815,74426
ROSEBURIA_HOMINIS,0.0074360074360074364,301301
ANAEROSTIPES_HADRUS,0.006067006067006067,649756
ALISTIPES_FINEGOLDII,0.004908004908004908,214856
ANAEROBUTYRICUM_HALLII,0.004433004433004433,39488
BACTEROIDES_EGGERTHII,0.000343000343000343,28111
CLOSTRIDIUM_SACCHAROBUTYLICUM,0.000267000267000267,169679
ODORIBACTER_LANEUS,0.000164000164000164,626933
BACTEROIDES_FAECIS,0.000157000157000157,674529
CLOSTRIDIUM_SP._SM-530-WT-3G,0.000131000131000131,2725303
BACTEROIDES_OVATUS,0.000113000113000113,28116
LACTOBACILLUS_PARAGASSERI,0.000101000101000101,2107999
AKKERMANSIA_MUCINIPHILA,7.6000076000076e-05,239935
ROSEBURIA_INTESTINALIS,7.4000074000074e-05,166486
PHOCAEICOLA_MASSILIENSIS,5.7000057000057e-05,204516
CLOSTRIDIUM_BEIJERINCKII,5.6000056000056e-05,1520
BLAUTIA_WEXLERAE,4.2000042000042e-05,418240
CLOSTRIDIUM_SARDINIENSE,4.1000041000041e-05,29369
RUMINOCOCCUS_GAUVREAUII,4.000004000004e-05,438033
CLOSTRIDIUM_SP._IBUN22A,3.7000037000037e-05,1523155
BACTEROIDES_CACCAE,3.5000035000035e-05,47678
CLOSTRIDIUM_SP._C2-6-12,3.3000033000033e-05,2698832
CLOSTRIDIUM_CHAUVOEI,3.2000032000032e-05,46867
SALMONELLA_ENTERICA,3.000003000003e-05,28901
CLOSTRIDIUM_BOTULINUM,2.9000029000029e-05,1491
FAECALIBACTERIUM_PRAUSNITZII,2.9000029000029e-05,853
BACTEROIDES_LUTI,2.3000023000023e-05,1297750
BACTEROIDES_CELLULOSILYTICUS,2.2000022000022e-05,246787
CLOSTRIDIUM_SP._3-3,2.1000021000021e-05,2070757
ROSEBURIA_INULINIVORANS,1.6000016000016e-05,360807
BACTEROIDES_CAECIMURIS,1.6000016000016e-05,1796613
CLOSTRIDIUM_SP._NSJ-6,1.6000016000016e-05,2763036
BLAUTIA_SP._AF19-10LB,1.3000013000013e-05,2292961
CLOSTRIDIUM_SP._C5S11,1.2000012000012e-05,704125
ALISTIPES_SP._AF14-19,1.2000012000012e-05,2292910
BACTEROIDES_UNIFORMIS,1.1000011000011e-05,820
LACTOBACILLUS_GASSERI,1.1000011000011e-05,1596
BACTEROIDES_FAECALIS,1.000001000001e-05,2447885
CLOSTRIDIUM_BARATII,1.000001000001e-05,1561
CLOSTRIDIUM_FRIGIDICARNIS,9.000009000009e-06,84698
CLOSTRIDIUM_SP._SS2-1,8.000008000008e-06,411484
CLOSTRIDIUM_SP._IBUN62F,8.000008000008e-06,1523157
ALISTIPES_SP._CHKCI003,8.000008000008e-06,1780376
RUMINOCOCCUS_TORQUES,7.000007000007e-06,33039
CLOSTRIDIUM_PARAPUTRIFICUM,7.000007000007e-06,29363
BLAUTIA_FAECIS,7.000007000007e-06,871665
COPROCOCCUS_COMES,6.000006000006e-06,410072
DOREA_SP._AM58-8,6.000006000006e-06,2292346
CLOSTRIDIUM_TYROBUTYRICUM,6.000006000006e-06,1519
ALISTIPES_SP._HGB5,5.000005000005e-06,908612
ROSEBURIA_SP._AM51-8,5.000005000005e-06,2292366
CLOSTRIDIUM_CHROMIIREDUCENS,5.000005000005e-06,225345
CLOSTRIDIUM_SACCHAROPERBUTYLACETONICUM,5.000005000005e-06,36745
CLOSTRIDIUM_SP._D43T1-170807-H7,5.000005000005e-06,2787140
PHOCAEICOLA_PLEBEIUS,4.000004000004e-06,310297
HUNGATELLA_HATHEWAYI,4.000004000004e-06,154046
BLAUTIA_OBEUM,4.000004000004e-06,40520
CLOSTRIDIUM_SP._LS,4.000004000004e-06,1352601
CLOSTRIDIUM_SP._AF36-18BH,4.000004000004e-06,2293014
DOLOSIGRANULUM_PIGRUM,3.000003000003e-06,29394
ROSEBURIA_FAECIS,3.000003000003e-06,301302
RUMINOCOCCUS_LACTARIS,3.000003000003e-06,46228
ANAEROSTIPES_BUTYRATICUS,3.000003000003e-06,645466
ANAEROTRUNCUS_RUBIINFANTIS,3.000003000003e-06,1720200
PREVOTELLA_JEJUNI,2.000002000002e-06,1177574
RUMINOCOCCUS_SP._AF41-9,2.000002000002e-06,2292069
RUMINOCOCCUS_SP._AM40-10AC,2.000002000002e-06,2293212
CLOSTRIDIUM_PERFRINGENS,2.000002000002e-06,1502
PARABACTEROIDES_SP._D26,0.0,658662
PARABACTEROIDES_SP._CH2-D42-20,0.0,2320086
PARABACTEROIDES_JOHNSONII,0.0,387661
PARABACTEROIDES_SP._ZJ-118,0.0,2709398
CLOSTRIDIUM_SP._BIOML-A1,0.0,2584627
PARABACTEROIDES_SP._52,0.0,2302940
BACTEROIDES_SP._224,0.0,2302936
