genus,SRR11487935,tax_id
BIFIDOBACTERIUM,0.4025222075666227,1678
ESCHERICHIA,0.16617449852349558,561
PARABACTEROIDES,0.12857038571115714,375288
PREVOTELLA,0.12081836245508737,838
BACTEROIDES,0.11200733602200806,816
CLOSTRIDIUM,0.029495088485265455,1485
COLLINSELLA,0.008236024708074125,102106
ROSEBURIA,0.006914020742062226,841
ALISTIPES,0.006112018336055008,239759
ANAEROSTIPES,0.006093018279054837,207244
ANAEROBUTYRICUM,0.00447001341004023,2569097
SHIGELLA,0.000592001776005328,620
PHOCAEICOLA,0.00023400070200210602,909656
LACTOBACILLUS,0.00014000042000126,1578
BLAUTIA,0.000109000327000981,572511
AKKERMANSIA,6.8000204000612e-05,239934
RUMINOCOCCUS,3.8000114000342e-05,1263
COPROCOCCUS,2.1000063000189e-05,33042
DOREA,1.9000057000171e-05,189330
FAECALIBACTERIUM,1.4000042000126001e-05,216851
FLAVONIFRACTOR,9.000027000081e-06,946234
COLIDEXTRIBACTER,3.000009000027e-06,1980681
LONGICATENA,3.000009000027e-06,1918536
HUNGATELLA,2.000006000018e-06,1649459
CLOSTRIDIOIDES,2.000006000018e-06,1870884
LACHNOSPIRA,2.000006000018e-06,28050
LACTIPLANTIBACILLUS,2.000006000018e-06,2767842
PSEUDOFLAVONIFRACTOR,0.0,1017280
MASSOSPORA,0.0,348616
RUTHENIBACTERIUM,0.0,1905344
SALMONELLA,0.0,590
ODORIBACTER,0.0,283168
AGATHOBACULUM,0.0,2048137
MARVINBRYANTIA,0.0,248744
LIMOSILACTOBACILLUS,0.0,2742598
LACHNOANAEROBACULUM,0.0,1164882
GEMMIGER,0.0,204475
EUBACTERIUM,0.0,1730
ENTEROBACTER,0.0,547
DOLOSIGRANULUM,0.0,29393
BUTYRICICOCCUS,0.0,580596
ANAEROTRUNCUS,0.0,244127
FAECALICATENA,0.0,2005359
