genus,SRR11487933,tax_id
BIFIDOBACTERIUM,0.3996012007975984,1678
ESCHERICHIA,0.1680946638106724,561
PARABACTEROIDES,0.1296997406005188,375288
PREVOTELLA,0.11995576008847982,838
BACTEROIDES,0.11490377019245962,816
CLOSTRIDIUM,0.026945946108107785,1485
COLLINSELLA,0.009068981862036276,102106
ROSEBURIA,0.0076769846460307085,841
ALISTIPES,0.006598986802026396,239759
ANAEROSTIPES,0.006556986886026228,207244
ANAEROBUTYRICUM,0.004515990968018063,2569097
UNCLASSIFIED,0.000856998286003428,12908
SALMONELLA,0.00024499951000098,590
LACTOBACILLUS,0.00021999956000088,1578
ODORIBACTER,0.000163999672000656,283168
BLAUTIA,9.3999812000376e-05,572511
AKKERMANSIA,7.5999848000304e-05,239934
RUMINOCOCCUS,5.499989000022e-05,1263
FAECALIBACTERIUM,4.8999902000196e-05,216851
PHOCAEICOLA,3.1999936000128e-05,909656
DOREA,7.999984000032e-06,189330
PSEUDOFLAVONIFRACTOR,7.999984000032e-06,1017280
COPROCOCCUS,5.999988000024e-06,33042
HUNGATELLA,3.999992000016e-06,1649459
MEGASPHAERA,3.999992000016e-06,906
INTESTINIMONAS,2.999994000012e-06,1392389
PSEUDORHODOFERAX,0.0,747294
LONGICATENA,0.0,1918536
SHIGELLA,0.0,620
MASSOSPORA,0.0,348616
AGATHOBACULUM,0.0,2048137
LIMOSILACTOBACILLUS,0.0,2742598
LACTIPLANTIBACILLUS,0.0,2767842
LACHNOSPIRA,0.0,28050
GEMMIGER,0.0,204475
FAECALICATENA,0.0,2005359
EXTIBACTER,0.0,1918452
ENTEROCLOSTER,0.0,2719313
ENTEROBACTER,0.0,547
COLIDEXTRIBACTER,0.0,1980681
CLOSTRIDIOIDES,0.0,1870884
BUTYRICICOCCUS,0.0,580596
ANAEROTRUNCUS,0.0,244127
FLAVONIFRACTOR,0.0,946234
