Species,RA,TAX_ID
Bifidobacterium longum,0.40706092697605933,216816
Bacteroides thetaiotaomicron,0.09164319964284334,818
Prevotella copri,0.08740840348399449,165179
Parabacteroides distasonis,0.07732259144626982,823
Escherichia coli,0.017567535662006174,562
Prevotella melaninogenica,0.015975999244476305,28132
Clostridium butyricum,0.015663701808534842,1492
Alistipes finegoldii,0.011009826100767972,214856
Collinsella aerofaciens,0.010352499023399771,74426
Roseburia hominis,0.009859369566990482,301301
Anaerostipes hadrus,0.006450390854729106,649756
Anaerobutyricum hallii,0.005756575417147812,39488
unclassified,0.002782237466248267,12908
Bacteroides uniformis,0.001834613287772965,820
Akkermansia muciniphila,0.0014348511060265892,239935
Roseburia intestinalis,0.0009347459336942103,166486
Eggerthella lenta,0.0005569840867821988,84112
Escherichia albertii,0.0005516181514567441,208962
Shigella flexneri,0.0005242518812969251,623
Escherichia marmotae,0.00046254362505419595,1499973
Escherichia fergusonii,0.00041371361359255807,564
Escherichia sp. E4742,0.0003412734866989195,2044467
Salmonella enterica,0.00032249271305982805,28901
Lactobacillus paragasseri,0.00025434533442655324,2107999
Shigella dysenteriae,0.0002323449995921889,622
Bifidobacterium breve,0.0002291254383969161,1685
Klebsiella pneumoniae,0.00016527080802400504,573
Citrobacter freundii,0.00013039222840854943,546
Shigella sonnei,0.00012985563487600396,624
Shigella boydii,0.0001277092607458221,621
Enterobacter cloacae,0.00010087958411854854,550
Blautia obeum,9.497705526054836e-05,40520
Lactobacillus phage phiadh,8.370859107709347e-05,12417
Bifidobacterium bifidum,7.083034629600217e-05,1681
Lelliottia amnigena,6.868397216582028e-05,61646
Citrobacter farmeri,6.492781743800198e-05,67824
Eubacterium limosum,6.331803684036558e-05,1736
Enterobacter hormaechei,5.848869504745633e-05,158836
Limosilactobacillus fermentum,5.4195946787092566e-05,1613
Leclercia adecarboxylata,5.2049572656910684e-05,83655
Citrobacter amalonaticus,4.9903198526728795e-05,35703
Citrobacter rodentium,4.775682439654691e-05,67825
Salmonella bongori,4.561045026636503e-05,54736
Citrobacter sp. RHB25-C09,4.400066966872862e-05,2742624
Citrobacter sp. R56,4.346407613618315e-05,1573676
Klebsiella quasipneumoniae,4.1854295538546736e-05,1463165
Parabacteroides merdae,4.078110847345579e-05,46503
Klebsiella oxytoca,4.024451494091032e-05,571
Ruminococcus gnavus,3.970792140836485e-05,33038
Enterobacter lignolyticus,3.917132787581938e-05,1334193
Blautia sp. SC05B48,3.917132787581938e-05,2479767
Pseudocitrobacter sp. G163CM,3.917132787581938e-05,2891570
Blautia massiliensis,3.863473434327391e-05,1737424
Cedecea neteri,3.7024953745637496e-05,158822
Yokenella regensburgei,3.7024953745637496e-05,158877
Parabacteroides goldsteinii,3.595176668054655e-05,328812
Enterobacter sp. SA187,3.541517314800108e-05,1914861
Klebsiella aerogenes,3.487857961545561e-05,548
Gordonibacter pamelaeae,3.2732205485273726e-05,471189
Jejubacter calystegiae,3.219561195272826e-05,2579935
Alistipes communis,3.219561195272826e-05,2585118
Dorea longicatena,3.219561195272826e-05,88431
Citrobacter koseri,3.112242488763731e-05,545
Enterobacter sp. JUb54,3.112242488763731e-05,2724468
Citrobacter tructae,2.790286369236449e-05,2562449
Leclercia pneumoniae,2.7366270159819017e-05,2815358
Enterobacter roggenkampii,2.682967662727355e-05,1812935
Enterobacter asburiae,2.682967662727355e-05,61645
Kluyvera ascorbata,2.682967662727355e-05,51288
Scandinavium goeteborgense,2.6293083094728076e-05,1851514
Pluralibacter gergoviae,2.6293083094728076e-05,61647
Bifidobacterium scardovii,2.6293083094728076e-05,158787
Blautia sp. NBRC 113351,2.5756489562182604e-05,2877527
Klebsiella huaxiensis,2.5756489562182604e-05,2153354
Cronobacter sakazakii,2.5756489562182604e-05,28141
Kosakonia cowanii,2.5219896029637135e-05,208223
Phytobacter ursingii,2.4683302497091663e-05,1972431
Bifidobacterium saguini,2.4683302497091663e-05,762210
Blautia pseudococcoides,2.3610115432000722e-05,1796616
Lactobacillus gasseri,2.307352189945525e-05,1596
Raoultella ornithinolytica,2.2536928366909778e-05,54291
Bacteroides fragilis,2.200033483436431e-05,817
Kosakonia sacchari,2.200033483436431e-05,1158459
Klebsiella variicola,2.1463741301818837e-05,244366
Citrobacter werkmanii,2.1463741301818837e-05,67827
Bacteroides ovatus,2.1463741301818837e-05,28116
Klebsiella michiganensis,2.0927147769273368e-05,1134687
Enterobacter cancerogenus,2.0927147769273368e-05,69218
Faecalicatena sp. Marseille-Q4148,2.0927147769273368e-05,2823316
Enterobacter sp. RHBSTW-00994,2.0390554236727896e-05,2742676
Atlantibacter hermannii,2.0390554236727896e-05,565
Bacteroides cellulosilyticus,2.0390554236727896e-05,246787
Berryella intestinalis,1.9853960704182424e-05,1531429
