Genus,RA,TAX_ID
Bifidobacterium,0.4202402731449466,1678
Parabacteroides,0.12103732597071867,375288
Prevotella,0.10489958593843977,838
Bacteroides,0.10257929053690039,816
Escherichia,0.03340370232491319,561
Clostridium,0.019241348918269164,1485
Alistipes,0.011613449047852244,239759
Roseburia,0.010531974753817798,841
Collinsella,0.010083308296566817,102106
Anaerostipes,0.006722015498661127,207244
Anaerobutyricum,0.005890243756438535,2569097
unclassified,0.0028322426424687032,12908
Akkermansia,0.0014748413277106552,239934
Citrobacter,0.0011510261463656022,544
Shigella,0.001047268465019124,620
Faecalibacterium,0.0009013235945537479,216851
Enterobacter,0.000779892901549353,547
Lactobacillus,0.0005866299676127809,1578
Klebsiella,0.0005604054987010336,570
Eggerthella,0.0005552746243487353,84111
Salmonella,0.0004543674287535339,590
Blautia,0.000296450518132795,572511
Kosakonia,0.00020010409973963663,1330547
Leclercia,0.00016019729922176038,83654
Raoultella,0.00010546797279724438,160674
Lelliottia,8.836505828958313e-05,1330545
Cronobacter,8.323418393728475e-05,413496
Cedecea,8.266408678702938e-05,158483
Kluyvera,7.411262953319875e-05,579
Limosilactobacillus,6.784156088038962e-05,2742598
Mediterraneibacter,6.784156088038962e-05,2316020
Eubacterium,6.214058937783588e-05,1730
Pluralibacter,5.814990932604825e-05,1330546
Yokenella,4.1617091968642376e-05,158876
Pseudocitrobacter,4.0476897668131624e-05,1504576
Coprococcus,4.0476897668131624e-05,33042
Buttiauxella,3.933670336762088e-05,82976
Jejubacter,3.8196509067110126e-05,2815296
Dorea,3.1925440414301e-05,189330
Scandinavium,2.7934760362513377e-05,2726810
Pseudescherichia,2.7364663212258e-05,2055880
Aeromonas,2.7364663212258e-05,642
Enterococcus,2.6224468911747252e-05,1350
Gordonibacter,2.5654371761491876e-05,644652
Lachnoclostridium,2.4514177460981127e-05,1506553
Phytobacter,2.4514177460981127e-05,447792
Atlantibacter,2.3373983160470375e-05,1903434
Shimwellia,2.1093594559448874e-05,1335483
Faecalicatena,1.8243108808172e-05,2005359
Plesiomonas,1.7102914507661252e-05,702
Berryella,1.4822525906639751e-05,2815775
Phocaeicola,1.3682331606129e-05,909656
Homo,1.3112234455873626e-05,9605
Wansuia,1.0831845854852125e-05,2944198
Pseudomonas,1.026174870459675e-05,286
Clostridioides,1.026174870459675e-05,1870884
Enterocloster,1.026174870459675e-05,2719313
Massilistercora,9.691651554341375e-06,2717089
Vibrio,9.691651554341375e-06,662
Symbiopectobacterium,8.551457253830626e-06,801
Lactiplantibacillus,8.551457253830626e-06,2767842
Serratia,8.551457253830626e-06,613
Parolsenella,7.98136010357525e-06,2082587
Paenibacillus,7.4112629533198755e-06,44249
Butyrivibrio,7.4112629533198755e-06,830
Novisyntrophococcus,7.4112629533198755e-06,2888809
Lacrimispora,6.8411658030645e-06,2719231
Simiaoa,6.271068652809125e-06,2944193
Cutibacterium,6.271068652809125e-06,1912216
Streptomyces,6.271068652809125e-06,1883
Acinetobacter,6.271068652809125e-06,469
Flavonifractor,5.70097150255375e-06,946234
Bacillus,5.130874352298375e-06,1386
Yersinia,5.130874352298375e-06,629
Erysipelatoclostridium,5.130874352298375e-06,1505663
Mageeibacillus,4.560777202043e-06,1637257
Streptococcus,4.560777202043e-06,1301
Proteus,4.560777202043e-06,583
Sellimonas,3.990680051787625e-06,1769710
Paraprevotella,3.990680051787625e-06,577309
Dickeya,3.990680051787625e-06,204037
Candidatus Blochmannia,3.42058290153225e-06,203804
Sphingomonas,3.42058290153225e-06,13687
Edwardsiella,3.42058290153225e-06,635
Pantoea,3.42058290153225e-06,53335
Pusillibacter,3.42058290153225e-06,2892397
Wujia,2.850485751276875e-06,2944152
Photobacterium,2.850485751276875e-06,657
Burkholderia,2.850485751276875e-06,32008
Erwinia,2.850485751276875e-06,551
Lacticaseibacillus,2.2803886010215e-06,2759736
Odoribacter,2.2803886010215e-06,283168
Porphyromonas,2.2803886010215e-06,836
Coprobacter,2.2803886010215e-06,1348911
Jeotgalibaca,2.2803886010215e-06,1470540
Lactococcus,2.2803886010215e-06,1357
Rahnella,2.2803886010215e-06,34037
Aminipila,2.2803886010215e-06,2060094
Anaerocolumna,2.2803886010215e-06,1843210
Francisella,2.2803886010215e-06,262
Actinomyces,2.2803886010215e-06,1654
Hafnia,2.2803886010215e-06,568
Buchnera,2.2803886010215e-06,32199
Rhizobium,2.2803886010215e-06,379
Olsenella,2.2803886010215e-06,133925
Thermophilibacter,2.2803886010215e-06,2847307
Raoultibacter,2.2803886010215e-06,1926677
Candidatus Hamiltonella,2.2803886010215e-06,568987
Arabiibacter,2.2803886010215e-06,2005386
Hungatella,2.2803886010215e-06,1649459
Photorhabdus,2.2803886010215e-06,29487
Xenorhabdus,2.2803886010215e-06,626
Morganella,2.2803886010215e-06,581
Pseudoalteromonas,1.710291450766125e-06,53246
Candidatus Doolittlea,1.710291450766125e-06,1906657
Xanthomonas,1.710291450766125e-06,338
Candidatus Mikella,1.710291450766125e-06,1906660
Candidatus Moranella,1.710291450766125e-06,1048757
Pectobacterium,1.710291450766125e-06,122277
Variovorax,1.710291450766125e-06,34072
Synechococcus,1.710291450766125e-06,1129
Providencia,1.710291450766125e-06,586
Chryseobacterium,1.710291450766125e-06,59732
Neisseria,1.710291450766125e-06,482
Massilia,1.710291450766125e-06,149698
Legionella,1.710291450766125e-06,445
Ravinvirus,1.710291450766125e-06,308911
Curtobacterium,1.710291450766125e-06,2034
Dysosmobacter,1.710291450766125e-06,2591381
Microbacterium,1.710291450766125e-06,33882
Christensenella,1.710291450766125e-06,990721
Qiania,1.710291450766125e-06,2944195
Lachnospira,1.710291450766125e-06,28050
Ruminococcus,1.710291450766125e-06,1263
Flintibacter,1.710291450766125e-06,1918454
Pseudobutyrivibrio,1.710291450766125e-06,46205
Ligilactobacillus,1.710291450766125e-06,2767887
Vagococcus,1.14019430051075e-06,2737
Nocardioides,1.14019430051075e-06,1839
Herbinix,1.14019430051075e-06,1663717
Rhodoferax,1.14019430051075e-06,28065
Anaeromyxobacter,1.14019430051075e-06,161492
Sodalis,1.14019430051075e-06,84565
Apibacter,1.14019430051075e-06,1778601
Pseudogulbenkiania,1.14019430051075e-06,568394
Aestuarium,1.14019430051075e-06,2820509
Carnobacterium,1.14019430051075e-06,2747
Syntrophomonas,1.14019430051075e-06,862
Slackia,1.14019430051075e-06,84108
Polaribacter,1.14019430051075e-06,52959
Saccharopolyspora,1.14019430051075e-06,1835
Actinomadura,1.14019430051075e-06,1988
Mesorhizobium,1.14019430051075e-06,68287
Maritalea,1.14019430051075e-06,623276
Selenomonas,1.14019430051075e-06,970
Intestinimonas,1.14019430051075e-06,1392389
Mycolicibacterium,1.14019430051075e-06,1866885
Phascolarctobacterium,1.14019430051075e-06,33024
Actinobacillus,1.14019430051075e-06,713
Helcococcus,1.14019430051075e-06,31983
Histophilus,1.14019430051075e-06,214906
Nostoc,1.14019430051075e-06,1177
Candidatus Profftia,1.14019430051075e-06,1177214
Dissulfurispira,1.14019430051075e-06,2811506
Ahniella,1.14019430051075e-06,2233801
Candidatus Purcelliella,1.14019430051075e-06,472825
Acutalibacter,1.14019430051075e-06,1918385
Sarcina,1.14019430051075e-06,1266
Amedibacterium,1.14019430051075e-06,2749267
Stutzerimonas,1.14019430051075e-06,2901164
Acidithiobacillus,1.14019430051075e-06,119977
Corynebacterium,1.14019430051075e-06,1716
Sporosarcina,1.14019430051075e-06,1569
Desulfobacca,1.14019430051075e-06,60892
Aureimonas,5.70097150255375e-07,414371
Brucella,5.70097150255375e-07,234
Candidatus Hodgkinia,5.70097150255375e-07,573657
Methylobacterium,5.70097150255375e-07,407
Methylomonas,5.70097150255375e-07,416
Bosea,5.70097150255375e-07,85413
Methylocystis,5.70097150255375e-07,133
Haemophilus,5.70097150255375e-07,724
Psychromicrobium,5.70097150255375e-07,2078575
Piscirickettsia,5.70097150255375e-07,1237
Thiomicrorhabdus,5.70097150255375e-07,2039723
Brevibacterium,5.70097150255375e-07,1696
Psychrosphaera,5.70097150255375e-07,907197
Paraglaciecola,5.70097150255375e-07,1621534
Rheinheimera,5.70097150255375e-07,67575
Thioflavicoccus,5.70097150255375e-07,156885
Candidatus Nitrosacidococcus,5.70097150255375e-07,2796146
Caldichromatium,5.70097150255375e-07,2828366
Leifsonia,5.70097150255375e-07,110932
Candidatus Nardonella,5.70097150255375e-07,204619
Celerinatantimonas,5.70097150255375e-07,412033
Sulfurifustis,5.70097150255375e-07,1692042
Gulosibacter,5.70097150255375e-07,256818
Ensifer,5.70097150255375e-07,106591
Bradyrhizobium,5.70097150255375e-07,374
Novosphingobium,5.70097150255375e-07,165696
Pontivivens,5.70097150255375e-07,1844015
Aquisphaera,5.70097150255375e-07,1511635
Desulfonema,5.70097150255375e-07,45654
Desulfoluna,5.70097150255375e-07,497721
Salidesulfovibrio,5.70097150255375e-07,2950010
Helicobacter,5.70097150255375e-07,209
Sulfurimonas,5.70097150255375e-07,202746
Tessaracoccus,5.70097150255375e-07,72763
Gimesia,5.70097150255375e-07,1649453
Gemmata,5.70097150255375e-07,113
Chlamydia,5.70097150255375e-07,810
Pyxidicoccus,5.70097150255375e-07,224458
Treponema,5.70097150255375e-07,157
Leadbettera,5.70097150255375e-07,2951107
Brachyspira,5.70097150255375e-07,29521
Leptospira,5.70097150255375e-07,171
Pseudoleptotrichia,5.70097150255375e-07,2755140
Microlunatus,5.70097150255375e-07,29404
Methanocaldococcus,5.70097150255375e-07,196118
Methanohalophilus,5.70097150255375e-07,2175
Haliangium,5.70097150255375e-07,162027
Sulfuritalea,5.70097150255375e-07,1054211
Cereibacter,5.70097150255375e-07,1653176
Candidatus Gromoviella,5.70097150255375e-07,2900571
Pelagovum,5.70097150255375e-07,2795377
Leisingera,5.70097150255375e-07,191028
Dinoroseobacter,5.70097150255375e-07,309512
Saccharospirillum,5.70097150255375e-07,231683
Hirschia,5.70097150255375e-07,2723
Candidatus Pelagibacter,5.70097150255375e-07,198251
Micavibrio,5.70097150255375e-07,213485
Gluconobacter,5.70097150255375e-07,441
Comamonas,5.70097150255375e-07,283
Sutterella,5.70097150255375e-07,40544
Friedmanniella,5.70097150255375e-07,53387
Chitinimonas,5.70097150255375e-07,240411
Achromobacter,5.70097150255375e-07,222
Bordetella,5.70097150255375e-07,517
Taylorella,5.70097150255375e-07,29574
Orrella,5.70097150255375e-07,1921582
Aeromicrobium,5.70097150255375e-07,2040
Janthinobacterium,5.70097150255375e-07,29580
Litoricola,5.70097150255375e-07,418700
Grimontia,5.70097150255375e-07,246861
Alcanivorax,5.70097150255375e-07,59753
Melioribacter,5.70097150255375e-07,1134403
Myroides,5.70097150255375e-07,76831
Flavobacterium,5.70097150255375e-07,237
Winogradskyella,5.70097150255375e-07,286104
Pontibacillus,5.70097150255375e-07,289201
Olivibacter,5.70097150255375e-07,376469
Mucilaginibacter,5.70097150255375e-07,423349
Larkinella,5.70097150255375e-07,332157
Peribacillus,5.70097150255375e-07,2675229
Parageobacillus,5.70097150255375e-07,1906945
Thalassolituus,5.70097150255375e-07,187492
Aneurinibacillus,5.70097150255375e-07,55079
Brevibacillus,5.70097150255375e-07,55080
Dolosigranulum,5.70097150255375e-07,29393
Latilactobacillus,5.70097150255375e-07,2767885
Weissella,5.70097150255375e-07,46255
Tepidanaerobacter,5.70097150255375e-07,499228
Caldicellulosiruptor,5.70097150255375e-07,44000
Halobacteroides,5.70097150255375e-07,42417
Tenuifilum,5.70097150255375e-07,2760873
Paludibacter,5.70097150255375e-07,346096
Sodaliphilus,5.70097150255375e-07,2815786
Duncaniella,5.70097150255375e-07,2518495
Megasphaera,5.70097150255375e-07,906
Finegoldia,5.70097150255375e-07,150022
Brasilonema,5.70097150255375e-07,383614
Calothrix,5.70097150255375e-07,1186
Faecalibacillus,5.70097150255375e-07,2678885
Cyanobacterium,5.70097150255375e-07,102234
Thermus,5.70097150255375e-07,270
Malacoplasma,5.70097150255375e-07,2791001
Longicatena,5.70097150255375e-07,1918536
Tannerella,5.70097150255375e-07,195950
Faecalitalea,5.70097150255375e-07,1573534
Allobaculum,5.70097150255375e-07,174708
Erysipelothrix,5.70097150255375e-07,1647
Alicyclobacillus,5.70097150255375e-07,29330
Planococcus,5.70097150255375e-07,1372
Barnesiella,5.70097150255375e-07,397864
Anoxybacillus,5.70097150255375e-07,150247
Desulfoscipio,5.70097150255375e-07,2867376
Petrocella,5.70097150255375e-07,2603323
Vallitalea,5.70097150255375e-07,1348611
Actinocatenispora,5.70097150255375e-07,390988
Obesumbacterium,5.70097150255375e-07,82982
Pragia,5.70097150255375e-07,82984
Actinoplanes,5.70097150255375e-07,1865
Tolumonas,5.70097150255375e-07,43947
Schaalia,5.70097150255375e-07,2529408
Dietzia,5.70097150255375e-07,37914
Megamonas,5.70097150255375e-07,158846
Azotobacter,5.70097150255375e-07,352
Permianibacter,5.70097150255375e-07,1649479
Marinobacter,5.70097150255375e-07,2742
Mycobacterium,5.70097150255375e-07,1763
Lysobacter,5.70097150255375e-07,68
Luteimonas,5.70097150255375e-07,83614
Zymobacter,5.70097150255375e-07,33073
Candidatus Carsonella,5.70097150255375e-07,114185
Halomonas,5.70097150255375e-07,2745
Neptunomonas,5.70097150255375e-07,75687
Salinispora,5.70097150255375e-07,168694
Lonsdalea,5.70097150255375e-07,1082702
Desulforamulus,5.70097150255375e-07,2916693
Phytohabitans,5.70097150255375e-07,907364
Desulfofarcimen,5.70097150255375e-07,2282742
Terrisporobacter,5.70097150255375e-07,1505652
Emergencia,5.70097150255375e-07,1926556
Acetobacterium,5.70097150255375e-07,33951
Ruminiclostridium,5.70097150255375e-07,1508657
Anaerotruncus,5.70097150255375e-07,244127
Vescimonas,5.70097150255375e-07,2892396
Candidatus Schneideria,5.70097150255375e-07,1081630
Candidatus Ishikawaella,5.70097150255375e-07,409304
Candidatus Riesia,5.70097150255375e-07,401618
Hathewaya,5.70097150255375e-07,1769729
Alkaliphilus,5.70097150255375e-07,114627
