Genus,RA
Bifidobacterium,0.4082
Parabacteroides,0.12119999999999999
Bacteroides,0.1063
Prevotella,0.0834
Escherichia,0.0621
Clostridium,0.0268
Alistipes,0.011399999999999999
Roseburia,0.011000000000000001
Collinsella,0.0097
Anaerostipes,0.0075
Eubacterium,0.0069
Enterococcus,0.0015
Akkermansia,0.0015
Citrobacter,0.0015
Enterobacter,0.001
Faecalibacterium,0.0009
Shigella,0.0007000000000000001
Klebsiella,0.0007000000000000001
Lactobacillus,0.0007000000000000001
Salmonella,0.0006
Phocaeicola,0.0003
Blautia,0.0003
Kosakonia,0.0002
Leclercia,0.0002
Kluyvera,0.0001
Coprococcus,0.0001
Cedecea,0.0001
Raoultella,0.0001
Cronobacter,0.0001
Limosilactobacillus,0.0001
Eubacterium,0.0001
Yokenella,0.0001
Lelliottia,0.0001
Leptolyngbya,0.0001
Butyricimonas,0.0001
Paraprevotella,0.0001
Pluralibacter,0.0001
Olsenella,0.0001
Chlamydia,0.0
Homo,0.0
Moraxella,0.0
Permianibacter,0.0
Azotobacter,0.0
Pseudomonas,0.0
Pragia,0.0
Eremothecium,0.0
Plesiomonas,0.0
Ustilago,0.0
Cryptococcus,0.0
Sodalis,0.0
Psychrobacter,0.0
Babesia,0.0
Plasmodium,0.0
Besnoitia,0.0
Edwardsiella,0.0
Hafnia,0.0
Mixta,0.0
Buchnera,0.0
Erwinia,0.0
Pantoea,0.0
Acinetobacter,0.0
Beggiatoa,0.0
Xenorhabdus,0.0
Hydrogenovibrio,0.0
Saccharospirillum,0.0
Thalassolituus,0.0
Neptunomonas,0.0
Candidatus Carsonella,0.0
Halomonas,0.0
Kushneria,0.0
Ahniella,0.0
Lysobacter,0.0
Xanthomonas,0.0
Paraglaciecola,0.0
Catenovulum,0.0
Kluyveromyces,0.0
Marinobacter,0.0
Shewanella,0.0
Psychrosphaera,0.0
Pseudoalteromonas,0.0
Vibrio,0.0
Photobacterium,0.0
Thiomicrorhabdus,0.0
Arsenophonus,0.0
Providencia,0.0
Actinobacillus,0.0
Candidatus Hamiltonella,0.0
Pseudescherichia,0.0
Scandinavium,0.0
Atlantibacter,0.0
Phytobacter,0.0
Buttiauxella,0.0
Jejubacter,0.0
Leishmania,0.0
Trypanosoma,0.0
Methanocorpusculum,0.0
Methanoplanus,0.0
Methanohalophilus,0.0
Methanosarcina,0.0
Candidatus Halobonum,0.0
Methanobacterium,0.0
Methanocaldococcus,0.0
Thermococcus,0.0
Nitrosopumilus,0.0
Ravinvirus,0.0
Hendrixvirus,0.0
Shimwellia,0.0
Candidatus Doolittlea,0.0
Proteus,0.0
Candidatus Blochmannia,0.0
Morganella,0.0
Photorhabdus,0.0
Rahnella,0.0
Ewingella,0.0
Yersinia,0.0
Serratia,0.0
Brenneria,0.0
Lonsdalea,0.0
Dickeya,0.0
Pectobacterium,0.0
Candidatus Riesia,0.0
Candidatus Ishikawaella,0.0
Metakosakonia,0.0
Candidatus Profftia,0.0
Candidatus Moranella,0.0
Candidatus Annandia,0.0
Candidatus Gullanella,0.0
Candidatus Mikella,0.0
Candidatus Purcelliella,0.0
Oleiphilus,0.0
Haemophilus,0.0
Candidatus Kuenenia,0.0
Pontivivens,0.0
Myxococcus,0.0
Desulfobulbus,0.0
Desulfonema,0.0
Micavibrio,0.0
Candidatus Pelagibacter,0.0
Dinoroseobacter,0.0
Sulfitobacter,0.0
Leisingera,0.0
Dissulfurispira,0.0
Aestuarium,0.0
Histophilus,0.0
Azospirillum,0.0
Gluconobacter,0.0
Parasaccharibacter,0.0
Komagataeibacter,0.0
Rickettsia,0.0
Sphingobium,0.0
Novosphingobium,0.0
Erythrobacter,0.0
Labrenzia,0.0
Stigmatella,0.0
Brachyspira,0.0
Desulfovibrio,0.0
Pseudodesulfovibrio,0.0
Gemmata,0.0
Pirellula,0.0
Leptotrichia,0.0
Gimesia,0.0
Isosphaera,0.0
Pseudoleptotrichia,0.0
Bdellovibrio,0.0
Fusobacterium,0.0
Treponema,0.0
Sphaerochaeta,0.0
Leptospira,0.0
Mariprofundus,0.0
Nitrosophilus,0.0
Helicobacter,0.0
Sulfurimonas,0.0
Sulfurospirillum,0.0
