Species,RA
Bifidobacterium longum,0.386
Bacteroides thetaiotaomicron,0.09820000000000001
Parabacteroides distasonis,0.0812
Prevotella copri,0.06559999999999999
Escherichia coli,0.0565
Clostridium butyricum,0.0255
Prevotella melaninogenica,0.0172
Alistipes finegoldii,0.0108
Roseburia hominis,0.0098
Collinsella aerofaciens,0.0097
Anaerostipes hadrus,0.0075
Eubacterium hallii,0.0069
Bacteroides uniformis,0.002
Akkermansia muciniphila,0.0015
Enterococcus faecalis,0.0015
Roseburia intestinalis,0.001
Faecalibacterium prausnitzii,0.0009
Escherichia albertii,0.0006
Escherichia fergusonii,0.0005
Escherichia marmotae,0.0005
Salmonella enterica,0.0004
Escherichia sp. E4742,0.0004
Lactobacillus paragasseri,0.0004
Bifidobacterium breve,0.0003
Shigella boydii,0.0002
Shigella dysenteriae,0.0002
Shigella flexneri,0.0002
Citrobacter freundii,0.0002
Prevotella dentalis,0.0001
Parabacteroides merdae,0.0001
Blautia sp. YL58,0.0001
Blautia sp. SC05B48,0.0001
Klebsiella oxytoca,0.0001
Butyricimonas faecalis,0.0001
Lactobacillus phage phiadh,0.0001
Parabacteroides goldsteinii,0.0001
Paraprevotella xylaniphila,0.0001
Phocaeicola dorei,0.0001
Blautia obeum,0.0001
Citrobacter rodentium,0.0001
Phocaeicola vulgatus,0.0001
Eubacterium limosum,0.0001
Enterobacter kobei,0.0001
Limosilactobacillus fermentum,0.0001
Klebsiella pneumoniae,0.0001
Olsenella sp. GAM18,0.0001
Enterobacter cloacae,0.0001
Enterobacter hormaechei,0.0001
Bacteroides xylanisolvens,0.0001
Prevotella denticola,0.0001
Leptolyngbya sp. PCC 7376,0.0001
Bifidobacterium bifidum,0.0001
Lelliottia amnigena,0.0001
Salmonella bongori,0.0001
Bacteroides fragilis,0.0001
Prevotella ruminicola,0.0001
Yokenella regensburgei,0.0001
Citrobacter sp. RHB25-C09,0.0001
Citrobacter sp. R56,0.0001
Raoultella ornithinolytica,0.0
Cronobacter condimenti,0.0
Raoultella planticola,0.0
Raoultella terrigena,0.0
Raoultella electrica,0.0
Cronobacter dublinensis,0.0
Raoultella sp. X13,0.0
Cronobacter universalis,0.0
Cronobacter sp. JZ38,0.0
Cronobacter muytjensii,0.0
Cronobacter malonaticus,0.0
Trypanosoma brucei,0.0
Cronobacter sakazakii,0.0
Kosakonia oryzae,0.0
Leclercia sp. W17,0.0
Leclercia sp. J807,0.0
Leclercia sp. 119287,0.0
Leclercia sp. W6,0.0
Leclercia sp. LSNIH1,0.0
Leclercia sp. LSNIH3,0.0
Leclercia sp. Colony189,0.0
Leclercia adecarboxylata,0.0
Kosakonia sp. SMBL-WEM22,0.0
Kosakonia sp. CCTCC M2018092,0.0
Methanoplanus limicola,0.0
Methanocorpusculum labreanum,0.0
Kosakonia sp. MUSA4,0.0
Kosakonia cowanii,0.0
Kosakonia arachidis,0.0
Cedecea sp. FDAARGOS_727,0.0
Kosakonia sacchari,0.0
Kosakonia radicincitans,0.0
Kosakonia pseudosacchari,0.0
Cedecea neteri,0.0
Kluyvera intermedia,0.0
Cedecea lapagei,0.0
Dickeya dadantii,0.0
Candidatus Moranella endobia,0.0
Enterobacteriaceae endosymbiont of Neohaemonia nigricornis,0.0
Enterobacteriaceae endosymbiont of Plateumaris pusilla,0.0
Candidatus Profftia tarda,0.0
Metakosakonia sp. MRY16-398,0.0
Candidatus Ishikawaella capsulata,0.0
Candidatus Riesia pediculicola,0.0
Pectobacterium polaris,0.0
Pectobacterium atrosepticum,0.0
Pectobacterium odoriferum,0.0
Pectobacterium parmentieri,0.0
Dickeya dianthicola,0.0
Enterobacter lignolyticus,0.0
Dickeya poaceiphila,0.0
Dickeya chrysanthemi,0.0
Dickeya solani,0.0
Lonsdalea populi,0.0
Brenneria sp. EniD312,0.0
Serratia sp. CMO1,0.0
Serratia sp. FGI94,0.0
Serratia sp. ATCC 39006,0.0
Serratia symbiotica,0.0
Serratia marcescens,0.0
Serratia ureilytica,0.0
Candidatus Annandia adelgestsuga,0.0
Candidatus Gullanella endobia,0.0
secondary endosymbiont of Trabutina mannipara,0.0
Candidatus Mikella endobia,0.0
Pluralibacter gergoviae,0.0
Lelliottia sp. WB101,0.0
Leclercia sp. 4-9-1-25,0.0
