Genus,RA,TAX_ID
Bifidobacterium,0.4055480861670783,1678
Parabacteroides,0.12036596943949257,375288
Bacteroides,0.10627696013581384,816
Prevotella,0.08829156395426101,838
Escherichia,0.05861401406267023,561
Clostridium,0.03116091856317965,1485
Roseburia,0.011902267674415542,841
Alistipes,0.010873846618003235,239759
Collinsella,0.008876866033491328,102106
Anaerostipes,0.008168105538268876,207244
Anaerobutyricum,0.008059157556739749,2569097
Citrobacter,0.0014061473000654885,544
Akkermansia,0.0013067771630663949,239934
Faecalibacterium,0.0010559573594361522,216851
Enterobacter,0.0009865179865934121,547
Shigella,0.0007153452633368492,620
Klebsiella,0.0007129508022043409,570
Lactobacillus,0.0006824214227648603,1578
Salmonella,0.0006183695874702637,590
Blautia,0.00035018994062933624,572511
Staphylococcus,0.000322653637605491,1279
Phocaeicola,0.00029870902628040816,909656
Kosakonia,0.0001879651989019001,1330547
Leclercia,0.0001741970473899775,83654
Butyricimonas,0.00013947736096860743,574697
Cronobacter,0.00012271613304104943,413496
Leptolyngbya,0.00011912444134228702,47251
Raoultella,0.00011134244266163511,160674
Cedecea,9.458121473407713e-05,158483
Pluralibacter,7.722137152339209e-05,1330546
Coprococcus,6.644629642710482e-05,33042
Eubacterium,6.225598944521533e-05,1730
Lelliottia,6.046014359583412e-05,1330545
Kluyvera,6.046014359583412e-05,579
Limosilactobacillus,5.7467067180198765e-05,2742598
Olsenella,5.6868451897071695e-05,133925
Paraprevotella,5.3875375481436343e-05,577309
Mediterraneibacter,5.028368378267392e-05,2316020
Yokenella,4.848783793329271e-05,158876
Scandinavium,4.130445453576786e-05,2726810
Pseudomonas,4.130445453576786e-05,286
Buttiauxella,4.010722396951372e-05,82976
Gordonibacter,3.890999340325958e-05,644652
Atlantibacter,3.890999340325958e-05,1903434
Jejubacter,3.711414755387837e-05,2815296
Lachnoclostridium,3.65155322707513e-05,1506553
Shimwellia,3.1127994722607664e-05,1335483
Faecalicatena,2.8134918306972312e-05,2005359
Chryseobacterium,2.7536303023845242e-05,59732
Pseudescherichia,2.6937687740718172e-05,2055880
Phytobacter,2.454322660820989e-05,447792
Enterocloster,2.394461132508282e-05,2719313
Butyrivibrio,2.394461132508282e-05,830
Xanthomonas,2.1550150192574535e-05,338
Burkholderia,2.0352919626320395e-05,32008
Eggerthella,2.0352919626320395e-05,84111
Sodaliphilus,2.0352919626320395e-05,2815786
Fibrobacter,1.9754304343193324e-05,832
Berryella,1.9155689060066254e-05,2815775
Serratia,1.7958458493812113e-05,613
Pectobacterium,1.6761227927557973e-05,122277
Clostridioides,1.6162612644430902e-05,1870884
Lacrimispora,1.5563997361303832e-05,2719231
Streptococcus,1.4965382078176762e-05,1301
Duncaniella,1.4366766795049691e-05,2518495
Parolsenella,1.4366766795049691e-05,2082587
Streptomyces,1.3768151511922621e-05,1883
Ruminococcus,1.316953622879555e-05,1263
Coprobacter,1.316953622879555e-05,1348911
Haemophilus,1.257092094566848e-05,724
Chitinophaga,1.257092094566848e-05,79328
Beggiatoa,1.257092094566848e-05,1021
Flavobacterium,1.197230566254141e-05,237
Paenibacillus,1.1373690379414338e-05,44249
Vibrio,1.0176459813160197e-05,662
Hydrogenovibrio,1.0176459813160197e-05,28884
Isosphaera,1.0176459813160197e-05,127
Porphyromonas,1.0176459813160197e-05,836
Odoribacter,1.0176459813160197e-05,283168
Massilistercora,1.0176459813160197e-05,2717089
Rhodoferax,9.577844530033127e-06,28065
Arenibacter,8.979229246906057e-06,178469
Pantoea,8.979229246906057e-06,53335
Achromobacter,8.979229246906057e-06,222
Lactiplantibacillus,8.979229246906057e-06,2767842
Methanoplanus,8.380613963778986e-06,2314
Homo,8.380613963778986e-06,9605
Muribaculum,7.781998680651916e-06,1918540
Methanocorpusculum,7.781998680651916e-06,2192
Oscillibacter,7.781998680651916e-06,459786
Enterococcus,7.183383397524846e-06,1350
Shewanella,7.183383397524846e-06,22
Fusobacterium,7.183383397524846e-06,848
Morganella,7.183383397524846e-06,581
Photobacterium,7.183383397524846e-06,657
Hymenobacter,7.183383397524846e-06,89966
Echinicola,7.183383397524846e-06,390846
Cupriavidus,7.183383397524846e-06,106589
Mucilaginibacter,6.584768114397775e-06,423349
Schaalia,6.584768114397775e-06,2529408
Drechmeria,6.584768114397775e-06,98402
Cutibacterium,6.584768114397775e-06,1912216
Moraxella,6.584768114397775e-06,475
Acinetobacter,6.584768114397775e-06,469
Chlorobium,6.584768114397775e-06,1091
Leptotrichia,6.584768114397775e-06,32067
Adlercreutzia,5.986152831270705e-06,447020
Rickettsia,5.986152831270705e-06,780
Curtobacterium,5.986152831270705e-06,2034
Bacillus,5.387537548143634e-06,1386
Janthinobacterium,5.387537548143634e-06,29580
Yersinia,5.387537548143634e-06,629
Bradyrhizobium,5.387537548143634e-06,374
Anabaena,4.7889222650165635e-06,1163
Xenorhabdus,4.7889222650165635e-06,626
Elizabethkingia,4.7889222650165635e-06,308865
Erythrobacter,4.7889222650165635e-06,1041
Oenococcus,4.7889222650165635e-06,46254
Nocardioides,4.7889222650165635e-06,1839
Paraburkholderia,4.7889222650165635e-06,1822464
Allochromatium,4.190306981889493e-06,85072
Erysipelatoclostridium,4.190306981889493e-06,1505663
Babesia,4.190306981889493e-06,5864
Gordonia,4.190306981889493e-06,2053
Corynebacterium,4.190306981889493e-06,1716
Sphingobacterium,4.190306981889493e-06,28453
Megasphaera,3.591691698762423e-06,906
Brucella,3.591691698762423e-06,234
Neptunomonas,3.591691698762423e-06,75687
Leucobacter,3.591691698762423e-06,55968
Lacticaseibacillus,3.591691698762423e-06,2759736
Candidatus Profftia,3.591691698762423e-06,1177214
Anaerocolumna,3.591691698762423e-06,1843210
Nocardia,3.591691698762423e-06,1817
Pseudodesulfovibrio,3.591691698762423e-06,2035811
Mageeibacillus,3.591691698762423e-06,1637257
Moorella,3.591691698762423e-06,44260
Treponema,3.591691698762423e-06,157
Dolosigranulum,3.591691698762423e-06,29393
Komagataeibacter,3.591691698762423e-06,1434011
Photorhabdus,3.591691698762423e-06,29487
Flavonifractor,3.591691698762423e-06,946234
Tannerella,3.591691698762423e-06,195950
Candidatus Hamiltonella,2.9930764156353525e-06,568987
Candidatus Doolittlea,2.9930764156353525e-06,1906657
Dickeya,2.9930764156353525e-06,204037
Romboutsia,2.9930764156353525e-06,1501226
Cloacibacterium,2.9930764156353525e-06,501783
Olleya,2.9930764156353525e-06,336276
Actinomyces,2.9930764156353525e-06,1654
Niastella,2.9930764156353525e-06,354354
Bordetella,2.9930764156353525e-06,517
Lactococcus,2.9930764156353525e-06,1357
Microbacterium,2.3944611325082818e-06,33882
Proteus,2.3944611325082818e-06,583
Virgibacillus,2.3944611325082818e-06,84406
Aspergillus,2.3944611325082818e-06,5052
Brachyspira,2.3944611325082818e-06,29521
Proteiniphilum,2.3944611325082818e-06,294702
Geminocystis,2.3944611325082818e-06,669357
Aeromonas,2.3944611325082818e-06,642
Gloeobacter,2.3944611325082818e-06,33071
Capnocytophaga,2.3944611325082818e-06,1016
Lachnospira,2.3944611325082818e-06,28050
Desulfonema,2.3944611325082818e-06,45654
Lautropia,2.3944611325082818e-06,47670
Hungatella,2.3944611325082818e-06,1649459
Kushneria,2.3944611325082818e-06,504090
Pedobacter,2.3944611325082818e-06,84567
Ewingella,1.7958458493812114e-06,41201
Legionella,1.7958458493812114e-06,445
Metakosakonia,1.7958458493812114e-06,2055876
Acidihalobacter,1.7958458493812114e-06,1765964
Pontibacillus,1.7958458493812114e-06,289201
Melissococcus,1.7958458493812114e-06,33969
Candidatus Purcelliella,1.7958458493812114e-06,472825
Sphaerochaeta,1.7958458493812114e-06,399320
Altererythrobacter,1.7958458493812114e-06,361177
Pseudobutyrivibrio,1.7958458493812114e-06,46205
Lachnoanaerobaculum,1.7958458493812114e-06,1164882
Ralstonia,1.7958458493812114e-06,48736
Alkaliphilus,1.7958458493812114e-06,114627
Weissella,1.7958458493812114e-06,46255
Variovorax,1.7958458493812114e-06,34072
Nitrosopumilus,1.7958458493812114e-06,338191
Fluviicola,1.7958458493812114e-06,332102
Lonsdalea,1.7958458493812114e-06,1082702
Alloprevotella,1.7958458493812114e-06,1283313
Tolypothrix,1.7958458493812114e-06,111782
Bartonella,1.7958458493812114e-06,773
Geoalkalibacter,1.7958458493812114e-06,392332
Actinobacillus,1.7958458493812114e-06,713
Longicatena,1.7958458493812114e-06,1918536
Sulfurimonas,1.7958458493812114e-06,202746
Buchnera,1.7958458493812114e-06,32199
Entomomonas,1.7958458493812114e-06,2758906
Selenomonas,1.7958458493812114e-06,970
Pelosinus,1.7958458493812114e-06,365348
Marinobacter,1.7958458493812114e-06,2742
Pseudoalteromonas,1.7958458493812114e-06,53246
Azotobacter,1.1972305662541409e-06,352
Erwinia,1.1972305662541409e-06,551
Mycolicibacterium,1.1972305662541409e-06,1866885
Sodalis,1.1972305662541409e-06,84565
Serpentinomonas,1.1972305662541409e-06,2490452
Edwardsiella,1.1972305662541409e-06,635
Mycobacterium,1.1972305662541409e-06,1763
Mixta,1.1972305662541409e-06,2100764
Psychrobacter,1.1972305662541409e-06,497
Rhizobium,1.1972305662541409e-06,379
Brevibacterium,1.1972305662541409e-06,1696
Providencia,1.1972305662541409e-06,586
Brenneria,1.1972305662541409e-06,71655
Candidatus Gullanella,1.1972305662541409e-06,1906661
Siminovitchvirus,1.1972305662541409e-06,1918721
Pusillimonas,1.1972305662541409e-06,305976
Candidatus Moranella,1.1972305662541409e-06,1048757
Massilia,1.1972305662541409e-06,149698
Kineobactrum,1.1972305662541409e-06,2678529
Chania,1.1972305662541409e-06,1745211
Ravinvirus,1.1972305662541409e-06,308911
Mahella,1.1972305662541409e-06,252965
Ottowia,1.1972305662541409e-06,219181
Sporosarcina,1.1972305662541409e-06,1569
Novosphingobium,1.1972305662541409e-06,165696
Riemerella,1.1972305662541409e-06,34084
Dysgonomonas,1.1972305662541409e-06,156973
Barnesiella,1.1972305662541409e-06,397864
Comamonas,1.1972305662541409e-06,283
Vallitalea,1.1972305662541409e-06,1348611
Flintibacter,1.1972305662541409e-06,1918454
Plantibacter,1.1972305662541409e-06,190323
Mycoplasma,1.1972305662541409e-06,2093
Zymomonas,1.1972305662541409e-06,541
Desulfobacula,1.1972305662541409e-06,28222
Thermosynechococcus,1.1972305662541409e-06,146785
Synechococcus,1.1972305662541409e-06,1129
Cryptococcus,1.1972305662541409e-06,5206
Geobacter,1.1972305662541409e-06,28231
Peptoniphilus,1.1972305662541409e-06,162289
Faecalitalea,1.1972305662541409e-06,1573534
Helicobacter,1.1972305662541409e-06,209
Sphingomonas,1.1972305662541409e-06,13687
Kluyveromyces,1.1972305662541409e-06,4910
Rufibacter,1.1972305662541409e-06,1379908
