Species,RA
Bifidobacterium longum,0.3925
Bacteroides thetaiotaomicron,0.09570000000000001
Parabacteroides distasonis,0.0802
Prevotella copri,0.06509999999999999
Escherichia coli,0.055999999999999994
Clostridium butyricum,0.0208
Prevotella melaninogenica,0.016399999999999998
Alistipes finegoldii,0.0111
Roseburia hominis,0.0098
Collinsella aerofaciens,0.0097
Anaerostipes hadrus,0.0070999999999999995
Anaerobutyricum hallii,0.006500000000000001
Klebsiella pneumoniae,0.0021
Bacteroides uniformis,0.0019
Akkermansia muciniphila,0.0014000000000000002
Faecalibacterium prausnitzii,0.001
Roseburia intestinalis,0.001
Escherichia albertii,0.0006
Escherichia marmotae,0.0005
Escherichia fergusonii,0.0005
Salmonella enterica,0.0004
Escherichia sp. E4742,0.0004
Bifidobacterium breve,0.0003
Lactobacillus paragasseri,0.0003
Shigella boydii,0.0002
Shigella dysenteriae,0.0002
Shigella flexneri,0.0002
Citrobacter freundii,0.0002
Olsenella sp. GAM18,0.0001
Citrobacter sp. RHB25-C09,0.0001
Paraprevotella xylaniphila,0.0001
[Enterobacter] lignolyticus,0.0001
Phocaeicola vulgatus,0.0001
Phocaeicola dorei,0.0001
Leptolyngbya sp. PCC 7376,0.0001
Blautia obeum,0.0001
Blautia sp. YL58,0.0001
Blautia sp. SC05B48,0.0001
Butyricimonas faecalis,0.0001
Citrobacter rodentium,0.0001
Lelliottia amnigena,0.0001
Eubacterium limosum,0.0001
Enterobacter cloacae,0.0001
Enterobacter hormaechei,0.0001
Limosilactobacillus fermentum,0.0001
Citrobacter sp. R56,0.0001
Klebsiella aerogenes,0.0001
Prevotella denticola,0.0001
Bacteroides fragilis,0.0001
Salmonella bongori,0.0001
Prevotella dentalis,0.0001
Bacteroides xylanisolvens,0.0001
Prevotella ruminicola,0.0001
Lactobacillus phage phiadh,0.0001
Bifidobacterium bifidum,0.0001
Jejubacter calystegiae,0.0
Cedecea neteri,0.0
Yokenella regensburgei,0.0
Buttiauxella agrestis,0.0
Kosakonia cowanii,0.0
Cedecea lapagei,0.0
Cedecea sp. FDAARGOS_727,0.0
Kosakonia sp. SMBL-WEM22,0.0
Kluyvera intermedia,0.0
Kluyvera genomosp. 3,0.0
Kluyvera ascorbata,0.0
Leclercia adecarboxylata,0.0
Kosakonia sp. MUSA4,0.0
Buttiauxella sp. 3AFRM03,0.0
Lelliottia sp. WB101,0.0
Kosakonia sp. CCTCC M2018092,0.0
Kosakonia arachidis,0.0
Escherichia virus N15,0.0
Phytobacter ursingii,0.0
Kosakonia oryzae,0.0
Sulfolobus sp. A20,0.0
Cronobacter sakazakii,0.0
Cronobacter condimenti,0.0
Cronobacter dublinensis,0.0
Cronobacter universalis,0.0
Kosakonia radicincitans,0.0
Cronobacter malonaticus,0.0
Cronobacter muytjensii,0.0
Kosakonia pseudosacchari,0.0
Cronobacter sp. JZ38,0.0
Raoultella ornithinolytica,0.0
Raoultella planticola,0.0
Raoultella terrigena,0.0
Raoultella electrica,0.0
Raoultella sp. X13,0.0
Kosakonia sacchari,0.0
Pluralibacter gergoviae,0.0
Scandinavium goeteborgense,0.0
Neospora caninum,0.0
Phytobacter diazotrophicus,0.0
Serratia plymuthica,0.0
Dickeya solani,0.0
Dickeya chrysanthemi,0.0
Dickeya paradisiaca,0.0
Dickeya dianthicola,0.0
Dickeya zeae,0.0
Lonsdalea populi,0.0
Brenneria rubrifaciens,0.0
Serratia symbiotica,0.0
Serratia sp. CMO1,0.0
Serratia sp. FGI94,0.0
Serratia sp. FDAARGOS_506,0.0
Serratia fonticola,0.0
Serratia ureilytica,0.0
Pectobacterium versatile,0.0
Serratia liquefaciens,0.0
Serratia proteamaculans,0.0
Yersinia pestis,0.0
Yersinia pseudotuberculosis,0.0
Yersinia aleksiciae,0.0
Yersinia frederiksenii,0.0
Yersinia entomophaga,0.0
Yersinia enterocolitica,0.0
Rahnella inusitata,0.0
Ewingella americana,0.0
Nissabacter sp. SGAir0207,0.0
Xenorhabdus doucetiae,0.0
Dickeya poaceiphila,0.0
Pectobacterium brasiliense,0.0
Phytobacter sp. SCO41,0.0
Candidatus Purcelliella pentastirinorum,0.0
Atlantibacter hermannii,0.0
Leclercia sp. LSNIH3,0.0
Pseudescherichia vulneris,0.0
Shimwellia blattae,0.0
Candidatus Hamiltonella defensa,0.0
secondary endosymbiont of Ctenarytaina eucalypti,0.0
