Genus,RA,TAX_ID
Bifidobacterium,0.4081901146021895,1678
Parabacteroides,0.12123794087129874,375288
Bacteroides,0.10630750036862262,816
Prevotella,0.08341481117544097,838
Escherichia,0.062103254597717095,561
Clostridium,0.02678621465643555,1485
unclassified,0.02663930969904615,12908
Alistipes,0.0113601059456789,239759
Roseburia,0.010965638930466618,841
Collinsella,0.009652199792918419,102106
Anaerostipes,0.0075030346755549605,207244
Anaerobutyricum,0.0069197675854755615,2569097
Citrobacter,0.0014826518847633986,544
Akkermansia,0.0014641527419810296,239934
Enterococcus,0.0014587118176332741,1350
Enterobacter,0.0010147323908564177,547
Faecalibacterium,0.0009407358197269418,216851
Shigella,0.0006969824089474913,620
Klebsiella,0.0006920855770345113,570
Lactobacillus,0.0006523668292958954,1578
Salmonella,0.0005930607539053594,590
Blautia,0.0003329845700826422,572511
Phocaeicola,0.0002807516963441885,909656
Leclercia,0.00020784331008426359,83654
Kosakonia,0.00019424099921487462,1330547
Butyricimonas,0.00013765538599821647,574697
Cronobacter,0.00012296489025927636,413496
Leptolyngbya,0.0001224207978245008,47251
Raoultella,0.00012187670538972525,160674
Cedecea,9.358389878139618e-05,158483
Pluralibacter,8.542251225976279e-05,1330546
Coprococcus,7.508475599902716e-05,33042
Olsenella,7.290838625992492e-05,133925
Lelliottia,7.236429382514937e-05,1330545
Eubacterium,6.801155434694489e-05,1730
Limosilactobacillus,6.746746191216933e-05,2742598
Kluyvera,6.420290730351597e-05,579
Paraprevotella,5.495333591233147e-05,577309
Yokenella,5.3321058608004795e-05,158876
Mediterraneibacter,4.788013426024921e-05,2316020
Jejubacter,4.624785695592253e-05,2815296
Pseudomonas,4.461557965159585e-05,286
Buttiauxella,4.461557965159585e-05,82976
Phytobacter,3.645419312996246e-05,447792
Scandinavium,3.4277823390860225e-05,2726810
Atlantibacter,3.4277823390860225e-05,1903434
Lachnoclostridium,3.264554608653355e-05,1506553
Gordonibacter,3.210145365175799e-05,644652
Pseudescherichia,3.155736121698243e-05,2055880
Faecalicatena,2.6660529304002397e-05,2005359
Chryseobacterium,2.6660529304002397e-05,59732
Shimwellia,2.6660529304002397e-05,1335483
Eggerthella,2.557234443445128e-05,84111
Parolsenella,2.3395974695349045e-05,2082587
Staphylococcus,2.2307789825797926e-05,1279
Sodaliphilus,2.2307789825797926e-05,2815786
Butyrivibrio,1.904323521714457e-05,830
Duncaniella,1.6866865478042333e-05,2518495
Lacrimispora,1.6322773043266773e-05,2719231
Enterocloster,1.5234588173715656e-05,2719313
Berryella,1.4690495738940097e-05,2815775
Paenibacillus,1.4146403304164538e-05,44249
Clostridioides,1.251412599983786e-05,1870884
Lactiplantibacillus,1.1970033565062302e-05,2767842
Arenibacter,1.1970033565062302e-05,178469
Echinicola,1.1970033565062302e-05,390846
Massilistercora,1.1970033565062302e-05,2717089
Fibrobacter,1.1970033565062302e-05,832
Rhodoferax,1.1425941130286743e-05,28065
Coprobacter,1.1425941130286743e-05,1348911
Leptotrichia,1.1425941130286743e-05,32067
Serratia,1.1425941130286743e-05,613
Porphyromonas,1.0881848695511183e-05,836
Beggiatoa,1.0881848695511183e-05,1021
Photobacterium,1.0337756260735624e-05,657
Tannerella,1.0337756260735624e-05,195950
Chitinophaga,9.793663825960065e-06,79328
Janthinobacterium,9.793663825960065e-06,29580
Achromobacter,9.249571391184505e-06,222
Streptomyces,9.249571391184505e-06,1883
Pectobacterium,9.249571391184505e-06,122277
Ruminococcus,8.705478956408946e-06,1263
Flavobacterium,8.705478956408946e-06,237
Dickeya,8.161386521633387e-06,204037
Muribaculum,8.161386521633387e-06,1918540
Vibrio,8.161386521633387e-06,662
Schaalia,8.161386521633387e-06,2529408
Methanocorpusculum,7.617294086857828e-06,2192
Streptococcus,7.617294086857828e-06,1301
Odoribacter,7.617294086857828e-06,283168
Curtobacterium,7.617294086857828e-06,2034
Erythrobacter,7.073201652082269e-06,1041
