Species,RA
Escherichia coli,0.3052331705495833
Bifidobacterium longum,0.1260795145869424
Bacteroides thetaiotaomicron,0.1085290731514612
Parabacteroides distasonis,0.08961404837237613
Prevotella copri,0.06820484657146791
Shigella flexneri,0.05902233782180027
Shigella dysenteriae,0.050835659402363766
Bacteroides thetaiotaomicron CAG:40,0.03489465068211091
Bifidobacterium breve,0.022342915981827905
Clostridium butyricum,0.020168029113740587
Prevotella melaninogenica,0.011801411055425681
Alistipes finegoldii,0.00907306601040462
Roseburia hominis,0.007262659616319392
Collinsella aerofaciens,0.00552044952372689
Anaerostipes hadrus,0.00534133152703515
Bifidobacterium reuteri,0.0050560573598270216
Eubacterium hallii,0.00447729260354417
Bacteroides faecis CAG:32,0.0031855067576783283
Bacteroides uniformis,0.002256393773003927
Bifidobacterium saguini,0.0017714605544375745
Bifidobacterium callitrichos,0.0016439416870680421
Collinsella sp. CAG:166,0.0015908636018098477
Bifidobacterium scardovii,0.0015742664296393286
Clostridium saccharobutylicum,0.0014388597972778666
Bifidobacterium bifidum,0.0014278497919766311
Akkermansia muciniphila,0.0013294170580148402
Prevotella scopos,0.0012557979180901617
Bifidobacterium aesculapii,0.0012232608874984511
Clostridium beijerinckii,0.0012142228234451984
Obesumbacterium proteus,0.0010178503408336118
Bacteroides ovatus,0.0009683874811967186
Bifidobacterium adolescentis,0.0009624716574527712
Ruminococcus gauvreauii,0.0009289486562370694
Bacteroides vulgatus,0.0009112011850052273
Alistipes shahii,0.0008886881890907608
Roseburia intestinalis,0.0008734056444188969
Salmonella enterica,0.0008586160850590284
Bacteroides fragilis,0.0008527002613150811
Bacteroides stercoris,0.0008180269610380561
Faecalibacterium prausnitzii,0.0008139187501047594
Ruminococcus sp. Zagget7,0.000783682317635695
Citrobacter freundii,0.0007475300614226833
Mediterranea massiliensis,0.0007163076583296277
Bacteroides oleiciplenus,0.000691658392729847
Clostridium saccharoperbutylacetonicum,0.0006893577946072008
Blautia obeum,0.0006877145102338821
Bacteroides plebeius,0.0006804840589912797
Cronobacter sakazakii,0.0005708769912909215
Bifidobacterium stellenboschense,0.0005500072797497738
Klebsiella oxytoca,0.0005465563825658045
Citrobacter amalonaticus,0.0005240433866513381
Lamprocystis purpurea,0.0005209211463420326
Prevotella sp. CAG:386,0.0004936426257449418
Bifidobacterium angulatum,0.0004895344148116451
Alistipes putredinis,0.00048723381668899893
Bifidobacterium biavatii,0.00047129395826780735
Akkermansia sp. 54_46,0.00046669276202251496
Kluyvera intermedia,0.0004515745457879828
Akkermansia muciniphila CAG:154,0.00045124588891331906
Enterobacter cloacae,0.0004446727514200442
Akkermansia sp. UNK.MGS-1,0.00043547035892945937
Scardovia inopinata,0.00043530603049212754
Prevotella sp. CAG:604,0.0004280755792495252
Roseburia inulinivorans,0.00042774692237486145
Odoribacter splanchnicus,0.0004238030398788965
Akkermansia sp. Phil8,0.0004037549705244082
Kluyvera cryocrescens,0.00038912973960187166
Bacteroides sp. 43_46,0.00038600749929256607
Bacteroidales bacterium 55_9,0.00038157063148460557
Bifidobacterium gallinarum,0.0003792700333619594
Bifidobacterium asteroides,0.00033194344341038037
Bacteroides coprocola,0.0003304644874743935
Lelliottia amnigena,0.0003293141884130704
Kluyvera ascorbata,0.0003018713393786479
Fusicatenibacter saccharivorans,0.0002798513287761771
Trabulsiella odontotermitis,0.0002770577453415353
Prevotella histicola,0.0002752501325308847
Prevotella fusca,0.00027508580409355286
Enterobacter lignolyticus,0.00027097759316025604
Paraprevotella xylaniphila,0.00026703371066429116
Bifidobacterium dentium,0.0002604605731710163
Kosakonia sacchari,0.0002593102741096932
Bacteroides sp. D2,0.00025602370536305575
Klebsiella pneumoniae,0.00025585937692572386
Parabacteroides johnsonii,0.0002453423569364841
Leclercia adecarboxylata,0.00023975519006720047
Clostridium botulinum,0.00023696160663255866
Bacteroides faecichinchillae,0.00023531832225923995
Eubacterium sp. CAG:146,0.00022315801789668144
Alistipes senegalensis,0.00021362696853143292
Enterobacter aerogenes,0.00020491756135284373
Bifidobacterium subtile,0.00020458890447817998
Pluralibacter gergoviae,0.00020343860541685688
Raoultella ornithinolytica,0.0002004806935448832
Pantoea sp. PSNIH2,0.0002003163651075513
Bacteroides salyersiae,0.00019916606604622822
Helicobacter mustelae,0.00019719412479824575
Yokenella regensburgei,0.0001958794972995908
Clostridium neonatale,0.00018979934511831155
Lactobacillus gasseri,0.00018897770293165218
Prevotella sp. P4-76,0.00018454083512369165
Bacteroides pectinophilus,0.0001814185948143861
Dorea formicigenerans,0.00017418814357178375
Bacteroides coprophilus,0.00017385948669712
Bacteroides cellulosilyticus,0.00017385948669712
Ruminococcus faecis,0.00016580739326785832
Bacteroides finegoldii CAG:203,0.00016054888327323843
Coprobacter secundus,0.0001520038045319811
Gardnerella vaginalis,0.0001469096229746931
Roseburia faecis,0.00014625230922536562
Coprococcus comes,0.0001451020101640425
Bifidobacterium pseudolongum,0.00013951484329475887
Acinetobacter venetianus,0.00013212006361482467
Fibrobacter sp. UWB12,0.00013179140674016092
Tyzzerella nexilis,0.00012817618111885974
Eubacterium rectale,0.00012768319580686412
Prevotella stercorea,0.00012291767112423987
Corynebacterium sp. EPI-003-04-2554_SCH2473622,0.00012258901424957612
Clostridium glycyrrhizinilyticum,0.00011995975925226617
Klebsiella sp. RIT-PI-d,0.0001197954308149343
Prevotella intermedia,0.00011963110237760243
Butyrivibrio crossotus,0.00011733050425495623
Shimwellia blattae,0.00011585154831896938
Bacteroides ovatus CAG:22,0.00011552289144430564
Parabacteroides goldsteinii,0.00011470124925764629
Bacteroides finegoldii,0.00011256497957233196
Eubacterium ramulus,0.00011240065113500008
Bacteroides salanitronis,0.00011207199426033634
Barnesiella viscericola,0.00011190766582300448
Eubacterium ventriosum,0.00011075736676168137
Prevotella bryantii,0.00010944273926302639
Bacillus coahuilensis,0.00010615617051638896
Clostridium sp. M62/1,0.00010615617051638896
Blautia sp. KLE 1732,0.00010204795958309218
Bacteroides fluxus,0.0001013906458337647
Bifidobacterium coryneforme,0.00010122631739643282
Oscillospiraceae bacterium Zagget12,9.843273396179101e-05
Morganella morganii,9.67894495884723e-05
Firmicutes bacterium CAG:270,9.432452302849423e-05
Franconibacter pulveris,9.366720927916673e-05
Porphyromonas somerae,9.235258178051176e-05
Escherichia vulneris,8.939466990853808e-05
Prevotella sp. CAG:1092,8.906601303387433e-05
Prevotella pallens,8.840869928454685e-05
Emergencia timonensis,8.380750303925445e-05
Prevotella denticola,8.068526272994888e-05
Rappaport israeli,7.854899304463457e-05
Clostridium sp. KLE 1755,7.772735085797521e-05
Prevotella multiformis,7.674138023398398e-05
Prevotella bivia,7.624839492198836e-05
Gallibacterium anatis,7.42764536740059e-05
Acinetobacter pittii,7.394779679934217e-05
Bacteroides caccae CAG:21,7.345481148734655e-05
Clostridium sp. L2-50,7.098988492736848e-05
Faecalitalea cylindroides,7.066122805270472e-05
Prevotella sp. S7-1-8,6.983958586604537e-05
Atlantibacter hermannii,6.934660055404976e-05
Blautia hansenii,6.819630149272665e-05
Clostridium baratii,6.819630149272665e-05
Coprococcus eutactus,6.540271805808484e-05
Gilliamella apicola,6.523838962075297e-05
Lactonifactor longoviformis,6.458107587142549e-05
Clostridium citroniae,6.441674743409361e-05
Chryseobacterium gallinarum,6.375943368476613e-05
Prevotella nanceiensis,6.260913462344303e-05
Bacteroides sp. CAG:530,6.244480618611116e-05
Prevotella sp. S7 MS 2,6.211614931144742e-05
Haemophilus sputorum,6.16231639994518e-05
Ruminococcus gnavus,6.113017868745618e-05
Cedecea neteri,6.096585025012431e-05
Lactobacillus fermentum,6.0144208063464954e-05
Bifidobacterium thermophilum,5.9815551188801214e-05
Angelakisella massiliensis,5.9486894314137474e-05
Tannerella forsythia,5.850092369014624e-05
Bifidobacterium actinocoloniiforme,5.850092369014624e-05
Prevotellamassilia timonensis,5.7186296191491273e-05
Siccibacter turicensis,5.4721369631513196e-05
Eubacterium dolichum,5.4721369631513196e-05
Clostridiales bacterium VE202-08,5.4557041194181326e-05
Anaerostipes caccae,5.4557041194181326e-05
