Species,RA
Escherichia,0.29270755270486143
Bacteroides,0.1624461528609727
Bifidobacterium,0.16128159219651328
Shigella,0.10518516146786133
Prevotella,0.09233691823888486
Parabacteroides,0.09118663604439652
Clostridium,0.03065089919746345
Alistipes,0.01019872168752477
Roseburia,0.009756954480237732
Collinsella,0.006611147937063966
Eubacterium,0.006305891556318613
Anaerostipes,0.006261325422772516
Akkermansia,0.002987445330767247
Ruminococcus,0.0019942263059607853
Citrobacter,0.0012459046752037494
Blautia,0.0011732142826237078
Kluyvera,0.0010974951236861644
Klebsiella,0.0010572557992222127
Obesumbacterium,0.0009947334079852127
Faecalibacterium,0.0008939187563712263
Salmonella,0.0008309636842260118
Mediterranea,0.0007883446147668802
Enterobacter,0.0007827197629600912
Cronobacter,0.0005313321552874472
Lamprocystis,0.000503640577161717
Odoribacter,0.00048698236219545755
Lactobacillus,0.0004649156358765163
Lachnoclostridium,0.0004564783581663329
Scardovia,0.0004090997987168415
Dorea,0.00034376498157644695
Paraprevotella,0.00031650608435893133
Fusicatenibacter,0.0003106648920980351
Lelliottia,0.00029400667713177554
Trabulsiella,0.00024554641541174783
Coprococcus,0.00024446471314121146
Pantoea,0.0002410032658754952
Kosakonia,0.0002358110949769208
Acinetobacter,0.00021980190137298305
Leclercia,0.0002076868359429761
Pluralibacter,0.0002024946650444017
Helicobacter,0.00018843253552742938
Raoultella,0.00018324036462885498
Tyzzerella,0.00018194232190421136
Yokenella,0.00017047627783652622
Barnesiella,0.00016744751147902448
Coprobacter,0.00015987559558527014
Gardnerella,0.00015316904150794488
Porphyromonas,0.00014494810425186874
Fibrobacter,0.00014494810425186874
Butyrivibrio,0.0001401886142615089
Corynebacterium,0.00012742452746918013
Bacillus,0.0001230977183870348
Erysipelatoclostridium,0.0001153094620391732
Haemophilus,0.00011206435522756419
Shimwellia,0.00010405975842559533
Morganella,0.00010081465161398632
Emergencia,8.696886255112125e-05
Faecalitalea,8.588716028058492e-05
Franconibacter,8.372375573951224e-05
Gallibacterium,7.528647802932885e-05
Gilliamella,7.269039258004165e-05
Rappaport,7.16086903095053e-05
Chryseobacterium,6.793090258968177e-05
Prevotellamassilia,6.18733698746783e-05
Angelakisella,6.1008008058249234e-05
Atlantibacter,6.014264624182017e-05
Tannerella,5.906094397128383e-05
Cedecea,5.4734134889138496e-05
Oscillibacter,5.2354389893958564e-05
Arthrospira,5.2354389893958564e-05
Lactonifactor,5.2138049439851296e-05
Ruthenibacterium,5.127268762342223e-05
Siccibacter,5.040732580699316e-05
Culturomica,5.019098535288589e-05
Methanosarcina,4.9541963990564096e-05
Xenorhabdus,4.391711218377516e-05
Rhodobacter,4.3700771729667893e-05
Chlamydia,4.2619069459131555e-05
Crocosphaera,4.2186388550917026e-05
Subdoligranulum,4.2186388550917026e-05
Microcystis,4.0888345826273426e-05
Butyricicoccus,4.0022984009844355e-05
Capnocytophaga,3.8724941285200755e-05
Kingella,3.850860083109349e-05
Frischella,3.807591992287895e-05
Intestinimonas,3.764323901466442e-05
Desulfotalea,3.7426898560557155e-05
Campylobacter,3.569617492769902e-05
Tumebacillus,3.5263494019484484e-05
Serratia,3.418179174894815e-05
Shewanella,3.331642993251909e-05
Anaerotruncus,3.310008947841182e-05
Hungatella,3.288374902430455e-05
Treponema,3.093668493733915e-05
Sanguibacteroides,3.093668493733915e-05
Erwinia,3.072034448323188e-05
Alloscardovia,2.8556939942159217e-05
Acetivibrio,2.812425903394468e-05
Fournierella,2.6609875855193814e-05
Senegalimassilia,2.5744514038764746e-05
Methyloglobulus,2.5095492676442946e-05
Pseudobutyrivibrio,2.4879152222335682e-05
Magnetospirillum,2.4013790405906614e-05
Pseudoflavonifractor,2.4013790405906614e-05
Alloprevotella,2.358110949769208e-05
Alkaliphilus,2.2715747681263014e-05
Oceanospirillum,2.2715747681263014e-05
Rhodopseudomonas,2.228306677304848e-05
Aliivibrio,2.141770495661941e-05
Clostridioides,2.098502404840488e-05
Buttiauxella,2.076868359429761e-05
Holdemania,2.011966223197581e-05
Pectobacterium,1.968698132376128e-05
Bittarella,1.968698132376128e-05
Acholeplasma,1.968698132376128e-05
Yersinia,1.947064086965401e-05
Mangrovibacter,1.9254300415546744e-05
Phascolarctobacterium,1.9037959961439476e-05
Mucilaginibacter,1.8605279053224944e-05
Rhizobium,1.752357678268861e-05
Rikenella,1.6658214966259544e-05
Enhygromyxa,1.6658214966259544e-05
Dickeya,1.622553405804501e-05
Gordonibacter,1.5792853149830476e-05
Hespellia,1.557651269572321e-05
Bariatricus,1.5143831787508675e-05
Necropsobacter,1.5143831787508675e-05
Veillonella,1.5143831787508675e-05
Holdemanella,1.4711150879294142e-05
Lachnoanaerobaculum,1.3629448608757807e-05
Traorella,1.3629448608757807e-05
Ruminiclostridium,1.3413108154650541e-05
Stomatobaculum,1.2980427246436007e-05
Falsirhodobacter,1.2764086792328741e-05
Actinomyces,1.2764086792328741e-05
Streptobacillus,1.2764086792328741e-05
Paenibacillus,1.2547746338221473e-05
Coprobacillus,1.2547746338221473e-05
Allobaculum,1.146604406768514e-05
Providencia,1.0600682251256073e-05
Carboxydothermus,1.0384341797148806e-05
Actinopolyspora,1.0384341797148806e-05
Actinophytocola,1.0384341797148806e-05
Slackia,9.951660888934272e-06
Riemerella,9.951660888934272e-06
Rahnella,9.735320434827006e-06
Dysgonomonas,8.653618164290672e-06
Solobacterium,8.004596801968872e-06
Selenomonas,7.788256347861604e-06
Nissabacter,7.571915893754337e-06
Candidatus Endobugula,7.355575439647071e-06
Roseimaritima,7.139234985539804e-06
Tatumella,7.139234985539804e-06
Lachnobacterium,6.922894531432537e-06
Marvinbryantia,6.7065540773252704e-06
Paludibacter,6.7065540773252704e-06
Candidatus Endoriftia,6.4902136232180035e-06
Neglecta,6.273873169110737e-06
Tidjanibacter,6.273873169110737e-06
Enorma,6.0575327150034705e-06
Petrimonas,5.841192260896204e-06
Proteiniphilum,5.841192260896204e-06
Edwardsiella,5.40851135268167e-06
Sodalis,5.40851135268167e-06
