Species,RA,TAX_ID
Escherichia,0.2923015102300506,561
Bacteroides,0.16222080835816896,816
Bifidobacterium,0.16105786316652498,1678
Shigella,0.10503924913016754,620
Prevotella,0.09220882892088926,838
Parabacteroides,0.09106014239219316,375288
Clostridium,0.03060838042112745,1485
Alistipes,0.01018457407105351,239759
Roseburia,0.009743419681059635,841
Collinsella,0.00660197698522176,102106
Eubacterium,0.006297144054623642,1730
Anaerostipes,0.006252639742998402,207244
Akkermansia,0.002983301161324889,239934
Ruminococcus,0.0019914599250556034,1263
Unassigned,0.0013871950725517497,12908
Citrobacter,0.0012441763623774376,544
Blautia,0.0011715868055518048,572511
Kluyvera,0.0010959726838584375,579
Klebsiella,0.001055789179187105,570
Obesumbacterium,0.000993353518703153,82982
Faecalibacterium,0.0008926787166771267,216851
Salmonella,0.000829810975497784,590
Mediterranea,0.0007872510270018029,1926659
Enterobacter,0.0007816339779617241,547
Cronobacter,0.0005305950939397441,413496
Lamprocystis,0.0005029419294347412,53452
Odoribacter,0.0004863068226622004,283168
Lactobacillus,0.0004642707071972762,1578
Lachnoclostridium,0.00045584513363715806,1506553
Scardovia,0.00040853229749187957,196081
Dorea,0.0003432881124878882,189330
Paraprevotella,0.00031606702867827596,577309
Fusicatenibacter,0.0003102339392905019,1407607
Lelliottia,0.00029359883251796104,1330545
Trabulsiella,0.0002452057946342059,158851
Coprococcus,0.00024412559289572921,33042
Pantoea,0.00024066894733260384,53335
Kosakonia,0.00023548397898791578,1330547
Acinetobacter,0.00021949699325846095,469
Leclercia,0.00020739873378752217,83654
Pluralibacter,0.0002022137654428341,1330546
Helicobacter,0.0001881711428426373,209
Raoultella,0.00018298617449794924,160674
Tyzzerella,0.00018168993241177722,1506577
Yokenella,0.00017023979398392443,158876
Barnesiella,0.00016721522911618974,397864
Coprobacter,0.000159653816946853,1348911
Gardnerella,0.0001529565661682976,2701
Porphyromonas,0.00014474703295587485,836
Fibrobacter,0.00014474703295587485,832
Butyrivibrio,0.00013999414530657745,830
Corynebacterium,0.00012724776479255265,1716
Bacillus,0.00012292695783864595,1386
Erysipelatoclostridium,0.00011514950532161386,1505663
Haemophilus,0.00011190890010618383,724
Shimwellia,0.00010391540724145642,1335483
Morganella,0.00010067480202602638,581
Emergencia,8.68482197735249e-05,1926556
Faecalitalea,8.576801803504822e-05,1573534
Franconibacter,8.360761455809487e-05,1649295
Gallibacterium,7.518204099797678e-05,155493
Gilliamella,7.258955682563275e-05,1193503
Rappaport,7.150935508715607e-05,1955421
Chryseobacterium,6.783666917633538e-05,59732
Prevotellamassilia,6.178753944086598e-05,1926672
Angelakisella,6.092337805008463e-05,1935176
Atlantibacter,6.005921665930329e-05,1903434
Tannerella,5.897901492082661e-05,195950
Cedecea,5.46582079669199e-05,158483
Oscillibacter,5.228176414227121e-05,459786
Arthrospira,5.228176414227121e-05,35823
Lactonifactor,5.206572379457587e-05,420345
Ruthenibacterium,5.1201562403794535e-05,1905344
Siccibacter,5.033740101301319e-05,1649298
Culturomica,5.012136066531785e-05,1926651
Methanosarcina,4.9473239622231846e-05,2207
Xenorhabdus,4.385619058215312e-05,626
Rhodobacter,4.364015023445779e-05,1060
Chlamydia,4.255994849598111e-05,810
Subdoligranulum,4.212786780059044e-05,292632
Crocosphaera,4.212786780059044e-05,263510
Microcystis,4.0831625714418425e-05,1125
Butyricicoccus,3.996746432363708e-05,580596
Capnocytophaga,3.867122223746507e-05,1016
Kingella,3.8455181889769736e-05,32257
Frischella,3.802310119437906e-05,1335631
Intestinimonas,3.759102049898839e-05,1392389
Desulfotalea,3.737498015129305e-05,109168
Campylobacter,3.564665736973037e-05,194
Tumebacillus,3.52145766743397e-05,432330
Serratia,3.413437493586302e-05,613
Shewanella,3.327021354508168e-05,22
Anaerotruncus,3.305417319738634e-05,244127
Hungatella,3.2838132849691005e-05,1649459
Sanguibacteroides,3.089376972043299e-05,1635148
Treponema,3.089376972043299e-05,157
Erwinia,3.0677729372737654e-05,551
Alloscardovia,2.8517325895784295e-05,419014
Acetivibrio,2.8085245200393626e-05,35829
Fournierella,2.6572962766526278e-05,1940255
Senegalimassilia,2.5708801375744933e-05,1473205
Methyloglobulus,2.5060680332658926e-05,1410680
Pseudobutyrivibrio,2.4844639984963592e-05,46205
Pseudoflavonifractor,2.398047859418225e-05,1017280
Magnetospirillum,2.398047859418225e-05,13134
Alloprevotella,2.3548397898791578e-05,1283313
Alkaliphilus,2.2684236508010237e-05,114627
Oceanospirillum,2.2684236508010237e-05,965
Rhodopseudomonas,2.2252155812619564e-05,1073
Aliivibrio,2.1387994421838223e-05,511678
Clostridioides,2.095591372644755e-05,1870884
Buttiauxella,2.0739873378752216e-05,82976
Holdemania,2.009175233566621e-05,61170
Pectobacterium,1.9659671640275537e-05,122277
Acholeplasma,1.9659671640275537e-05,2147
Bittarella,1.9659671640275537e-05,1929297
Yersinia,1.9443631292580202e-05,629
Mangrovibacter,1.9227590944884868e-05,451512
Phascolarctobacterium,1.901155059718953e-05,33024
Mucilaginibacter,1.857946990179886e-05,423349
Rhizobium,1.7499268163322182e-05,379
Rikenella,1.663510677254084e-05,28138
Enhygromyxa,1.663510677254084e-05,215802
Dickeya,1.6203026077150168e-05,204037
Gordonibacter,1.5770945381759496e-05,644652
Hespellia,1.555490503406416e-05,241189
Necropsobacter,1.512282433867349e-05,908284
Bariatricus,1.512282433867349e-05,1924081
Veillonella,1.512282433867349e-05,29465
Holdemanella,1.469074364328282e-05,1573535
Lachnoanaerobaculum,1.3610541904806142e-05,1164882
Traorella,1.3610541904806142e-05,1929045
Ruminiclostridium,1.3394501557110806e-05,1508657
Stomatobaculum,1.2962420861720135e-05,1213720
Falsirhodobacter,1.27463805140248e-05,1434002
Actinomyces,1.27463805140248e-05,1654
Streptobacillus,1.27463805140248e-05,34104
Paenibacillus,1.2530340166329463e-05,44249
Coprobacillus,1.2530340166329463e-05,100883
Allobaculum,1.1450138427852786e-05,174708
Providencia,1.0585977037071444e-05,586
Carboxydothermus,1.0369936689376108e-05,129957
Actinophytocola,1.0369936689376108e-05,695999
Actinopolyspora,1.0369936689376108e-05,1849
Riemerella,9.937855993985437e-06,34084
Slackia,9.937855993985437e-06,84108
Rahnella,9.721815646290101e-06,34037
Dysgonomonas,8.641613907813424e-06,156973
Solobacterium,7.993492864727417e-06,123375
Selenomonas,7.77745251703208e-06,970
Nissabacter,7.561412169336745e-06,1964366
Candidatus Endobugula,7.34537182164141e-06,62100
Tatumella,7.129331473946074e-06,82986
Roseimaritima,7.129331473946074e-06,1579506
Lachnobacterium,6.9132911262507384e-06,140625
Paludibacter,6.697250778555403e-06,346096
Marvinbryantia,6.697250778555403e-06,248744
Candidatus Endoriftia,6.481210430860068e-06,393764
Neglecta,6.2651700831647316e-06,1924105
Tidjanibacter,6.2651700831647316e-06,1929083
Enorma,6.049129735469396e-06,1472762
Petrimonas,5.833089387774061e-06,307628
Proteiniphilum,5.833089387774061e-06,294702
Edwardsiella,5.401008692383389e-06,635
Sodalis,5.401008692383389e-06,84565
Parascardovia,5.184968344688054e-06,196082
Coriobacterium,5.184968344688054e-06,33870
Hathewaya,4.968927996992719e-06,1769729
Libanicoccus,4.968927996992719e-06,1935188
Asaccharospora,4.968927996992719e-06,1505660
Sellimonas,4.7528876492973825e-06,1769710
Lysobacter,4.536847301602047e-06,68
Sharpea,4.536847301602047e-06,519427
Candidatus Magnetomorum,4.536847301602047e-06,1141978
Macellibacteroides,4.536847301602047e-06,1159323
Johnsonella,4.536847301602047e-06,43994
Moellerella,4.320806953906712e-06,158848
Massilioclostridium,4.320806953906712e-06,1935927
Butyricimonas,4.104766606211376e-06,574697
Enterococcus,4.104766606211376e-06,1350
Acetitomaculum,4.104766606211376e-06,31980
Megasphaera,4.104766606211376e-06,906
Hafnia,4.104766606211376e-06,568
Arsenophonus,4.104766606211376e-06,637
Candidatus Azobacteroides,3.88872625851604e-06,511434
Brenneria,3.88872625851604e-06,71655
Chania,3.88872625851604e-06,1745211
Izhakiella,3.672685910820705e-06,1780190
Phocea,3.672685910820705e-06,1926663
Staphylococcus,3.672685910820705e-06,1279
Proteus,3.4566455631253692e-06,583
Oribacterium,3.4566455631253692e-06,265975
Lascolabacillus,3.240605215430034e-06,1924067
Nitrolancea,3.240605215430034e-06,1206748
Pediococcus,3.240605215430034e-06,1253
Robinsoniella,3.024564867734698e-06,588605
Streptococcus,3.024564867734698e-06,1301
Cellulomonas,2.8085245200393624e-06,1707
Merdibacter,2.8085245200393624e-06,1935200
Plesiomonas,2.592484172344027e-06,702
Aeromonas,2.592484172344027e-06,642
Ewingella,2.3764438246486913e-06,41201
Exiguobacterium,2.3764438246486913e-06,33986
Eggerthella,2.3764438246486913e-06,84111
Lonsdalea,2.3764438246486913e-06,1082702
Budvicia,2.160403476953356e-06,82978
Neisseria,2.160403476953356e-06,482
Oxalobacter,2.160403476953356e-06,846
Peptoniphilus,2.160403476953356e-06,162289
Desnuesiella,1.94436312925802e-06,1924062
Anaerosporobacter,1.94436312925802e-06,653683
Fermentimonas,1.7283227815626846e-06,1784836
Flavobacterium,1.7283227815626846e-06,237
Gabonia,1.7283227815626846e-06,1923867
Leucobacter,1.7283227815626846e-06,55968
Actinobacillus,1.512282433867349e-06,713
Vibrio,1.512282433867349e-06,662
Raphidiopsis,1.512282433867349e-06,244599
Olsenella,1.512282433867349e-06,133925
Synechococcus,1.512282433867349e-06,1129
Pragia,1.2962420861720135e-06,82984
Parasporobacterium,1.2962420861720135e-06,115543
Rouxiella,1.2962420861720135e-06,1565532
Shuttleworthia,1.2962420861720135e-06,177971
Heliobacterium,1.2962420861720135e-06,2697
Intestinibacter,1.080201738476678e-06,1505657
Mageeibacillus,1.080201738476678e-06,1637257
Bibersteinia,1.080201738476678e-06,476528
Candidatus Arthromitus,1.080201738476678e-06,49082
Proteiniclasticum,1.080201738476678e-06,1155385
Streptomyces,1.080201738476678e-06,1883
Candidatus Regiella,8.641613907813423e-07,568988
Enterorhabdus,8.641613907813423e-07,580024
Rhodococcus,8.641613907813423e-07,1827
Paraburkholderia,8.641613907813423e-07,1822464
Pseudomonas,8.641613907813423e-07,286
Desulfosporosinus,8.641613907813423e-07,79206
Varibaculum,6.481210430860068e-07,184869
Lachnospira,6.481210430860068e-07,28050
Mycobacterium,6.481210430860068e-07,1763
Phocaeicola,6.481210430860068e-07,909656
Pontibacillus,6.481210430860068e-07,289201
Drancourtella,6.481210430860068e-07,1903506
Cosenzaea,6.481210430860068e-07,1354333
Rosenbergiella,6.481210430860068e-07,1356488
Asticcacaulis,6.481210430860068e-07,76890
Turicibacter,6.481210430860068e-07,191303
Catonella,6.481210430860068e-07,43996
Pseudoalteromonas,6.481210430860068e-07,53246
Adlercreutzia,6.481210430860068e-07,447020
Anaerophaga,4.3208069539067115e-07,177399
Peptostreptococcus,4.3208069539067115e-07,1257
Moritella,4.3208069539067115e-07,58050
Thiomicrospira,4.3208069539067115e-07,933
Crocinitomix,4.3208069539067115e-07,246873
Dielma,4.3208069539067115e-07,1472649
Caballeronia,4.3208069539067115e-07,1827195
Fenollaria,4.3208069539067115e-07,1686313
Gemmata,4.3208069539067115e-07,113
Beduini,4.3208069539067115e-07,1922299
Burkholderia,4.3208069539067115e-07,32008
Histophilus,4.3208069539067115e-07,214906
Skermanella,4.3208069539067115e-07,204447
Anaerobium,2.1604034769533558e-07,1855714
Candidatus Marithrix,2.1604034769533558e-07,1031282
Anaerococcus,2.1604034769533558e-07,165779
Catenibacterium,2.1604034769533558e-07,135858
Eisenbergiella,2.1604034769533558e-07,1432051
Oenococcus,2.1604034769533558e-07,46254
Fusobacterium,2.1604034769533558e-07,848
Francisella,2.1604034769533558e-07,262
Catellicoccus,2.1604034769533558e-07,300418
Photorhabdus,2.1604034769533558e-07,29487
Synergistes,2.1604034769533558e-07,2753
Avibacterium,2.1604034769533558e-07,292486
Photobacterium,2.1604034769533558e-07,657
