SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline
SRR11487937,17,0.5315,0.0291,9.9615,0.7525,0.0338,87.5000,4.6137,0.0,1.0,biobakery3
SRR11487938,17,0.5520,0.0288,9.3097,0.7556,0.0333,87.5000,4.5333,0.0,1.0,biobakery3
SRR11487939,17,0.5207,0.0290,11.3751,0.7533,0.0343,87.5000,4.8612,0.0,1.0,biobakery3
SRR11487940,17,0.5497,0.0279,9.8744,0.7633,0.0330,87.5000,4.6898,0.0,1.0,biobakery3
SRR11487941,17,0.5396,0.0290,11.4080,0.7538,0.0340,87.5000,4.9541,0.0,1.0,biobakery3
Average,17,0.5387,0.0287,10.3857,0.7557,0.0337,87.5000,4.7304,0.0,1.0,biobakery3
SRR11487937,16,0.7057,0.0194,1.7957,0.8447,0.0281,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487938,16,0.6971,0.0204,1.9222,0.8368,0.0296,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487939,16,0.6971,0.0198,1.9306,0.8414,0.0294,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487940,16,0.7089,0.0193,1.8183,0.8459,0.0282,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487941,16,0.7041,0.0194,1.8753,0.8452,0.0288,100.0000,0.0000,0.0,0.0,biobakery4
Average,16,0.7026,0.0197,1.8684,0.8428,0.0288,100.0000,0.0000,0.0,0.0,biobakery4
SRR11487937,25,0.7472,0.0148,7.2661,0.8154,0.0216,100.0000,0.1795,0.019999679861059702,9.0,jams
SRR11487938,24,0.7391,0.0153,5.8057,0.8162,0.0222,100.0000,0.2445,0.016006426982119678,8.0,jams
SRR11487939,27,0.7547,0.0138,7.9167,0.8143,0.0212,100.0000,0.2141,0.028981983442297174,11.0,jams
SRR11487940,24,0.7446,0.0151,7.2145,0.8191,0.0220,100.0000,0.1305,0.01581060096692597,8.0,jams
SRR11487941,24,0.7397,0.0153,7.0752,0.8167,0.0221,100.0000,0.1498,0.019844728234386516,8.0,jams
Average,25,0.7451,0.0148,7.0556,0.8163,0.0218,100.0000,0.1837,0.020128683897357807,8.8,jams
SRR11487937,17,0.6029,0.0216,2.4260,0.8161,0.0269,100.0000,0.0000,0.008073920306995006,1.0,jams202212
SRR11487938,17,0.6077,0.0216,2.3181,0.8168,0.0271,100.0000,0.0000,0.0046410389985506026,1.0,jams202212
SRR11487939,17,0.6152,0.0214,2.7375,0.8184,0.0270,100.0000,0.0000,0.012141584486616308,1.0,jams202212
SRR11487940,17,0.6160,0.0212,2.2776,0.8196,0.0269,100.0000,0.0000,0.005205987246932603,1.0,jams202212
SRR11487941,17,0.6121,0.0213,2.4107,0.8187,0.0271,100.0000,0.0000,0.0071270124334366055,1.0,jams202212
Average,17,0.6108,0.0214,2.4340,0.8179,0.0270,100.0000,0.0000,0.007437908694506225,1.0,jams202212
SRR11487937,50,0.6909,0.0110,10.9171,0.7239,0.0222,100.0000,1.8046,0.0732826236843136,34.0,sunbeam
SRR11487938,49,0.6860,0.0113,10.8826,0.7225,0.0228,100.0000,1.7834,0.07082415979203699,33.0,sunbeam
SRR11487939,49,0.6857,0.0114,10.6665,0.7218,0.0228,100.0000,1.8297,0.07293624599279291,33.0,sunbeam
SRR11487940,49,0.6890,0.0113,10.8082,0.7239,0.0227,100.0000,1.7815,0.07084022344441605,33.0,sunbeam
SRR11487941,48,0.6871,0.0115,10.7036,0.7236,0.0229,100.0000,1.7594,0.07171206901289157,32.0,sunbeam
Average,49,0.6877,0.0113,10.7956,0.7232,0.0227,100.0000,1.7917,0.07191906438529022,33.0,sunbeam
SRR11487937,48,0.6661,0.0109,10.5522,0.7382,0.0227,100.0000,1.5624,0.0913510164212989,32.0,wgsa2
SRR11487938,47,0.6653,0.0111,10.4484,0.7384,0.0230,100.0000,1.4812,0.08996773038320857,31.0,wgsa2
SRR11487939,48,0.6646,0.0110,10.4124,0.7368,0.0229,100.0000,1.5539,0.09104706920730951,32.0,wgsa2
SRR11487940,47,0.6662,0.0111,10.5161,0.7385,0.0229,100.0000,1.6552,0.08982391041301223,31.0,wgsa2
SRR11487941,48,0.6671,0.0109,10.4502,0.7383,0.0228,100.0000,1.4977,0.09059603384667328,32.0,wgsa2
Average,48,0.6658,0.0110,10.4759,0.7380,0.0229,100.0000,1.5501,0.09055715205430051,31.6,wgsa2
SRR11487937,79,0.5600,0.0082,14.0769,0.6753,0.0201,93.7500,10.0666,0.008688118890591921,63.0,woltka
SRR11487938,79,0.5554,0.0083,14.1226,0.6713,0.0203,93.7500,10.0026,0.009089948759362178,63.0,woltka
SRR11487939,77,0.5588,0.0084,13.9100,0.6762,0.0204,93.7500,10.0541,0.008894465698639787,61.0,woltka
SRR11487940,80,0.5574,0.0082,14.1215,0.6712,0.0201,93.7500,10.0465,0.009291206999168664,64.0,woltka
SRR11487941,80,0.5585,0.0082,14.1774,0.6727,0.0201,93.7500,10.1374,0.009204776551267384,64.0,woltka
Average,79,0.5580,0.0083,14.0817,0.6733,0.0202,93.7500,10.0614,0.009033703379805986,63.0,woltka
