SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,15,0.6688,0.0252,5.0014,0.7986,0.0302,93.7500,0.0000,bio4
SRR11487938,15,0.6931,0.0249,4.6478,0.8009,0.0298,93.7500,0.0000,bio4
SRR11487939,15,0.6641,0.0248,5.7779,0.8019,0.0306,93.7500,0.0000,bio4
SRR11487940,15,0.6969,0.0237,4.9281,0.8102,0.0292,93.7500,0.0000,bio4
SRR11487941,15,0.6935,0.0246,5.7387,0.8033,0.0302,93.7500,0.0000,bio4
Average,15,0.6833,0.0246,5.2188,0.8030,0.0300,93.7500,0.0000,bio4
SRR11487937,35,0.5479,0.0239,8.2583,0.8032,0.0292,100.0000,5.7091,jams
SRR11487938,32,0.5460,0.0239,8.6504,0.8036,0.0294,100.0000,5.1964,jams
SRR11487939,41,0.5747,0.0234,3.3553,0.8067,0.0292,93.7500,6.5271,jams
SRR11487940,36,0.5531,0.0236,9.0831,0.8060,0.0292,100.0000,5.1158,jams
SRR11487941,33,0.5581,0.0237,8.1152,0.8045,0.0293,100.0000,5.6582,jams
Average,35,0.5559,0.0237,7.4925,0.8048,0.0293,98.7500,5.6413,jams
SRR11487937,171,0.6162,0.0271,7.2906,0.7596,0.0329,100.0000,19.4749,wgsa
SRR11487938,182,0.6172,0.0272,7.3210,0.7596,0.0331,100.0000,19.2066,wgsa
SRR11487939,173,0.6217,0.0271,7.0792,0.7598,0.0333,100.0000,19.2866,wgsa
SRR11487940,169,0.6200,0.0271,7.1672,0.7602,0.0330,100.0000,19.2584,wgsa
SRR11487941,172,0.6231,0.0271,7.2852,0.7601,0.0332,100.0000,19.3480,wgsa
Average,173,0.6196,0.0271,7.2286,0.7599,0.0331,100.0000,19.3149,wgsa
SRR11487937,96,0.0645,0.0319,2.8809,0.7349,0.0415,100.0000,7.4117,wol
SRR11487938,99,0.0633,0.0324,2.9006,0.7305,0.0420,100.0000,7.4688,wol
SRR11487939,98,0.0662,0.0317,2.8965,0.7363,0.0414,100.0000,7.4284,wol
SRR11487940,98,0.0643,0.0324,2.8819,0.7307,0.0419,100.0000,7.4774,wol
SRR11487941,97,0.0658,0.0321,2.8748,0.7333,0.0417,100.0000,7.4862,wol
Average,98,0.0648,0.0321,2.8869,0.7331,0.0417,100.0000,7.4545,wol
