SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline
SRR11487937,19,0.2750,0.0046,5.9654,0.7820,0.0062,100.0000,0.7960,bio4
SRR11487938,19,0.3349,0.0044,5.4644,0.7892,0.0060,100.0000,0.6985,bio4
SRR11487939,19,0.2702,0.0045,6.6548,0.7857,0.0062,100.0000,0.7874,bio4
SRR11487940,19,0.2963,0.0043,5.8315,0.7928,0.0061,100.0000,0.8118,bio4
SRR11487941,19,0.3061,0.0044,6.5860,0.7880,0.0061,100.0000,0.7704,bio4
Average,19,0.2965,0.0045,6.1004,0.7876,0.0061,100.0000,0.7728,bio4
SRR11487937,101,0.7516,0.0008,17.9757,0.7865,0.0026,100.0000,0.5255,jams
SRR11487938,90,0.7448,0.0010,17.9445,0.7862,0.0028,100.0000,0.5167,jams
SRR11487939,114,0.7524,0.0007,18.1793,0.7905,0.0024,100.0000,0.4776,jams
SRR11487940,90,0.7511,0.0009,17.0748,0.7895,0.0027,100.0000,0.5032,jams
SRR11487941,105,0.7539,0.0008,18.1879,0.7893,0.0025,100.0000,0.5088,jams
Average,100,0.7508,0.0009,17.8724,0.7884,0.0026,100.0000,0.5063,jams
SRR11487937,232,0.7436,0.0004,25.3943,0.7631,0.0019,100.0000,1.1247,wgsa
SRR11487938,220,0.7416,0.0004,24.7745,0.7636,0.0020,100.0000,1.0888,wgsa
SRR11487939,238,0.7438,0.0004,25.2264,0.7632,0.0019,100.0000,1.1001,wgsa
SRR11487940,211,0.7425,0.0004,24.5536,0.7642,0.0020,100.0000,1.1293,wgsa
SRR11487941,234,0.7440,0.0004,25.3786,0.7647,0.0019,100.0000,1.0886,wgsa
Average,227,0.7431,0.0004,25.0655,0.7638,0.0019,100.0000,1.1063,wgsa
SRR11487937,299,0.5239,0.0005,22.6633,0.6046,0.0020,100.0000,5.4872,wol
SRR11487938,308,0.5187,0.0005,23.2156,0.5988,0.0020,100.0000,5.5973,wol
SRR11487939,300,0.5257,0.0005,22.8387,0.6062,0.0020,100.0000,5.4916,wol
SRR11487940,308,0.5221,0.0005,23.1817,0.5992,0.0020,100.0000,5.6129,wol
SRR11487941,306,0.5230,0.0005,23.0503,0.6006,0.0020,100.0000,5.5965,wol
Average,304,0.5227,0.0005,22.9899,0.6019,0.0020,100.0000,5.5571,wol
