species,SRR11487938,tax_id
AKKERMANSIA_MUCINIPHILA,0.0728268,239935
ALISTIPES_FINEGOLDII,0.0011104,214856
ANAEROSTIPES_HADRUS,0.0494792,649756
BACTEROIDES_THETAIOTAOMICRON,0.0483222,818
BACTEROIDES_UNIFORMIS,0.0459813,820
BIFIDOBACTERIUM_LONGUM,0.1646294,216816
BLAUTIA_WEXLERAE,0.0331017,418240
CLOSTRIDIUM_BUTYRICUM,0.006670199999999999,1492
COLLINSELLA_AEROFACIENS,0.0800102,74426
ESCHERICHIA_COLI,0.0525441,562
EUBACTERIUM_HALLII,0.0453333,39488
FAECALIBACTERIUM_PRAUSNITZII,0.0400108,853
LACTOBACILLUS_GASSERI,0.008939200000000001,1596
LACTOBACILLUS_PARAGASSERI,0.0349265,2107999
PARABACTEROIDES_DISTASONIS,0.0512713,823
PREVOTELLA_COPRI,0.0534187,165179
PREVOTELLA_MELANINOGENICA,0.1095923,28132
ROSEBURIA_HOMINIS,0.0600662,301301
ROSEBURIA_INTESTINALIS,0.041766300000000006,166486
