genus,SRR11487940,tax_id
AKKERMANSIA,0.07057229999999999,239934
ALISTIPES,0.0007568,239759
ANAEROSTIPES,0.0504425,207244
BACTEROIDES,0.0939585,816
BIFIDOBACTERIUM,0.15619339999999998,1678
BLAUTIA,0.0338457,572511
CLOSTRIDIUM,0.0061732,1485
COLLINSELLA,0.0792783,102106
ESCHERICHIA,0.048033200000000005,561
EUBACTERIUM,0.046897799999999996,1730
FAECALIBACTERIUM,0.0416435,216851
LACTOBACILLUS,0.04906540000000001,1578
PARABACTEROIDES,0.0524707,375288
PREVOTELLA,0.16799109999999998,838
ROSEBURIA,0.10267749999999999,841
