genus,SRR11487940,tax_id
AKKERMANSIA,0.0714085,239934
ALISTIPES,0.051432700000000005,239759
ANAEROBUTYRICUM,0.0382736,2569097
ANAEROSTIPES,0.0457061,207244
BACTEROIDES,0.0801895,816
BIFIDOBACTERIUM,0.2112938,1678
BLAUTIA,0.0354381,572511
CLOSTRIDIUM,0.009335900000000001,1485
COLLINSELLA,0.0424242,102106
ESCHERICHIA,0.040719000000000005,561
FAECALIBACTERIUM,0.041575,216851
LACTOBACILLUS,0.0379269,1578
PARABACTEROIDES,0.0401132,375288
PREVOTELLA,0.12895389999999998,838
ROSEBURIA,0.08264189999999999,841
RUMINOCOCCUS,0.0425676,1263
