genus,SRR11487941,tax_id
BIFIDOBACTERIUM,0.17861328554685782,1678
PREVOTELLA,0.11822852708589165,838
BACTEROIDES,0.10633257466970132,816
ROSEBURIA,0.0852876588493646,841
ALISTIPES,0.05304678781284875,239759
COLLINSELLA,0.052103791584833664,102106
ESCHERICHIA,0.05010379958480166,561
AKKERMANSIA,0.0494688021247915,239934
PARABACTEROIDES,0.049049803800784796,375288
BLAUTIA,0.04672581309674761,572511
RUMINOCOCCUS,0.04601981592073632,1263
FAECALIBACTERIUM,0.03615085539657841,216851
ANAEROBUTYRICUM,0.034778860884556465,2569097
LACTOBACILLUS,0.03214887140451438,1578
ANAEROSTIPES,0.03177087291650834,207244
UNCLASSIFIED,0.019832920668317326,12908
CLOSTRIDIUM,0.00824496702013192,1485
ANAEROTRUNCUS,0.00046399814400742396,244127
DOREA,0.000267998928004288,189330
PHOCAEICOLA,0.00023299906800372798,909656
ENTEROBACTER,0.00016999932000271998,547
SHIGELLA,0.0001499994000024,620
MEDITERRANEIBACTER,0.00010799956800172799,2316020
DYSOSMOBACTER,0.000103999584001664,2591381
KLUYVERA,9.6999612001552e-05,579
SALMONELLA,9.3999624001504e-05,590
KLEBSIELLA,8.199967200131199e-05,570
HUNGATELLA,6.5999736001056e-05,1649459
COPROCOCCUS,5.899976400094399e-05,33042
NOVISYNTROPHOCOCCUS,4.6999812000752e-05,2888809
ANAEROMASSILIBACILLUS,2.999988000048e-05,1924093
LACRIMISPORA,2.999988000048e-05,2719231
MASSILIIMALIA,2.6999892000431997e-05,2895461
RAOULTELLA,1.499994000024e-05,160674
EUBACTERIUM,1.3999944000224e-05,1730
HOLDEMANELLA,8.999964000143999e-06,1573535
CLOSTRIDIOIDES,6.999972000112e-06,1870884
ENTEROCOCCUS,4.99998000008e-06,1350
LACHNOCLOSTRIDIUM,3.9999840000639995e-06,1506553
SALINICOCCUS,2.999988000048e-06,45669
STAPHYLOCOCCUS,2.999988000048e-06,1279
CAMPYLOBACTER,2.999988000048e-06,194
ALIIDONGIA,0.0,1914229
ARCOBACTER,0.0,28196
PROSTHECOBACTER,0.0,48463
TRABULSIELLA,0.0,158851
PSEUDOFLAVONIFRACTOR,0.0,1017280
STREPTOMYCES,0.0,1883
RUTHENIBACTERIUM,0.0,1905344
STREPTOCOCCUS,0.0,1301
ANAPLASMA,0.0,768
SCHAALIA,0.0,2529408
ATLANTIBACTER,0.0,1903434
SATURNISPORA,0.0,29834
ASPERGILLUS,0.0,5052
MYCOLICIBACTERIUM,0.0,1866885
PARACLOSTRIDIUM,0.0,1849822
BUTYRICICOCCUS,0.0,580596
FAECALICATENA,0.0,2005359
FLAVOBACTERIUM,0.0,237
FUSICATENIBACTER,0.0,1407607
HERBASPIRILLUM,0.0,963
INTESTINIRHABDUS,0.0,2899543
CLADONIA,0.0,5199
CITROBACTER,0.0,544
LACHNOANAEROBACULUM,0.0,1164882
LACHNOSPIRA,0.0,28050
LIGILACTOBACILLUS,0.0,2767887
LISTERIA,0.0,1637
MASSOSPORA,0.0,348616
BUTYRIVIBRIO,0.0,830
ENTEROCLOSTER,0.0,2719313
ODORIBACTER,0.0,283168
AEROMONAS,0.0,642
