Genus,RA_expected,Source_expected,SampleID_expected,RA_observed,Source_observed,SampleID_observed,Exp_CLR,Obs_CLR,,,Exp_CLR,Obs_CLR,Distance,,
Akkermansia,0.0637,Expected,expected,0.049211,jams,SRR11487937,0.100146059,0.481667578,0.145558669,,0.100146059,0.944024511,0.712130841,,-0.566572171
Alistipes,0.0454,Expected,expected,0.052954,jams,SRR11487937,-0.238526398,0.554974015,0.629642905,,-0.238526398,0.077608366,0.099941189,,0.529701716
Anaerostipes,0.0611,Expected,expected,0.031741,jams,SRR11487937,0.058473363,0.043159623,0.000234511,,0.058473363,-0.630623507,0.474854496,,-0.474619985
Bacteroides,0.0635,Expected,expected,0.108181,jams,SRR11487937,0.097001403,1.269356153,1.37441566,,0.097001403,1.143326847,1.094796935,,0.279618725
Bifidobacterium,0.1292,Expected,expected,0.174989,jams,SRR11487937,0.807323088,1.750273517,0.889155512,,0.807323088,0.52981957,0.077008203,,0.812147309
Blautia,0.0377,Expected,expected,0.045279,jams,SRR11487937,-0.424378409,0.398393751,0.676954027,,-0.424378409,-0.497377496,0.005328867,,0.671625161
Clostridium,0.037,Expected,expected,0.00857,jams,SRR11487937,-0.443120591,-1.266181865,0.677429861,,-0.443120591,-1.112242651,0.447724332,,0.22970553
Collinsella,0.0695,Expected,expected,0.051311,jams,SRR11487937,0.187288249,0.523455557,0.113008458,,0.187288249,-0.295246313,0.232839604,,-0.119831146
Escherichia,0.0326,Expected,expected,0.050627,jams,SRR11487937,-0.569726215,0.510035433,1.165885217,,-0.569726215,0.838996461,1.984499577,,-0.81861436
Eubacterium,0.0516,Expected,expected,1.20E-05,jams,SRR11487937,-0.110516831,-7.837298227,59.70315074,,-0.110516831,-0.400012668,0.08380784,,59.6193429
Faecalibacterium,0.0549,Expected,expected,0.035266,jams,SRR11487937,-0.048525155,0.148469729,0.038806984,,-0.048525155,-0.445642305,0.157702031,,-0.118895047
Lactobacillus,0.0897,Expected,expected,0.032697,jams,SRR11487937,0.442432266,0.072833733,0.136603075,,0.442432266,-1.192164635,2.671907027,,-2.535303952
Parabacteroides,0.0352,Expected,expected,0.051005,jams,SRR11487937,-0.492992421,0.51747407,1.021042528,,-0.492992421,-0.08668443,0.165086183,,0.855956345
Prevotella,0.1017,Expected,expected,0.118789,jams,SRR11487937,0.5679888,1.362899213,0.631882564,,0.5679888,0.805602514,0.056460277,,0.575422287
Roseburia,0.086,Expected,expected,0.084924,jams,SRR11487937,0.400308793,1.027307141,0.393126929,,0.400308793,0.484867472,0.00715017,,0.385976759
Ruminococcus,0.0413,Expected,expected,0.047353,jams,SRR11487937,-0.333176003,0.443180578,8.22,,-0.333176003,-0.164251736,2.875975934,,5.345757317
GMEAN,0.057629726,,,0.030400212,,,,,,,,,,,
Akkermansia,0.0637,Expected,expected,0.050589646,jams,SRR11487938,,,,,,,,,
Alistipes,0.0454,Expected,expected,0.054199621,jams,SRR11487938,,,,,,,,,
Anaerostipes,0.0611,Expected,expected,0.03137778,jams,SRR11487938,,,,,,,,,
Bacteroides,0.0635,Expected,expected,0.107777246,jams,SRR11487938,,,,,,,,,
Bifidobacterium,0.1292,Expected,expected,0.177387758,jams,SRR11487938,,,,,,,,,
Blautia,0.0377,Expected,expected,0.045142684,jams,SRR11487938,,,,,,,,,
Clostridium,0.037,Expected,expected,0.008250942,jams,SRR11487938,,,,,,,,,
Collinsella,0.0695,Expected,expected,0.052557632,jams,SRR11487938,,,,,,,,,
Escherichia,0.0326,Expected,expected,0.053437626,jams,SRR11487938,,,,,,,,,
Eubacterium,0.0516,Expected,expected,8.00E-06,jams,SRR11487938,,,,,,,,,
Faecalibacterium,0.0549,Expected,expected,0.03571475,jams,SRR11487938,,,,,,,,,
Lactobacillus,0.0897,Expected,expected,0.032251774,jams,SRR11487938,,,,,,,,,
Parabacteroides,0.0352,Expected,expected,0.05002465,jams,SRR11487938,,,,,,,,,
Prevotella,0.1017,Expected,expected,0.117441178,jams,SRR11487938,,,,,,,,,
Roseburia,0.086,Expected,expected,0.085434402,jams,SRR11487938,,,,,,,,,
Ruminococcus,0.0413,Expected,expected,0.046440675,jams,SRR11487938,,,,,,,,,
Akkermansia,0.0637,Expected,expected,0.04890056,jams,SRR11487939,,,,,,,,,
Alistipes,0.0454,Expected,expected,0.053419519,jams,SRR11487939,,,,,,,,,
Anaerostipes,0.0611,Expected,expected,0.031237719,jams,SRR11487939,,,,,,,,,
Bacteroides,0.0635,Expected,expected,0.10438906,jams,SRR11487939,,,,,,,,,
Bifidobacterium,0.1292,Expected,expected,0.179938381,jams,SRR11487939,,,,,,,,,
Blautia,0.0377,Expected,expected,0.044142603,jams,SRR11487939,,,,,,,,,
Clostridium,0.037,Expected,expected,0.007237935,jams,SRR11487939,,,,,,,,,
Collinsella,0.0695,Expected,expected,0.052791525,jams,SRR11487939,,,,,,,,,
Escherichia,0.0326,Expected,expected,0.045806588,jams,SRR11487939,,,,,,,,,
Eubacterium,0.0516,Expected,expected,0,jams,SRR11487939,,,,,,,,,
Faecalibacterium,0.0549,Expected,expected,0.036341673,jams,SRR11487939,,,,,,,,,
Lactobacillus,0.0897,Expected,expected,0.031313718,jams,SRR11487939,,,,,,,,,
Parabacteroides,0.0352,Expected,expected,0.047290574,jams,SRR11487939,,,,,,,,,
Prevotella,0.1017,Expected,expected,0.117886939,jams,SRR11487939,,,,,,,,,
Roseburia,0.086,Expected,expected,0.086607221,jams,SRR11487939,,,,,,,,,
Ruminococcus,0.0413,Expected,expected,0.047424573,jams,SRR11487939,,,,,,,,,
Akkermansia,0.0637,Expected,expected,0.050177251,jams,SRR11487940,,,,,,,,,
Alistipes,0.0454,Expected,expected,0.054376272,jams,SRR11487940,,,,,,,,,
Anaerostipes,0.0611,Expected,expected,0.032284161,jams,SRR11487940,,,,,,,,,
Bacteroides,0.0635,Expected,expected,0.106853534,jams,SRR11487940,,,,,,,,,
Bifidobacterium,0.1292,Expected,expected,0.178133891,jams,SRR11487940,,,,,,,,,
Blautia,0.0377,Expected,expected,0.04602523,jams,SRR11487940,,,,,,,,,
Clostridium,0.037,Expected,expected,0.008765044,jams,SRR11487940,,,,,,,,,
Collinsella,0.0695,Expected,expected,0.052908265,jams,SRR11487940,,,,,,,,,
Escherichia,0.0326,Expected,expected,0.051733259,jams,SRR11487940,,,,,,,,,
Eubacterium,0.0516,Expected,expected,5.00E-06,jams,SRR11487940,,,,,,,,,
Faecalibacterium,0.0549,Expected,expected,0.036250181,jams,SRR11487940,,,,,,,,,
Lactobacillus,0.0897,Expected,expected,0.032420162,jams,SRR11487940,,,,,,,,,
Parabacteroides,0.0352,Expected,expected,0.05005525,jams,SRR11487940,,,,,,,,,
Prevotella,0.1017,Expected,expected,0.117136586,jams,SRR11487940,,,,,,,,,
Roseburia,0.086,Expected,expected,0.08598243,jams,SRR11487940,,,,,,,,,
Ruminococcus,0.0413,Expected,expected,0.045735229,jams,SRR11487940,,,,,,,,,
Akkermansia,0.0637,Expected,expected,0.049468802,jams,SRR11487941,,,,,,,,,
Alistipes,0.0454,Expected,expected,0.053046788,jams,SRR11487941,,,,,,,,,
Anaerostipes,0.0611,Expected,expected,0.031770873,jams,SRR11487941,,,,,,,,,
Bacteroides,0.0635,Expected,expected,0.106332575,jams,SRR11487941,,,,,,,,,
Bifidobacterium,0.1292,Expected,expected,0.178613286,jams,SRR11487941,,,,,,,,,
Blautia,0.0377,Expected,expected,0.046725813,jams,SRR11487941,,,,,,,,,
Clostridium,0.037,Expected,expected,0.008244967,jams,SRR11487941,,,,,,,,,
Collinsella,0.0695,Expected,expected,0.052103792,jams,SRR11487941,,,,,,,,,
Escherichia,0.0326,Expected,expected,0.0501038,jams,SRR11487941,,,,,,,,,
Eubacterium,0.0516,Expected,expected,1.40E-05,jams,SRR11487941,,,,,,,,,
Faecalibacterium,0.0549,Expected,expected,0.036150855,jams,SRR11487941,,,,,,,,,
Lactobacillus,0.0897,Expected,expected,0.032148871,jams,SRR11487941,,,,,,,,,
Parabacteroides,0.0352,Expected,expected,0.049049804,jams,SRR11487941,,,,,,,,,
Prevotella,0.1017,Expected,expected,0.118228527,jams,SRR11487941,,,,,,,,,
Roseburia,0.086,Expected,expected,0.085287659,jams,SRR11487941,,,,,,,,,
Ruminococcus,0.0413,Expected,expected,0.046127815,jams,SRR11487941,,,,,,,,,
