genus,SRR11487938,tax_id
BIFIDOBACTERIUM,0.18258604593586722,1678
PREVOTELLA,0.12092284362927393,838
BACTEROIDES,0.10977774797683092,816
ROSEBURIA,0.0857266645691385,841
COLLINSELLA,0.05420287911532451,102106
ALISTIPES,0.053926418023612664,239759
ESCHERICHIA,0.053118697744469485,561
PARABACTEROIDES,0.05223154648002105,375288
AKKERMANSIA,0.05218718891679862,239934
RUMINOCOCCUS,0.0476575596119229,1263
BLAUTIA,0.04486509627138576,572511
ANAEROBUTYRICUM,0.03444725834154292,2569097
ANAEROSTIPES,0.0329401327632183,207244
FAECALIBACTERIUM,0.03197767679841551,216851
LACTOBACILLUS,0.031104967531295293,1578
CLOSTRIDIUM,0.007686237292331815,1485
UNCLASSIFIED,0.0046410389985506425,12908
