species,SRR11487941,tax_id
BIFIDOBACTERIUM_LONGUM,0.17805982194017805,216816
PREVOTELLA_MELANINOGENICA,0.07392192607807392,28132
BACTEROIDES_THETAIOTAOMICRON,0.05812894187105813,818
COLLINSELLA_AEROFACIENS,0.05210994789005211,74426
ALISTIPES_FINEGOLDII,0.05009294990705009,214856
AKKERMANSIA_MUCINIPHILA,0.04946795053204947,239935
ESCHERICHIA_COLI,0.04786695213304787,562
ROSEBURIA_HOMINIS,0.046074953925046076,301301
PARABACTEROIDES_DISTASONIS,0.04595395404604596,823
RUMINOCOCCUS_GAUVREAUII,0.04581495418504582,438033
PREVOTELLA_COPRI,0.04401095598904401,165179
BLAUTIA_WEXLERAE,0.04395495604504396,418240
ROSEBURIA_INTESTINALIS,0.036895963104036894,166486
ANAEROBUTYRICUM_HALLII,0.03489096510903489,39488
ANAEROSTIPES_HADRUS,0.032105967894032104,649756
BACTEROIDES_UNIFORMIS,0.025483974516025482,820
FAECALIBACTERIUM_PRAUSNITZII,0.013995986004013996,853
LACTOBACILLUS_PARAGASSERI,0.013956986043013956,2107999
LACTOBACILLUS_GASSERI,0.006424993575006425,1596
CLOSTRIDIUM_BUTYRICUM,0.004903995096004904,1492
UNCLASSIFIED,0.002357997642002358,12908
LACTOBACILLUS_TAIWANENSIS,0.001927998072001928,508451
FAECALIBACTERIUM_DUNCANIAE,0.00131999868000132,411483
ALISTIPES_SP._D31T1-170403-E11,0.000821999178000822,2787128
LACTOBACILLUS_JOHNSONII,0.000740999259000741,33959
BLAUTIA_PRODUCTA,0.000642999357000643,33035
FAECALIBACTERIUM_SP._MARSEILLE-Q0746,0.000600999399000601,2817019
BACTEROIDES_RODENTIUM,0.000494999505000495,691816
FAECALIBACTERIUM_SP._4P15,0.000450999549000451,2763046
FAECALIBACTERIUM_SP._CLA-AA-H223,0.000357999642000358,2881265
BACTEROIDES_FAECIS,0.000350999649000351,674529
FAECALIBACTERIUM_SP._CLA-AA-H254,0.000275999724000276,2881273
BACTEROIDES_MURIS,0.000246999753000247,2937417
BACTEROIDES_XYLANISOLVENS,0.000242999757000243,371601
OTOOLEA_SP._DSM-111138,0.000235999764000236,2941515
ROSEBURIA_FAECIS,0.000213999786000214,301302
PARABACTEROIDES_SP._ZJ-118,0.000211999788000212,2709398
ESCHERICHIA_SP._B1147,0.000203999796000204,754307
BLAUTIA_LUTI,0.000194999805000195,89014
BACTEROIDES_OVATUS,0.000193999806000194,28116
FAECALIBACTERIUM_SP._BCRC-81149,0.000193999806000194,2315463
BLAUTIA_SP._SC05B48,0.000176999823000177,2479767
BACTEROIDES_SP._L10-4,0.000164999835000165,2746063
FAECALIBACTERIUM_SP._MARSEILLE-Q3530,0.000160999839000161,2758403
BACTEROIDES_CAECIMURIS,0.000154999845000155,1796613
PREVOTELLA_MULTISACCHARIVORAX,0.000154999845000155,310514
ALISTIPES_ONDERDONKII,0.000152999847000153,328813
SALMONELLA_ENTERICA,0.000148999851000149,28901
LACTOBACILLUS_CRISPATUS,0.000143999856000144,47770
RUMINOCOCCUS_GNAVUS,0.00013599986400013599,33038
ALISTIPES_SHAHII,0.000125999874000126,328814
DOREA_FORMICIGENERANS,0.000116999883000117,39486
LACTOBACILLUS_MELLIVENTRIS,0.000116999883000117,1218507
ROSEBURIA_INULINIVORANS,0.000112999887000113,360807
DYSOSMOBACTER_SP._BX15,0.000103999896000104,2763042
ESCHERICHIA_ALBERTII,0.000103999896000104,208962
PARABACTEROIDES_SP._AGMB00274,0.000101999898000102,2924040
PHOCAEICOLA_DOREI,9.3999906000094e-05,357276
ESCHERICHIA_FERGUSONII,9.0999909000091e-05,564
KLEBSIELLA_PNEUMONIAE,8.7999912000088e-05,573
BACTEROIDES_FAECALIS,8.7999912000088e-05,2447885
PARABACTEROIDES_MERDAE,8.5999914000086e-05,46503
ROSEBURIA_SP._OM04-10AA,8.3999916000084e-05,2293141
BACTEROIDES_FLUXUS,8.0999919000081e-05,626930
LACTOBACILLUS_AMYLOLYTICUS,8.0999919000081e-05,83683
BACTEROIDES_STERCORIROSORIS,7.999992000008e-05,871324
BACTEROIDES_SP._AM26-2,7.2999927000073e-05,2292946
BACTEROIDES_SP._MARSEILLE-P8574,7.2999927000073e-05,2697504
GOLOVINOMYCES_CICHORACEARUM,6.999993000007e-05,62708
BACTEROIDES_CLARUS,5.7999942000058e-05,626929
CLOSTRIDIUM_SP._AM45-5,5.7999942000058e-05,2292306
BACTEROIDES_SP._4-1-36,5.4999945000055e-05,457393
CLOSTRIDIUM_WEIZHOUENSE,5.3999946000054e-05,2859781
BLAUTIA_SP._MSJ-9,5.3999946000054e-05,2841511
PHOCAEICOLA_PLEBEIUS,5.2999947000053e-05,310297
BACTEROIDES_ACIDIFACIENS,5.0999949000051e-05,85831
CLOSTRIDIUM_SACCHAROBUTYLICUM,4.999995000005e-05,169679
PHOCAEICOLA_VULGATUS,4.7999952000048e-05,821
SPOROFACIENS_MUSCULI,4.7999952000048e-05,2681861
CLOSTRIDIUM_SCINDENS,4.7999952000048e-05,29347
NOVISYNTROPHOCOCCUS_FERMENTICELLAE,4.6999953000047e-05,2068655
BLAUTIA_SP._M29,4.5999954000046e-05,2763027
ROSEBURIA_SP._1XD42-69,4.3999956000044e-05,2320088
BACTEROIDES_SP._AF29-11,4.3999956000044e-05,2292928
BACTEROIDES_CACCAE,4.2999957000043e-05,47678
BACTEROIDES_RETICULOTERMITIS,4.2999957000043e-05,1133319
INTESTINIMONAS_MASSILIENSIS,3.7999962000038e-05,1673721
BLAUTIA_SP._1001283B150304-161114-C9,3.5999964000036e-05,2787821
CLOSTRIDIUM_SP._SM-530-WT-3G,3.5999964000036e-05,2725303
RUMINOCOCCUS_SP._OM02-16LB,3.4999965000035e-05,2302958
BLAUTIA_SP._AF19-10LB,3.4999965000035e-05,2292961
LACTOBACILLUS_RODENTIUM,3.4999965000035e-05,947835
