Genus,RA,TAX_ID
Bifidobacterium,0.19607909858399383,1678
Prevotella,0.11091956582549652,838
Bacteroides,0.10400642124294486,816
Roseburia,0.08116827389563579,841
unclassified,0.06546845499350219,12908
Alistipes,0.05738835759397548,239759
Akkermansia,0.052549906999064734,239934
Parabacteroides,0.05110272537526891,375288
Collinsella,0.04848708970874719,102106
Faecalibacterium,0.03588429953056671,216851
Anaerobutyricum,0.028042396616837648,2569097
Anaerostipes,0.025828088634369962,207244
Lactobacillus,0.02104268134932172,1578
Escherichia,0.011581456259035502,561
Blautia,0.010255373512472934,572511
Clostridium,0.008046570024424942,1485
Eggerthella,0.0028273084973881174,84111
Limosilactobacillus,0.002134242609090322,2742598
Mediterraneibacter,0.001633834025481806,2316020
Coprococcus,0.0011119078727781233,33042
Dorea,0.0008702105268952099,189330
Lachnoclostridium,0.0008541974522197375,1506553
Enterococcus,0.0007436071552422553,1350
Faecalicatena,0.0007421059294914297,2005359
Eubacterium,0.0004548714025001414,1730
Citrobacter,0.0004093342213917664,544
Shigella,0.0003698019432866936,620
Clostridioides,0.0003412786540210082,1870884
Enterocloster,0.0003267668050963612,2719313
Wansuia,0.00030975291325367163,2944198
Paenibacillus,0.00028273084973881173,44249
Enterobacter,0.00028022880682076914,547
Simiaoa,0.00026571695789612217,2944193
Novisyntrophococcus,0.00022868672270909198,2888809
Massilistercora,0.00022118059395496423,2717089
Lactiplantibacillus,0.00021067201369918539,2767842
Klebsiella,0.00020616833644670875,570
Lacrimispora,0.00019365812185649582,2719231
Flavonifractor,0.0001896548531876277,946234
Sellimonas,0.00017864586434824034,1769710
Anaerocolumna,0.00017364177851215517,1843210
Salmonella,0.00016313319825637633,590
Gordonibacter,0.00015462625233503155,644652
Butyrivibrio,0.00014912175791533788,830
Bacillus,0.00012660337165295465,1386
Streptococcus,0.00011509397422995877,1301
Hungatella,0.00011109070556109063,1649459
Qiania,0.00010508580255778843,2944195
Erysipelatoclostridium,9.107436221674998e-05,1505663
Berryella,8.506945921344778e-05,2815775
Homo,8.106619054457965e-05,9605
Pseudomonas,8.056578196097114e-05,286
Ligilactobacillus,7.305965320684338e-05,2767887
Kosakonia,6.855597595436674e-05,1330547
Pusillibacter,6.705475020354119e-05,2892397
Lacticaseibacillus,6.255107295106455e-05,2759736
Streptomyces,6.104984720023899e-05,1883
Leclercia,5.5545352780545313e-05,83654
Lachnospira,5.354371844611125e-05,28050
Wujia,5.3043309862502736e-05,2944152
Vibrio,5.1542084111677186e-05,662
Aminipila,4.703840685920054e-05,2060094
Pseudobutyrivibrio,4.553718110837499e-05,46205
Ruminococcus,4.4536363941157954e-05,1263
Cutibacterium,4.403595535754944e-05,1912216
Emergencia,4.0533095272289826e-05,1926556
Flintibacter,4.0032686688681305e-05,1918454
Brevibacillus,3.903186952146428e-05,55080
Cronobacter,3.803105235424724e-05,413496
Treponema,3.7030235187030213e-05,157
Faecalitalea,3.502860085259614e-05,1573534
Phocaeicola,3.452819226898763e-05,909656
Raoultella,3.2526557934553565e-05,160674
Herbinix,3.1025332183728016e-05,1663717
Lelliottia,3.1025332183728016e-05,1330545
Chryseobacterium,3.1025332183728016e-05,59732
Corynebacterium,3.002451501651098e-05,1716
Parolsenella,2.9524106432902463e-05,2082587
Christensenella,2.902369784929395e-05,990721
Rhizobium,2.852328926568543e-05,379
Cedecea,2.8022880682076917e-05,158483
Kluyvera,2.7022063514859882e-05,579
Aeromonas,2.6521654931251368e-05,642
Latilactobacillus,2.5520837764034333e-05,2767885
Lachnoanaerobaculum,2.502042918042582e-05,1164882
Dysosmobacter,2.4019612013208787e-05,2591381
Vescimonas,2.301879484599175e-05,2892396
Pediococcus,2.201797767877472e-05,1253
Liquorilactobacillus,2.201797767877472e-05,2767888
Caldicellulosiruptor,2.1517569095166202e-05,44000
Sporosarcina,2.051675192794917e-05,1569
Lactococcus,2.051675192794917e-05,1357
Burkholderia,2.051675192794917e-05,32008
Amedibacterium,2.051675192794917e-05,2749267
Virgibacillus,2.0016343344340653e-05,84406
Intestinimonas,1.951593476073214e-05,1392389
Acinetobacter,1.951593476073214e-05,469
Spirosoma,1.801470900990659e-05,107
Pluralibacter,1.801470900990659e-05,1330546
Pantoea,1.801470900990659e-05,53335
Paraburkholderia,1.751430042629807e-05,1822464
Flavobacterium,1.751430042629807e-05,237
Weissella,1.751430042629807e-05,46255
Acutalibacter,1.7013891842689557e-05,1918385
Planococcus,1.7013891842689557e-05,1372
Erwinia,1.651348325908104e-05,551
Lysinibacillus,1.651348325908104e-05,400634
Selenomonas,1.6013074675472522e-05,970
Jejubacter,1.6013074675472522e-05,2815296
Mycolicibacterium,1.6013074675472522e-05,1866885
Halomonas,1.5512666091864008e-05,2745
Vallitalea,1.5512666091864008e-05,1348611
Yokenella,1.5512666091864008e-05,158876
Serratia,1.501225750825549e-05,613
Metabacillus,1.501225750825549e-05,2675233
Erysipelothrix,1.501225750825549e-05,1647
Allobaculum,1.501225750825549e-05,174708
Pedobacter,1.501225750825549e-05,84567
Microbacterium,1.4511848924646974e-05,33882
Acetivibrio,1.4511848924646974e-05,35829
Monoglobus,1.4511848924646974e-05,2039302
Candidatus Formimonas,1.4011440341038459e-05,2840454
Staphylococcus,1.4011440341038459e-05,1279
Brenneria,1.4011440341038459e-05,71655
Ruthenibacterium,1.4011440341038459e-05,1905344
Nocardioides,1.4011440341038459e-05,1839
Deinococcus,1.4011440341038459e-05,1298
