Species,RA,TAX_ID
Bifidobacterium longum,0.18352341188061708,216816
Prevotella melaninogenica,0.06879240111433875,28132
unclassified,0.06636743204865521,12908
Bacteroides thetaiotaomicron,0.059657377083771806,818
Alistipes finegoldii,0.052809896384242355,214856
Akkermansia muciniphila,0.05131173945812059,239935
Collinsella aerofaciens,0.04714568372278741,74426
Roseburia hominis,0.04481756192679537,301301
Prevotella copri,0.04254895521273666,165179
Roseburia intestinalis,0.03599959096907326,166486
Parabacteroides distasonis,0.03276413469669762,823
Bacteroides uniformis,0.03255745504852914,820
Anaerobutyricum hallii,0.03028181473387831,39488
Anaerostipes hadrus,0.026349490956683302,649756
Lactobacillus paragasseri,0.01010457881988085,2107999
Clostridium butyricum,0.007536773557557306,1492
Escherichia coli,0.00607432568059554,562
Lactobacillus phage phiadh,0.00350435623347442,12417
Blautia obeum,0.003037433363397467,40520
Eggerthella lenta,0.0026917048419847524,84112
Limosilactobacillus fermentum,0.0019807701359811415,1613
Blautia sp. SC05B48,0.0014559553225690389,2479767
Blautia massiliensis,0.0014240335968047975,1737424
Ruminococcus gnavus,0.0011318686491320808,33038
Lactobacillus gasseri,0.0010301519636460239,1596
Faecalibacterium prausnitzii,0.0009251890009636033,853
Blautia sp. NBRC 113351,0.0008700022886254234,2877527
Dorea longicatena,0.0008689201962266355,88431
Faecalicatena sp. Marseille-Q4148,0.0007677445569399725,2823316
Enterococcus faecium,0.0006892928580278542,1352
Blautia pseudococcoides,0.000602184419925433,1796616
Blautia producta,0.0004945162262460429,33035
Coprococcus catus,0.0004782848402642253,116085
Ruminococcus torques,0.0004561019460890746,33039
Coprococcus comes,0.00042796754372059076,410072
Blautia argi,0.0003462695676121088,1912897
Clostridioides difficile,0.0003403180594187757,1496
Blautia hansenii,0.0003289560892315034,1322
Wansuia hejianensis,0.0003267919044339277,2763667
Clostridium scindens,0.0003213814424399885,29347
Lactobacillus helveticus,0.0003073142412557466,1587
Clostridium hylemonae,0.00028675448567877764,89153
Simiaoa sunii,0.00024942229792059717,2763672
Enterocloster bolteae,0.00024671706692362753,208479
Lactiplantibacillus plantarum,0.00023102672714120386,1590
Novisyntrophococcus fermenticellae,0.00021966475695393153,2068655
Lactobacillus phage phi jlb1,0.0002158774335581741,1416334
Eubacterium limosum,0.00021154906396302273,1736
Escherichia albertii,0.00020181023237393218,208962
Faecalibacterium duncaniae,0.00019910500137696258,411483
Lactobacillus johnsonii,0.00019910500137696258,33959
Massilistercora timonensis,0.00019585872418059907,2086584
Flavonifractor plautii,0.0001915303545854477,292800
Clostridium sp. M62/1,0.00018449675399332673,411486
Blautia liquoris,0.0001834146615945389,2779518
Roseburia sp. NSJ-69,0.0001671832756127213,2763062
Sellimonas intestinalis,0.00016556013701453953,1653434
Shigella flexneri,0.00015960862882120642,623
Coprococcus sp. ART55/1,0.00015257502822908545,751585
Escherichia fergusonii,0.00014500038143757058,564
Escherichia marmotae,0.00013688468844666178,1499973
Gordonibacter pamelaeae,0.00013363841125029824,471189
Faecalibacterium sp. I2392,0.00013363841125029824,2929490
Bifidobacterium breve,0.0001320152726521165,1685
Faecalibacterium sp. IP329,0.00013147422645272256,2929489
Hungatella hathewayi,0.00011740702526848065,154046
Salmonella enterica,0.00011524284047090497,28901
Anaerostipes caccae,0.00011307865567332929,105841
Lachnoclostridium phocaeense,0.00011037342467635969,1871021
Escherichia sp. E4742,0.00010712714747999617,2044467
Eubacterium sp. c-25,9.792936209029953e-05,2841037
Qiania dongpingensis,9.468308489393601e-05,2763669
Enterocloster clostridioformis,9.251890009636033e-05,1531
Lachnoclostridium sp. YL32,9.089576149817856e-05,1834196
Lacrimispora sphenoides,9.035471529878465e-05,29370
Lacrimispora saccharolytica,8.710843810242113e-05,84030
Homo sapiens,8.602634570363329e-05,9606
Clostridium innocuum,8.440320710545153e-05,1522
Ligilactobacillus salivarius,7.899274511151233e-05,1624
Anaerostipes rhamnosivorans,7.84516989121184e-05,1229621
Berryella intestinalis,7.682856031393665e-05,1531429
