Species,RA,TAX_ID
Bifidobacterium longum,0.17387798373367772,216816
Prevotella melaninogenica,0.06913072041758594,28132
Bacteroides thetaiotaomicron,0.06137408173801668,818
Alistipes finegoldii,0.051755518766587794,214856
Akkermansia muciniphila,0.05034873152384941,239935
Roseburia hominis,0.045151434210399286,301301
Collinsella aerofaciens,0.04487467410578212,74426
Roseburia intestinalis,0.03900018803136676,166486
Faecalibacterium prausnitzii,0.03723756636840632,853
Anaerobutyricum hallii,0.034006093319645506,39488
Bacteroides uniformis,0.03320983335087986,820
Parabacteroides distasonis,0.03316018203643027,823
Prevotella copri,0.030996212248335646,165179
Anaerostipes hadrus,0.029468514860224653,649756
Escherichia coli,0.018058826693466118,562
Lactobacillus paragasseri,0.013168631954574564,2107999
Clostridium butyricum,0.010814791862149562,1492
Lactobacillus phage phiadh,0.004106807333131356,12417
Blautia sp. SC05B48,0.003615811001352079,2479767
Blautia obeum,0.0030462000883609503,40520
Staphylococcus aureus,0.002520263942709739,1280
Limosilactobacillus fermentum,0.0019101964031300557,1613
Blautia sp. YL58,0.0016173455947560856,1796616
Faecalicatena sp. Marseille-Q4148,0.0010238284933262658,2823316
Lactobacillus gasseri,0.0008946431288787216,1596
Coprococcus catus,0.0007231622002704158,116085
Ruminococcus torques,0.0007181051219468464,33039
Coprococcus comes,0.000637191868769737,410072
Blautia producta,0.0006174232898685113,33035
Clostridioides difficile,0.00048639898784876023,1496
Ruminococcus gnavus,0.0004657109401614311,33038
Blautia hansenii,0.0003659485768691996,1322
Blautia argi,0.00036181096733173376,1912897
Enterocloster bolteae,0.0003544552170429056,208479
Clostridium scindens,0.0003139985904543509,29347
Massilistercora timonensis,0.0002988273554836429,2086584
Lactobacillus helveticus,0.0002919313395878665,1587
Olsenella sp. GAM18,0.0002634278072186575,2109685
Lactiplantibacillus plantarum,0.00025745126010898466,1590
Lactobacillus phage phi jlb1,0.00024182029074522486,1416334
Blautia sp. LZLJ-3,0.00022435038380925804,2779518
Flavonifractor plautii,0.000222511446237051,292800
Eubacterium limosum,0.00021515569594822287,1736
Lacrimispora saccharolytica,0.00021331675837601584,84030
Enterocloster clostridioformis,0.00020550127369413595,1531
Escherichia albertii,0.0001972260546192043,208962
Lachnoclostridium phocaeense,0.00018665216357901385,1871021
Coprococcus sp. ART55/1,0.0001829742884345998,751585
Bifidobacterium breve,0.0001783769445040822,1685
Gordonibacter pamelaeae,0.00017240039739440936,471189
Lactobacillus johnsonii,0.00016872252224999529,33959
Escherichia marmotae,0.00016274597514032244,1499973
Clostridium hylemonae,0.0001586083656028566,89153
Salmonella enterica,0.0001489539433487697,28901
Escherichia fergusonii,0.00014159819305994154,564
Limosilactobacillus reuteri,0.00013700084912942397,1598
Hungatella hathewayi,0.0001365411147363722,154046
Escherichia sp. E4742,0.00013516191155721693,2044467
Lacrimispora sphenoides,0.00011861147340735364,29370
Anaerostipes caccae,0.00011401412947683606,105841
Lachnoclostridium sp. YL32,0.00010941678554631847,1834196
Anaerostipes rhamnosivorans,9.102740982424814e-05,1229621
Ligilactobacillus salivarius,9.102740982424814e-05,1624
Butyrivibrio fibrisolvens,8.688980028678232e-05,831
Clostridium innocuum,8.643006589373056e-05,1522
Anaerocolumna sedimenticola,8.275219074931649e-05,2696063
Lachnoclostridium phytofermentans,8.091325317710946e-05,66219
Berryella intestinalis,8.04535187840577e-05,1531429
Eubacterium cellulosolvens,8.04535187840577e-05,29322
Clostridium sp. SY8519,7.907431560490242e-05,1042156
Butyrivibrio proteoclasticus,7.723537803269539e-05,43305
Faecalitalea cylindroides,7.723537803269539e-05,39483
Lachnospira eligens,7.539644046048836e-05,39485
Limosilactobacillus gastricus,7.49367060674366e-05,227942
Eggerthella lenta,7.447697167438484e-05,84112
Lactobacillus taiwanensis,7.355750288828132e-05,508451
Phocaeicola vulgatus,7.26380341021778e-05,821
Shigella dysenteriae,7.125883092302253e-05,622
Bifidobacterium bifidum,7.125883092302253e-05,1681
Shigella flexneri,6.620175259945319e-05,623
Oscillibacter sp. MM59,6.528228381334967e-05,2714358
Eubacterium maltosivorans,6.436281502724616e-05,2041044
Anaerocolumna cellulosilytica,6.39030806341944e-05,433286
Phocaeicola dorei,6.344334624114265e-05,357276
Bacteroides xylanisolvens,6.114467427588385e-05,371601
Shigella boydii,6.0225205489780336e-05,621
Babesia bigemina,5.976547109672858e-05,5866
Butyricimonas faecalis,5.976547109672858e-05,2093856
Leptolyngbya sp. PCC 7376,5.884600231062506e-05,111781
Streptococcus agalactiae,5.608759595231451e-05,1311
Ruminococcus bicirculans,5.424865838010748e-05,1160721
Anaerocolumna sp. CTTW,5.378892398705572e-05,2736602
Flintibacter sp. KGMB00164,5.240972080790044e-05,2610895
Lacticaseibacillus paracasei,5.103051762874517e-05,1597
Enterobacter cloacae,4.965131444958989e-05,550
Citrobacter freundii,4.73526424843311e-05,546
Klebsiella pneumoniae,4.459423612602055e-05,573
Bifidobacterium animalis,4.459423612602055e-05,28025
Bacteroides fragilis,4.367476733991704e-05,817
Pseudobutyrivibrio xylanivorans,4.183582976771e-05,185007
Butyrivibrio hungatei,4.183582976771e-05,185008
Cutibacterium avidum,4.045662658855473e-05,33010
Prevotella dentalis,3.953715780245121e-05,52227
Homo sapiens,3.861768901634769e-05,9606
Lachnoanaerobaculum umeaense,3.63190170510889e-05,617123
Christensenella sp. Marseille-P3954,3.63190170510889e-05,2086585
Prevotella ruminicola,3.5399548264985384e-05,839
Prevotella denticola,3.493981387193363e-05,28129
Lactobacillus delbrueckii,3.448007947888187e-05,1584
Herbinix luporum,3.448007947888187e-05,1679721
Eubacterium callanderi,3.448007947888187e-05,53442
Bacteroides cellulosilyticus,3.402034508583011e-05,246787
Parolsenella catena,2.988273554836429e-05,2003188
Parabacteroides goldsteinii,2.942300115531253e-05,328812
Longicatena caecimuris,2.8963266762260773e-05,1796635
Clostridium botulinum,2.8963266762260773e-05,1491
Bacteroides sp. HF-162,2.8503532369209014e-05,2785531
Eggerthella sp. YY7918,2.7584063583105495e-05,502558
Paraprevotella xylaniphila,2.7584063583105495e-05,454155
Curtobacterium sp. YC1,2.666459479700198e-05,2795488
Citrobacter sp. RHB25-C09,2.666459479700198e-05,2742624
Enterobacter hormaechei,2.666459479700198e-05,158836
Bacteroides caccae,2.620486040395022e-05,47678
Alistipes shahii,2.5285391617846705e-05,328814
Amedibacterium intestinale,2.4825657224794946e-05,2583452
Intestinimonas butyriciproducens,2.390618843869143e-05,1297617
Parabacteroides merdae,2.2067250866484396e-05,46503
Mageeibacillus indolicus,2.2067250866484396e-05,884684
Dysosmobacter sp. Marseille-Q4140,2.160751647343264e-05,2830675
Alistipes onderdonkii,2.160751647343264e-05,328813
Ruminococcus albus,2.114778208038088e-05,1264
Bacteroides sp. CACC 737,2.114778208038088e-05,2755405
Citrobacter sp. R56,2.068804768732912e-05,1573676
Enterobacter lignolyticus,2.068804768732912e-05,1334193
Acutalibacter muris,2.0228313294277365e-05,1796620
Ruthenibacterium lactatiformans,2.0228313294277365e-05,1550024
Citrobacter rodentium,2.0228313294277365e-05,67825
Aminipila sp. JN-18,2.0228313294277365e-05,2507160
Lactobacillus crispatus,2.0228313294277365e-05,47770
Actinobacillus pleuropneumoniae,1.9768578901225606e-05,715
Mahella australiensis,1.9308844508173847e-05,252966
Salmonella bongori,1.9308844508173847e-05,54736
Faecalibacillus intestinalis,1.9308844508173847e-05,1982626
Cedecea neteri,1.884911011512209e-05,158822
Klebsiella oxytoca,1.884911011512209e-05,571
Lactobacillus iners,1.838937572207033e-05,147802
Bacteroides eggerthii,1.838937572207033e-05,28111
Bacteroides helcogenes,1.838937572207033e-05,290053
Enterobacter roggenkampii,1.838937572207033e-05,1812935
Enterococcus faecium,1.838937572207033e-05,1352
Candidatus Formimonas warabiya,1.7929641329018572e-05,1761012
Enterobacter kobei,1.7929641329018572e-05,208224
Klebsiella aerogenes,1.7929641329018572e-05,548
Citrobacter farmeri,1.7469906935966816e-05,67824
Phocaeicola coprophilus,1.7010172542915056e-05,387090
Bifidobacterium catenulatum,1.7010172542915056e-05,1686
Petrocella atlantisensis,1.7010172542915056e-05,2173034
Bacteroides zhangwenhongi,1.6550438149863297e-05,2650157
Prevotella sp. WR041,1.6550438149863297e-05,2801997
Parolsenella massiliensis,1.6550438149863297e-05,1871022
Weissella jogaejeotgali,1.609070375681154e-05,1631871
Paenibacillus polymyxa,1.609070375681154e-05,1406
Lelliottia amnigena,1.563096936375978e-05,61646
Yokenella regensburgei,1.5171234970708024e-05,158877
Lactobacillus acidophilus,1.4711500577656265e-05,1579
Coprobacter secundus,1.4711500577656265e-05,1501392
Olsenella sp. LZLJ-2,1.4251766184604507e-05,2779519
Citrobacter amalonaticus,1.4251766184604507e-05,35703
Prevotella jejuni,1.3792031791552748e-05,1177574
Scandinavium goeteborgense,1.3792031791552748e-05,1851514
Lactobacillus jensenii,1.3792031791552748e-05,109790
Enterococcus sp. FDAARGOS_553,1.333229739850099e-05,2420313
Alistipes communis,1.333229739850099e-05,2585118
Olsenella uli,1.333229739850099e-05,133926
Bifidobacterium scardovii,1.2872563005449232e-05,158787
Monoglobus pectinilyticus,1.2872563005449232e-05,1981510
Eubacterium sp. NSJ-61,1.2872563005449232e-05,2764325
Prevotella intermedia,1.2872563005449232e-05,28131
Streptococcus pneumoniae,1.2872563005449232e-05,1313
Phocaeicola salanitronis,1.2412828612397473e-05,376805
Bifidobacterium adolescentis,1.2412828612397473e-05,1680
Atlantibacter hermannii,1.2412828612397473e-05,565
Bacillus pumilus,1.1953094219345715e-05,1408
Jejubacter calystegiae,1.1953094219345715e-05,2579935
Paenibacillus sp. PAMC21692,1.1953094219345715e-05,2762320
Pluralibacter gergoviae,1.1953094219345715e-05,61647
Alistipes indistinctus,1.1953094219345715e-05,626932
Bifidobacterium saguini,1.1953094219345715e-05,762210
Klebsiella michiganensis,1.1953094219345715e-05,1134687
Oscillibacter sp. MM50,1.1953094219345715e-05,2714355
Paenibacillus sp. BIHB4019,1.1953094219345715e-05,1870819
Clostridium sp. JN-9,1.1493359826293957e-05,2507159
Methylocystis rosea,1.1493359826293957e-05,173366
Priestia megaterium,1.1493359826293957e-05,1404
Raoultella ornithinolytica,1.1493359826293957e-05,54291
Leclercia sp. 4-9-1-25,1.1493359826293957e-05,2815358
Clostridium cellulovorans,1.1033625433242198e-05,1493
Caproiciproducens sp. NJN-50,1.1033625433242198e-05,2507162
Cronobacter sakazakii,1.1033625433242198e-05,28141
Ruminococcus sp. JE7A12,1.1033625433242198e-05,2564099
Leclercia adecarboxylata,1.1033625433242198e-05,83655
Enterobacter cancerogenus,1.1033625433242198e-05,69218
Weizmannia coagulans,1.057389104019044e-05,1398
Clostridium sp. DL-VIII,1.057389104019044e-05,641107
Enterobacter sp. E76,1.057389104019044e-05,2596949
Caproicibacterium amylolyticum,1.0114156647138683e-05,2766537
Lactobacillus amylovorus,1.0114156647138683e-05,1604
Shigella sonnei,1.0114156647138683e-05,624
Cedecea sp. FDAARGOS_727,1.0114156647138683e-05,2545798
Dehalobacter restrictus,1.0114156647138683e-05,55583
Streptococcus suis,1.0114156647138683e-05,1307
Bacteroides zoogleoformans,9.654422254086923e-06,28119
Paenibacillus sp. JNUCC-31,9.654422254086923e-06,2777983
Gimesia panareensis,9.654422254086923e-06,2527978
Anaerotignum propionicum,9.654422254086923e-06,28446
Klebsiella variicola,9.654422254086923e-06,244366
Rhizobium leguminosarum,9.654422254086923e-06,384
Oscillibacter sp. PEA192,9.654422254086923e-06,2109687
Dysosmobacter welbionis,9.654422254086923e-06,2093857
Bacteroides heparinolyticus,9.654422254086923e-06,28113
Leclercia sp. 29361,9.654422254086923e-06,2714951
Caproiciproducens sp. 7D4C2,9.654422254086923e-06,2721621
Pseudescherichia vulneris,9.654422254086923e-06,566
Lactobacillus sp. JM1,9.654422254086923e-06,2690380
Kluyvera intermedia,9.654422254086923e-06,61648
Natranaerobius thermophilus,9.654422254086923e-06,375929
Bacillus glycinifermentans,9.654422254086923e-06,1664069
Shimwellia blattae,9.654422254086923e-06,563
Megasphaera stantonii,9.194687861035166e-06,2144175
Intestinibaculum porci,9.194687861035166e-06,2487118
Enterococcus faecalis,9.194687861035166e-06,1351
Bacteroides ovatus,9.194687861035166e-06,28116
Kosakonia sp. SMBL-WEM22,9.194687861035166e-06,2725560
Virgibacillus sp. SK37,9.194687861035166e-06,403957
Devriesea agamarum,9.194687861035166e-06,472569
Oscillibacter sp. NSJ-62,9.194687861035166e-06,2763056
Lactobacillus phage KC5a,9.194687861035166e-06,363555
Odoribacter splanchnicus,8.734953467983408e-06,28118
Klebsiella huaxiensis,8.734953467983408e-06,2153354
Vallitalea guaymasensis,8.734953467983408e-06,1185412
Clostridium perfringens,8.734953467983408e-06,1502
Christensenella minuta,8.734953467983408e-06,626937
Paenibacillus tritici,8.734953467983408e-06,1873425
Citrobacter werkmanii,8.734953467983408e-06,67827
Aminipila sp. CBA3637,8.734953467983408e-06,2697030
Desulfotomaculum ruminis,8.734953467983408e-06,1564
Bacillus gobiensis,8.734953467983408e-06,1441095
Ruminococcus champanellensis,8.734953467983408e-06,1161942
Pectinatus frisingensis,8.734953467983408e-06,865
Brevibacillus laterosporus,8.734953467983408e-06,1465
Enterobacter asburiae,8.734953467983408e-06,61645
Sporosarcina sp. Marseille-Q4063,8.275219074931649e-06,2810514
Treponema sp. RCC2812,8.275219074931649e-06,2787628
Sinorhizobium sp. RAC02,8.275219074931649e-06,1842534
Enterobacter sp. JUb54,8.275219074931649e-06,2724468
Aneurinibacillus soli,8.275219074931649e-06,1500254
Halocella sp. SP3-1,8.275219074931649e-06,2382161
Paenibacillus swuensis,8.275219074931649e-06,1178515
Lactobacillus kullabergensis,8.275219074931649e-06,1218493
Sebaldella termitidis,8.275219074931649e-06,826
Clostridium estertheticum,8.275219074931649e-06,238834
Peptacetobacter hiranonis,8.275219074931649e-06,89152
Ruminiclostridium herbifermentans,8.275219074931649e-06,2488810
Pediococcus pentosaceus,8.275219074931649e-06,1255
Desulfallas gibsoniae,8.275219074931649e-06,102134
Paenibacillus donghaensis,7.81548468187989e-06,414771
Treponema caldarium,7.81548468187989e-06,215591
