Species,RA
Bifidobacterium longum,0.1744
Prevotella melaninogenica,0.0698
Bacteroides thetaiotaomicron,0.0608
Alistipes finegoldii,0.0509
Akkermansia muciniphila,0.049800000000000004
Roseburia hominis,0.045899999999999996
Collinsella aerofaciens,0.044199999999999996
Roseburia intestinalis,0.0388
Faecalibacterium prausnitzii,0.0375
Eubacterium hallii,0.0352
Bacteroides uniformis,0.034
Parabacteroides distasonis,0.032799999999999996
Prevotella copri,0.031200000000000002
Anaerostipes hadrus,0.0292
Escherichia coli,0.0181
Lactobacillus paragasseri,0.0132
Clostridium butyricum,0.0106
Lactobacillus phage phiadh,0.0039000000000000003
Blautia sp. SC05B48,0.0036
Blautia obeum,0.003
Limosilactobacillus fermentum,0.002
Blautia sp. YL58,0.0016
Faecalicatena sp. Marseille-Q4148,0.001
Lactobacillus gasseri,0.0009
Coprococcus catus,0.0007000000000000001
Coprococcus comes,0.0007000000000000001
Ruminococcus torques,0.0007000000000000001
Blautia producta,0.0006
Clostridioides difficile,0.0005
Ruminococcus gnavus,0.0005
Staphylococcus aureus,0.0004
Enterocloster bolteae,0.0004
Blautia hansenii,0.0004
Lactobacillus helveticus,0.0003
Lactiplantibacillus plantarum,0.0003
Olsenella sp. GAM18,0.0003
Massilistercora timonensis,0.0003
Clostridium scindens,0.0003
Blautia argi,0.0003
Cupriavidus oxalaticus,0.0003
Lactobacillus phage phi jlb1,0.0002
Coprococcus sp. ART55/1,0.0002
Bifidobacterium breve,0.0002
Lactobacillus johnsonii,0.0002
Escherichia albertii,0.0002
Blautia sp. LZLJ-3,0.0002
Gordonibacter pamelaeae,0.0002
Eubacterium limosum,0.0002
Salmonella enterica,0.0002
Escherichia fergusonii,0.0002
Lacrimispora saccharolytica,0.0002
Clostridium hylemonae,0.0002
Enterocloster clostridioformis,0.0002
Flavonifractor plautii,0.0002
Lachnoclostridium phocaeense,0.0002
Escherichia marmotae,0.0002
Berryella intestinalis,0.0001
Ligilactobacillus salivarius,0.0001
Escherichia sp. E4742,0.0001
Clostridium innocuum,0.0001
Eggerthella lenta,0.0001
Phocaeicola vulgatus,0.0001
Lacticaseibacillus paracasei,0.0001
Anaerostipes rhamnosivorans,0.0001
Bifidobacterium bifidum,0.0001
Phocaeicola dorei,0.0001
Leptolyngbya sp. PCC 7376,0.0001
Butyricimonas faecalis,0.0001
Streptococcus agalactiae,0.0001
Lachnoclostridium phytofermentans,0.0001
Flintibacter sp. KGMB00164,0.0001
