Genus,RA,TAX_ID
Bifidobacterium,0.1849067087043911,1678
Bacteroides,0.10536709412722742,816
Prevotella,0.10203190707492692,838
Roseburia,0.08553280354145724,841
unclassified,0.08521882675162627,12908
Alistipes,0.053429807097683954,239759
Akkermansia,0.049804756673011506,239934
Parabacteroides,0.04919589288217129,375288
Collinsella,0.04424259504579791,102106
Faecalibacterium,0.03752499883200634,216851
Anaerobutyricum,0.0352362336248545,2569097
Anaerostipes,0.02938822752817879,207244
Lactobacillus,0.023037858567773524,1578
Escherichia,0.01992069699833165,561
Clostridium,0.011274529750682334,1485
Blautia,0.010364750604468115,572511
Limosilactobacillus,0.0021621697654919917,2742598
Coprococcus,0.0016226320498464529,33042
Mediterraneibacter,0.0012036614214960065,2316020
Faecalicatena,0.0010248202420082859,2005359
Lachnoclostridium,0.000890186994528766,1506553
Enterocloster,0.000579726744743903,2719313
Clostridioides,0.0004998510494109042,1870884
Citrobacter,0.0004837754377715585,544
Staphylococcus,0.0004325344256711442,1279
Eubacterium,0.00041645881403179854,1730
Enterobacter,0.00036019417329408876,547
Lacrimispora,0.00033005240147031565,2719231
Paenibacillus,0.00032653586142420874,44249
Cupriavidus,0.00032452640996929056,106589
Klebsiella,0.0002913704609631401,570
Olsenella,0.0002868491951895742,133925
Lactiplantibacillus,0.0002798161150973604,2767842
Massilistercora,0.000275797212187524,2717089
Butyrivibrio,0.00022606328867829837,830
Shigella,0.00022355147435965063,620
Salmonella,0.00021903020858608465,590
Flavonifractor,0.00020848058844776405,946234
Anaerocolumna,0.0001944144282633366,1843210
Streptococcus,0.00018989316248977064,1301
Bacillus,0.00018939079962604108,1386
Phocaeicola,0.0001642726564395635,909656
Gordonibacter,0.00016276556784837484,644652
Hungatella,0.0001461875933452996,1649459
Oscillibacter,0.0001391545132530859,459786
Pseudomonas,0.00012006472443136291,286
Eggerthella,0.00011353400720287874,84111
Ligilactobacillus,9.745839556353307e-05,2767887
Enterococcus,8.640641256148294e-05,1350
Erysipelatoclostridium,8.439696110656473e-05,1505663
Ruminococcus,8.088042106045786e-05,1263
Kosakonia,7.937333246926921e-05,1330547
Lachnospira,7.63591552868919e-05,28050
Streptomyces,7.585679242316234e-05,1883
Berryella,7.585679242316234e-05,2815775
Leclercia,6.982843805840773e-05,83654
Faecalitalea,6.2795357966194e-05,1573534
Flintibacter,5.9781180783816684e-05,1918454
Christensenella,5.877645505635758e-05,990721
Lacticaseibacillus,5.7771729328898476e-05,2759736
Babesia,5.626464073770982e-05,5864
Leptolyngbya,5.576227787398027e-05,47251
Butyricimonas,5.0236286372955194e-05,574697
Treponema,4.923156064549609e-05,157
Parolsenella,4.772447205430743e-05,2082587
Cutibacterium,4.722210919057788e-05,1912216
Vibrio,4.671974632684833e-05,662
Pseudobutyrivibrio,4.5715020599389224e-05,46205
Chryseobacterium,4.471029487193012e-05,59732
Herbinix,4.069139196209371e-05,1663717
Burkholderia,4.018902909836416e-05,32008
Raoultella,3.9686666234634606e-05,160674
Dysosmobacter,3.86819405071755e-05,2591381
