Species,RA
Bacteroides,0.14339652343249013
Akkermansia,0.11748508013397414
Escherichia,0.10577173174326604
Prevotella,0.10229792106744615
Bifidobacterium,0.07764183611540507
Roseburia,0.07422895546754107
Alistipes,0.049397272172636945
Parabacteroides,0.04191326680440183
Ruminococcus,0.03878505923797111
Shigella,0.037994167498045246
Collinsella,0.03402312783998856
Eubacterium,0.030639014156143084
Faecalibacterium,0.02927238359467987
Blautia,0.027796478524062966
Anaerostipes,0.024328860736330397
Clostridium,0.015029939617343443
Lactobacillus,0.01387546541551682
Lachnoclostridium,0.003617845266495956
Dorea,0.0026501565602062593
Fusicatenibacter,0.0023562940319337275
Coprococcus,0.002294365151060522
Tyzzerella,0.001858465737946542
Butyrivibrio,0.0011484810843227636
Emergencia,0.0008923751963245409
Odoribacter,0.0008700008909768022
Lactonifactor,0.0007711144521631359
Angelakisella,0.0006942027775302842
Ruthenibacterium,0.0006932039246129745
Erysipelatoclostridium,0.0006418628846632527
Clostridioides,0.0006214862851501336
Faecalitalea,0.0006136952323951174
Oscillibacter,0.0006128961500612697
Intestinimonas,0.0006019087679708623
Subdoligranulum,0.0005601567160273143
Pseudoflavonifractor,0.0005206021405018477
Anaerotruncus,0.0005082163643272067
Butyricicoccus,0.0005046204938248915
Paraprevotella,0.0004958305881525656
Fournierella,0.0004950315058187178
Mediterranea,0.0004618695889640337
Citrobacter,0.0004502828951232405
Acetivibrio,0.0003861565378319538
Obesumbacterium,0.00038575699666502987
Kluyvera,0.0003823608967461767
Klebsiella,0.000368576726487302
Hungatella,0.0003388109095514711
Coprobacter,0.0003156375218698846
Ruminiclostridium,0.00031523798070296074
Salmonella,0.00031144233961718365
Enterobacter,0.00026989005825709756
Barnesiella,0.0002630978584193912
Culturomica,0.0002567051997486087
Holdemanella,0.0002185490183073758
Coprobacillus,0.00020756163621696845
Traorella,0.00020736186563350648
Scardovia,0.00020696232446658258
Pseudobutyrivibrio,0.000205164389215425
