Species,RA,TAX_ID
Escherichia coli,0.10442090939178829,562
Bacteroides thetaiotaomicron,0.07485880796472981,818
Bifidobacterium longum,0.05844050591832233,216816
Akkermansia muciniphila,0.05212096647969897,239935
Prevotella melaninogenica,0.052056200688989626,28132
Alistipes finegoldii,0.043632121255488335,214856
Parabacteroides distasonis,0.0395570994884373,823
Roseburia hominis,0.037264529778596754,301301
Prevotella copri,0.03475798921719225,165179
Ruminococcus gauvreauii,0.03333732025969689,438033
Bacteroides uniformis,0.03212435449660006,820
Roseburia intestinalis,0.029856681313833257,166486
Faecalibacterium prausnitzii,0.029053898891895625,853
Collinsella aerofaciens,0.027362153761995817,74426
Eubacterium hallii,0.02460508101556242,39488
Bacteroides thetaiotaomicron CAG:40,0.023578752154724776,1263054
Anaerostipes hadrus,0.023502669760800086,649756
Blautia obeum,0.02266837495144742,40520
Shigella flexneri,0.02018307478377018,623
Akkermansia sp. 54_46,0.018298599196033688,1896967
Akkermansia muciniphila CAG:154,0.017763410914741932,1263034
Shigella dysenteriae,0.01733303178938304,622
Akkermansia sp. UNK.MGS-1,0.017306394246430004,1638783
Akkermansia sp. Phil8,0.01578457226634827,1929996
Bifidobacterium breve,0.01067347194953561,1685
Clostridium butyricum,0.009720613958803734,1492
Lactobacillus gasseri,0.008411892322346305,1596
Collinsella sp. CAG:166,0.007945300066698318,1262850
Prevotella scopos,0.004626749699195982,589437
Roseburia inulinivorans,0.004175826586461547,360807
Alistipes shahii,0.002800772245003415,328814
Bifidobacterium reuteri,0.0024168782436213964,983706
Fusicatenibacter saccharivorans,0.0023980752721251344,1150298
Bacteroides faecis CAG:32,0.0022081304396953014,1263044
Lactobacillus fermentum,0.001981101969036729,1613
Clostridium sp. M62/1,0.0017189049776166294,411486
Roseburia faecis,0.0016485679360935747,301302
Dorea formicigenerans,0.0015660437834155354,39486
Coprococcus comes,0.0014927470148976987,410072
Bacteroides pectinophilus,0.0014568820877844581,384638
Bacteroides stercoris,0.001419450246379862,46506
Bacteroides vulgatus,0.0013830630145028363,821
Tyzzerella nexilis,0.001362170823951434,29361
Eubacterium ventriosum,0.0012697228807614785,39496
Ruminococcus faecis,0.0012667631537666966,592978
Blautia sp. KLE 1732,0.001232465140944811,1226324
Eubacterium sp. CAG:146,0.0012113988488054804,1262879
Blautia hansenii,0.0011553381374925507,1322
Alistipes senegalensis,0.001115120670681101,1288121
Eubacterium rectale,0.0011046745754054,39491
Eubacterium ramulus,0.0010388641751684824,39490
Butyrivibrio crossotus,0.0010108338195120175,45851
Bacteroidales bacterium 55_9,0.0010017805369397432,1897041
Bacteroides fragilis,0.0009890711210209734,817
Prevotella histicola,0.0009676566257057861,470565
Prevotella fusca,0.0009653933050627175,589436
Alistipes putredinis,0.0008886145047863138,28117
Emergencia timonensis,0.0008880922000225288,1776384
Bifidobacterium saguini,0.0008283753553631036,762210
Bacteroides ovatus,0.0008261120347200351,28116
Ruminococcaceae bacterium D16,0.0008236746124890382,552398
Bifidobacterium callitrichos,0.0008146213299167638,762209
Bacteroides sp. 43_46,0.0008064385552841312,1897051
Clostridium sp. L2-50,0.0007961665615963583,411489
Lactonifactor longoviformis,0.0007897248028430093,341220
Bifidobacterium scardovii,0.0007515965550867,158787
Angelakisella massiliensis,0.0007401058502834286,1871018
Bifidobacterium bifidum,0.0007155575263855309,1681
Bacteroides plebeius,0.0007028481104667611,310297
Blautia schinkii,0.0007023258057029761,180164
Coprococcus eutactus,0.0006631529484190967,33043
Ruthenibacterium lactatiformans,0.000645568688038333,1550024
Clostridium bolteae,0.0006386046245211988,208479
Faecalitalea cylindroides,0.0006175383323818682,39483
Bifidobacterium aesculapii,0.0006157973165025846,1329411
Dorea longicatena,0.000606569932342382,88431
Lactobacillus hominis,0.0005929900084839704,1203033
Bacteroides oleiciplenus,0.0005912489926046869,626931
Clostridia bacterium UC5.1-1E11,0.000587418757670263,1697793
Clostridioides difficile,0.0005801064909772722,1496
Clostridium citroniae,0.000574535240163565,358743
Subdoligranulum variabile,0.0005527725416725208,214851
Intestinimonas massiliensis,0.0005379739066986108,1673721
Clostridium glycyrrhizinilyticum,0.0005348400781159004,342942
Clostridium saccharobutylicum,0.0005066356208715073,169679
Odoribacter splanchnicus,0.0005061133161077222,28118
Clostridium lactatifermentans,0.000504024097052582,160404
Mediterranea massiliensis,0.0004974082367113046,1841865
Lactobacillus jensenii,0.0004961895255958061,109790
Pseudoflavonifractor capillosus,0.00048643983667181833,106588
