Species,RA,TAX_ID
Bacteroides,0.14224908475416675,816
Akkermansia,0.12217165185768615,239934
Escherichia,0.10445206075686321,561
Prevotella,0.09845604278134451,838
Bifidobacterium,0.07730615138517764,1678
Roseburia,0.07312478193924174,841
Alistipes,0.049006478624300374,239759
Parabacteroides,0.040012625761428125,375288
Shigella,0.03751654824357065,620
Ruminococcus,0.03651077019930318,1263
Collinsella,0.03555060646135354,102106
Eubacterium,0.02943289230218538,1730
Faecalibacterium,0.02914371152816283,216851
Blautia,0.026738340321723623,572511
Anaerostipes,0.023984942404103756,207244
Clostridium,0.014759536001526512,1485
Lactobacillus,0.013758980969432844,1578
Unassigned,0.009259704182518508,12908
Lachnoclostridium,0.0036886652975410754,1506553
Dorea,0.002752353315185107,189330
Fusicatenibacter,0.0024142503271346624,1407607
Coprococcus,0.0023818676516571225,33042
Tyzzerella,0.0018816771858131847,1506577
Butyrivibrio,0.0011628166102929552,830
Odoribacter,0.0009037552064726352,283168
Emergencia,0.0008919163788786959,1926556
Lactonifactor,0.0007972057581271811,420345
Angelakisella,0.000743234632331281,1935176
Ruthenibacterium,0.0006634966464779836,1905344
Oscillibacter,0.0006539211241593562,459786
Erysipelatoclostridium,0.0006424304973770033,1505663
Faecalitalea,0.0006211902478702297,1573534
Intestinimonas,0.0006058694121604259,1392389
Clostridioides,0.0005816694557551675,1870884
Subdoligranulum,0.0005583400013788753,292632
Paraprevotella,0.0005216048157565046,577309
Anaerotruncus,0.0005216048157565046,244127
Butyricicoccus,0.0005177746068290536,580596
Mediterranea,0.0004975789597570394,1926659
Pseudoflavonifractor,0.0004928782488006223,1017280
Fournierella,0.0004886998390615849,1940255
Citrobacter,0.0004281128978455423,544
Kluyvera,0.00038458779639723585,579
Acetivibrio,0.00037518637448440167,35829
Klebsiella,0.00035638353065873326,570
Coprobacter,0.0003527274221370755,1348911
Hungatella,0.00033758068683306485,1649459
Obesumbacterium,0.0003342727791229936,82982
Salmonella,0.0003090282202829758,590
Ruminiclostridium,0.0002919663805152397,1508657
Culturomica,0.0002809980549502665,1926651
Barnesiella,0.00026985562897950005,397864
Enterobacter,0.0002527937892117639,547
Lachnoanaerobaculum,0.00021901831048787808,1164882
Scardovia,0.00020804998492290487,196081
Pseudobutyrivibrio,0.00020787588451711162,46205
Traorella,0.00020752768370552519,1929045
Cronobacter,0.00020735358329973197,413496
Bariatricus,0.00020717948289393872,1924081
Coprobacillus,0.00020509027802442003,100883
Porphyromonas,0.0001995190650390368,836
Massilioclostridium,0.00019742986016951807,1935927
Holdemania,0.00019203274758992808,61170
Holdemanella,0.00019185864718413486,1573535
Lamprocystis,0.00017079249808315454,53452
Senegalimassilia,0.00016487308428618486,1473205
Bittarella,0.00015703856602548969,1929297
Sellimonas,0.0001523378550690726,1769710
Phascolarctobacterium,0.0001375393205766484,33024
Stomatobaculum,0.00013736522017085518,1213720
Hespellia,0.00013440551327237034,241189
Marvinbryantia,0.00012639689460588194,248744
Treponema,0.00012378538851898357,157
Gordonibacter,0.0001173436735046342,644652
Lelliottia,0.00011629907106987484,1330545
Alloprevotella,0.00011612497066408162,1283313
Merdibacter,0.00011159836011345776,1935200
Veillonella,0.00010393794225855581,29465
Fibrobacter,0.00010341564104117614,832
Pantoea,9.296961669358259e-05,53335
Pediococcus,9.227321507040969e-05,1253
Leclercia,8.617970086764679e-05,83654
Acinetobacter,8.42645964039213e-05,469
Prevotellamassilia,8.147898991122968e-05,1926672
Trabulsiella,8.043438747647033e-05,158851
Kosakonia,7.95638854475042e-05,1330547
Gardnerella,7.48631744910871e-05,2701
Allobaculum,7.468907408529388e-05,174708
Robinsoniella,7.434087327370743e-05,588605
Megasphaera,6.54617525782529e-05,906
Raoultella,6.459125054928678e-05,160674
Pluralibacter,6.441715014349355e-05,1330546
Helicobacter,6.424304973770033e-05,209
Corynebacterium,6.33725477087342e-05,1716
Yokenella,6.128334283921549e-05,158876
Solobacterium,6.076104162183581e-05,123375
Slackia,6.006463999866291e-05,84108
Neglecta,5.588623025962549e-05,1924105
Selenomonas,5.2404222143760975e-05,970
Intestinibacter,4.5614306317825164e-05,1505657
Rikenella,4.387330225989291e-05,28138
Bacillus,4.17840973903742e-05,1386
Sanguibacteroides,4.160999698458097e-05,1635148
Shimwellia,4.0565394549821615e-05,1335483
Tidjanibacter,3.986899292664871e-05,1929083
Haemophilus,3.6561085216577424e-05,724
Streptococcus,3.499418156443839e-05,1301
Oribacterium,3.412367953547226e-05,265975
Capnocytophaga,3.377547872388581e-05,1016
Varibaculum,3.342727791229936e-05,184869
Franconibacter,3.325317750650613e-05,1649295
Lachnobacterium,3.081577182540097e-05,140625
Morganella,3.0467571013814518e-05,581
Acetitomaculum,3.0467571013814518e-05,31980
Chryseobacterium,3.0293470608021292e-05,59732
Gallibacterium,3.011937020222807e-05,155493
Rappaport,2.9771169390641616e-05,1955421
Johnsonella,2.8900667361675488e-05,43994
Tannerella,2.8552466550089036e-05,195950
Catonella,2.837836614429581e-05,43996
Enorma,2.715966330374323e-05,1472762
