Species,RA,TAX_ID
Escherichia coli,0.10497809643654357,562
Bacteroides thetaiotaomicron,0.07402457246587411,818
Bifidobacterium longum,0.05873924792947037,216816
Prevotella melaninogenica,0.05260031588605582,28132
Akkermansia muciniphila,0.051343466742950004,239935
Alistipes finegoldii,0.04309596484474261,214856
Parabacteroides distasonis,0.039170593686235065,823
Roseburia hominis,0.037751502969420224,301301
Prevotella copri,0.035014318341932964,165179
Ruminococcus gauvreauii,0.03353664567353267,438033
Bacteroides uniformis,0.03275111495909154,820
Roseburia intestinalis,0.029619833566393132,166486
Faecalibacterium prausnitzii,0.029210901112144114,853
Collinsella aerofaciens,0.027013697525407068,74426
Eubacterium hallii,0.02542380618351519,39488
Bacteroides thetaiotaomicron CAG:40,0.023403489658383535,1263054
Anaerostipes hadrus,0.02325855638855202,649756
Blautia obeum,0.02288842496717128,40520
Shigella flexneri,0.02026574142687375,623
Akkermansia sp. 54_46,0.01810886048213707,1896967
Akkermansia muciniphila CAG:154,0.017630885013519497,1263034
Shigella dysenteriae,0.017471116054650113,622
Akkermansia sp. UNK.MGS-1,0.017070362249486076,1638783
Akkermansia sp. Phil8,0.015613992108935042,1929996
Bifidobacterium breve,0.010664958406814374,1685
Clostridium butyricum,0.00982617137275011,1492
Lactobacillus gasseri,0.00837075223790663,1596
Collinsella sp. CAG:166,0.007916551911977954,1262850
Prevotella scopos,0.004641098054014081,589437
Roseburia inulinivorans,0.0041292667822075205,360807
Alistipes shahii,0.0027328100012325033,328814
Bifidobacterium reuteri,0.002470903029371621,983706
Fusicatenibacter saccharivorans,0.0024142230892012922,1150298
Bacteroides faecis CAG:32,0.0021753304554632613,1263044
Lactobacillus fermentum,0.0020252617548109477,1613
Clostridium sp. M62/1,0.001689556740043731,411486
Roseburia faecis,0.0016688248156190135,301302
Dorea formicigenerans,0.0015305485857403922,39486
Bacteroides pectinophilus,0.0014721568352964627,384638
Coprococcus comes,0.0014708254273058845,410072
Bacteroides stercoris,0.0014133846825695108,46506
Bacteroides vulgatus,0.0013947449707014162,821
Tyzzerella nexilis,0.0013563243401161597,29361
Eubacterium sp. CAG:146,0.0012739672458418226,1262879
Ruminococcus faecis,0.00126540819447382,592978
Eubacterium ventriosum,0.0012496214997283928,39496
Blautia sp. KLE 1732,0.0012292699775866974,1226324
Blautia hansenii,0.0011423480559160923,1322
Eubacterium rectale,0.001116290499529062,39491
Alistipes senegalensis,0.0010811032883494955,1288121
Bacteroidales bacterium 55_9,0.0010132014808300074,1897041
Eubacterium ramulus,0.001009397457999784,39490
Butyrivibrio crossotus,0.001005022831745027,45851
Bacteroides fragilis,0.000989426338141111,817
Prevotella histicola,0.0009795358787825302,470565
Prevotella fusca,0.000950435104131321,589436
Emergencia timonensis,0.0009319855934047373,1776384
Alistipes putredinis,0.000921524530621623,28117
Bifidobacterium saguini,0.0008342222066679956,762210
Clostridium sp. L2-50,0.0008285161724226604,411489
Ruminococcaceae bacterium D16,0.0008159628970829232,552398
Bifidobacterium callitrichos,0.0008140608856678115,762209
Lactonifactor longoviformis,0.0008123490753942109,341220
Bacteroides ovatus,0.0008089254548470098,28116
Bacteroides sp. 43_46,0.0007872425247147364,1897051
Bifidobacterium scardovii,0.0007686028128466416,158787
Bifidobacterium bifidum,0.0007433060610256559,1681
Bacteroides plebeius,0.0006951851722233296,310297
Angelakisella massiliensis,0.0006892889368364833,1871018
Blautia schinkii,0.0006811102877515029,180164
Ruthenibacterium lactatiformans,0.0006561939382135395,1550024
Coprococcus eutactus,0.0006539115245154056,33043
Faecalitalea cylindroides,0.0006447818697228693,39483
Clostridium bolteae,0.0006301363818265092,208479
Bifidobacterium aesculapii,0.0005976119866280989,1329411
Clostridioides difficile,0.0005962805786375207,1496
Clostridium citroniae,0.0005907647455336968,358743
Lactobacillus hominis,0.0005808742861751159,1203033
Dorea longicatena,0.0005736466427976914,88431
Clostridium glycyrrhizinilyticum,0.0005730760393731579,342942
Clostridia bacterium UC5.1-1E11,0.0005673700051278227,1697793
Bacteroides oleiciplenus,0.000566609200561778,626931
Subdoligranulum variabile,0.0005565285400616861,214851
Clostridium saccharobutylicum,0.0005361770179199908,169679
Intestinimonas massiliensis,0.0005310415870991891,1673721
Pseudoflavonifractor capillosus,0.0005215315300236306,106588
Odoribacter splanchnicus,0.0005047938295706475,28118
Prevotella intermedia,0.0004899581405327763,28131
Fournierella massiliensis,0.0004861541177025528,1650663
Clostridium lactatifermentans,0.00048463250857046344,160404
Clostridium beijerinckii,0.0004614279693061006,1520
Lactobacillus jensenii,0.0004606671647400559,109790
Ruminococcus gnavus,0.0004593357567494777,33038
Clostridium clostridioforme,0.0004551513316362319,1531
Firmicutes bacterium CAG:270,0.00045058650423996386,1263014
Mediterranea massiliensis,0.0004502061019569415,1841865
Bifidobacterium adolescentis,0.00044659228026822925,1680
Lachnospiraceae bacterium M18-1,0.0004464020791267181,1235792
Bacteroides coprocola,0.00043118598780582444,310298
Clostridiales bacterium VE202-08,0.00042776236725862335,1232449
Ruminococcus lactaris,0.00041463848849435255,46228
Clostridium innocuum,0.0004089324542490174,1522
Lachnospiraceae bacterium TF01-11,0.0003942869663526573,1703332
Anaerotruncus colihominis,0.0003872495241167439,169435
Lachnospiraceae bacterium 28-4,0.0003788806738902524,397287
Clostridium symbiosum,0.0003712726282298056,1512
Hungatella hathewayi,0.0003691804156731827,154046
Akkermansia sp. CAG:344,0.00036689800197504865,1262691
Paraprevotella xylaniphila,0.0003625233757202917,454155
Anaerostipes caccae,0.0003613821688712247,105841
Ruminococcus sp. AT10,0.0003547251289183337,1720300
Acetivibrio ethanolgignens,0.00035187211179566613,290052
Eubacterium eligens,0.0003509211060881103,39485
Ruminococcus bicirculans,0.0003431228592861523,1160721
Obesumbacterium proteus,0.00034274245700312994,82983
Butyricicoccus pullicaecorum,0.0003379874284653507,501571
Oscillibacter sp. ER4,0.00033760702618232835,1519439
Prevotella multiformis,0.00031288087778587613,282402
Eubacterium dolichum,0.00030736504468205215,31971
Eubacterium contortum,0.00030660424011600746,39482
Dorea sp. 5-2,0.0003056532344084516,1235798
Odoribacter sp. 43_10,0.00030356102185182877,1897010
Salmonella enterica,0.0003031806195688064,28901
Coprobacter secundus,0.0003020394127197394,1501392
Clostridium saccharoperbutylacetonicum,0.00029823538988951596,36745
Bacteroides cellulosilyticus,0.00029614317733289307,246787
Ruminococcus sp. Zagget7,0.0002929097579272032,1930001
Bacteroides fluxus,0.0002900567408045356,626930
Oscillibacter sp. KLE 1745,0.0002887253328139574,1226323
Erysipelotrichaceae bacterium 5_2_54FAA,0.0002881547293894239,552396
Clostridia bacterium UC5.1-1D1,0.0002778838677478207,1697794
Culturomica massiliensis,0.0002776936666063095,1841857
Eubacterium sp. 3_1_31,0.00027122682779492967,457402
Bacteroides coprophilus,0.0002695150175213292,387090
Lachnospiraceae bacterium 3-1,0.000269324816379818,397288
Clostridium scindens,0.00026894441409679566,29347
Prevotella pallens,0.000268183609530751,60133
Bifidobacterium biavatii,0.000268183609530751,762212
Citrobacter freundii,0.000268183609530751,546
Bifidobacterium stellenboschense,0.00026647179925715043,762211
Prevotella sp. CAG:386,0.00025905395473821473,1262925
Lachnospiraceae bacterium 10-1,0.0002516361102192791,1235800
Ruminococcus torques,0.0002489732942381227,33039
Prevotella sp. 109,0.00024859289195510034,1676614
Prevotella nanceiensis,0.00024554967369092164,425941
Prevotella sp. S7-1-8,0.0002331865994926955,1284775
Eubacterium plexicaudatum,0.00022843157095491624,97253
Prevotella sp. CAG:604,0.00022576875497375986,1262932
Bifidobacterium angulatum,0.0002253883526907375,1683
Dorea sp. 42_8,0.00022196473214353642,1896999
Clostridium leptum,0.00022177453100202525,1535
bacterium LF-3,0.0002168293013227348,1504823
Lactobacillus salivarius,0.00021530769219064546,1624
Clostridium saccharolyticum,0.00021492728990762312,84030
Prevotella denticola,0.0002078898476717098,28129
Scardovia inopinata,0.00020731924424717627,78259
Coprobacillus sp. D6,0.00020047200315277412,556262
Holdemanella biformis,0.00019837979059615125,1735
Bacteroides sp. D2,0.00019837979059615125,556259
Traorella massiliensis,0.00019780918717161774,1903263
Clostridium saccharogumia,0.00019685818146406188,341225
Eubacterium sp. 14-2,0.00019134234836023793,1235790
Cronobacter sakazakii,0.000186967722105481,28141
Clostridiales bacterium 1_7_47FAA,0.000186967722105481,457421
Clostridium sp. CAG:245_30_32,0.00018658731982245866,1896986
Prevotella aurantiaca,0.00018601671639792514,596085
Massilioclostridium coli,0.00018525591183188046,1870991
Bariatricus massiliensis,0.00018449510726583577,1745713
Lamprocystis purpurea,0.00018126168786014585,61598
Lactobacillus antri,0.00018069108443561236,227943
Akkermansia sp. KLE1798,0.00018031068215259002,1574265
