"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","LKT","NumBases","PctFromCtg","CumSum","PctCumSum","NumContigs","ContigSum","LargestContigSize","N50","L50","N90","ProbNumGenomes","Num16S"
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","s__Halomonas_Unclassified_HL_93","LKT__s__Halomonas_Unclassified_HL_93",8736102441,100,8736102441,31.55,358,4012932,140878,37779,326,5112,0.97,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Muricauda","s__Muricauda_lutimaris","LKT__s__Muricauda_lutimaris",4873253116,100,13609355557,49.15,18,3507142,1095902,1037517,17,144885,0.91,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Marinobacteraceae","g__Marinobacter","s__Marinobacter_Unclassified_LV10R510_11A","LKT__s__Marinobacter_Unclassified_LV10R510_11A",4104411382,100,17713766939,63.97,176,4139991,242219,107363,163,15784,0.93,2
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_72_O_c","LKT__s__Psychrobacter_Unclassified_72_O_c",2965136305,100,20678903244,74.68,96,3069932,153619,63460,81,21715,0.96,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Cohaesibacteraceae","g__Cohaesibacter","s__Cohaesibacter_Unclassified_ES_047","LKT__s__Cohaesibacter_Unclassified_ES_047",1899305745,100,22578208989,81.54,160,4946643,327018,116940,147,18887,0.97,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Marinobacteraceae","g__Marinobacter","s__Marinobacter_Unclassified_LV10MA510_1","LKT__s__Marinobacter_Unclassified_LV10MA510_1",1338829892,100,23917038881,86.37,168,4343631,339832,84193,155,16031,0.98,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","s__Halomonas_Unclassified_hl_4","LKT__s__Halomonas_Unclassified_hl_4",971814180,100,24888853061,89.88,271,826845,61208,5473,243,1184,0.2,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_Unclassified_ES_031","LKT__s__Thioclava_Unclassified_ES_031",559128268,100,25447981329,91.9,22,3266779,425175,284896,18,120553,0.81,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Marinobacteraceae","g__Marinobacter","s__Marinobacter_Unclassified_LV10R520_4","LKT__s__Marinobacter_Unclassified_LV10R520_4",333851422,100,25781832751,93.11,6,75953,40178,40178,6,7364,0.02,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Propionibacteriales","f__Propionibacteriaceae","g__Enemella","s__Enemella_evansiae","LKT__s__Enemella_evansiae",311748674,100,26093581425,94.23,12,4495216,1869395,576421,11,244824,1,1
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","s__Micromonospora_echinofusca","LKT__s__Micromonospora_echinofusca",278920080,100,26372501505,95.24,158,6951147,327715,122058,139,36998,0.95,1
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micromonosporales","f__Micromonosporaceae","g__Micromonospora","s__Micromonospora_echinaurantiaca","LKT__s__Micromonospora_echinaurantiaca",233020893,100,26605522398,96.08,121,7140601,417048,131164,106,37058,0.99,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Halomonadaceae","g__Halomonas","s__Unclassified","LKT__g__Halomonas",149327892,100,26754850290,96.62,17,39255,20072,20072,17,728,0.01,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_Unclassified_GP33","LKT__s__Psychrobacter_Unclassified_GP33",107282567,100,26862132857,97.01,2,11047,8932,8932,2,2115,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Marinobacteraceae","g__Marinobacter","s__Marinobacter_gelidimuriae","LKT__s__Marinobacter_gelidimuriae",105753985,100,26967886842,97.39,8,21887,8240,5304,7,1172,0.01,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_Unclassified_JE_KL1","LKT__s__Thioclava_Unclassified_JE_KL1",90894377,100,27058781219,97.72,7,531481,297772,297772,7,27538,0.12,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_frigidicola","LKT__s__Psychrobacter_frigidicola",88426951,100,27147208170,98.04,7,37697,20272,20272,7,5346,0.01,0
"d__Unclassified","k__Unclassified","p__Unclassified","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__Unclassified",85097685,100,27232305855,98.35,80,132274,45968,8879,78,562,0.03,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Roseobacteraceae","g__Litoreibacter","s__Litoreibacter_arenae","LKT__s__Litoreibacter_arenae",59165397,100,27291471252,98.56,1,5229,5229,5229,1,5229,0,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Muricauda","s__Muricauda_ruestringensis","LKT__s__Muricauda_ruestringensis",57918813,100,27349390065,98.77,4,39417,20252,20252,4,6126,0.01,0
"d__Bacteria","k__Bacteria","p__Unclassified","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__k__Bacteria",47474632,100,27396864697,98.94,6,84365,47855,47855,6,28670,0.02,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Maribacter","s__Maribacter_Unclassified_RZ26","LKT__s__Maribacter_Unclassified_RZ26",23714841,100,27420579538,99.03,1,17064,17064,17064,1,17064,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava","s__Thioclava_Unclassified_NG1","LKT__s__Thioclava_Unclassified_NG1",23283977,100,27443863515,99.11,1,135840,135840,135840,1,135840,0.03,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Marinobacteraceae","g__Marinobacter","s__Unclassified","LKT__g__Marinobacter",22976845,100,27466840360,99.19,45,57787,4375,1734,35,616,0.01,2
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Roseobacteraceae","g__Unclassified","s__Unclassified","LKT__f__Roseobacteraceae",21953173,100,27488793533,99.27,1,122527,122527,122527,1,122527,0.03,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Roseobacteraceae","g__Sagittula","s__Sagittula_marina","LKT__s__Sagittula_marina",21289068,100,27510082601,99.35,1,121845,121845,121845,1,121845,0.02,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Unclassified","g__Unclassified","s__Unclassified","LKT__o__Hyphomicrobiales",20216916,100,27530299517,99.42,1,110639,110639,110639,1,110639,0.02,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Moraxellales","f__Moraxellaceae","g__Psychrobacter","s__Psychrobacter_immobilis","LKT__s__Psychrobacter_immobilis",16155652,100,27546455169,99.48,1,1919,1919,1919,1,1919,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Marinobacteraceae","g__Marinobacter","s__Marinobacter_Unclassified_ELB17","LKT__s__Marinobacter_Unclassified_ELB17",16143383,100,27562598552,99.54,9,39807,10750,10560,8,3626,0.01,0
