Genus,RA
Halomonas,0.35059103858007795
Marinobacter,0.213043725110005
Muricauda,0.17817291222514323
Psychrobacter,0.11573049694071476
Cohaesibacter,0.06859136797055462
Thioclava,0.026025278445300507
Micromonospora,0.018491358167276855
Unclassified,0.013223257620698939
Enemella,0.011258465399243276
Litoreibacter,0.002136694172296598
Maribacter,0.0008564357737959644
Sagittula,0.0007688316116466859
Winogradskyella,0.00037808622812278414
Nocardia,0.0002470415754819587
Azospirillum,0.0002461359106986589
Pseudonocardia,9.469386555200233e-05
Halovulum,7.066012673884028e-05
Alicyclobacillus,4.626152903319565e-05
Rhodohalobacter,2.2514426370645724e-05
Salinibacterium,4.4872985080205155e-06
Blastomonas,1.2885445198236837e-07
Rhizophlyctis,1.281682875799959e-07
