Genus,RA,tax_id
HALOMONAS,0.35059103858007795,2745
MARINOBACTER,0.213043725110005,2742
MURICAUDA,0.17817291222514323,111500
PSYCHROBACTER,0.11573049694071476,497
COHAESIBACTER,0.06859136797055462,655352
THIOCLAVA,0.026025278445300507,285107
MICROMONOSPORA,0.018491358167276855,1873
UNCLASSIFIED,0.013223257620698939,12908
ENEMELLA,0.011258465399243276,2896773
LITOREIBACTER,0.002136694172296598,947567
MARIBACTER,0.0008564357737959644,252356
SAGITTULA,0.0007688316116466859,58842
WINOGRADSKYELLA,0.00037808622812278414,286104
NOCARDIA,0.0002470415754819587,1817
AZOSPIRILLUM,0.0002461359106986589,191
PSEUDONOCARDIA,9.469386555200233e-05,1847
HALOVULUM,7.066012673884028e-05,1844498
ALICYCLOBACILLUS,4.626152903319565e-05,29330
RHODOHALOBACTER,2.2514426370645724e-05,1974209
SALINIBACTERIUM,4.4872985080205155e-06,235888
BLASTOMONAS,1.2885445198236837e-07,150203
RHIZOPHLYCTIS,1.281682875799959e-07,64515
