Genus,RA,TAX_ID
Halomonas,0.36090000000000005,2745
Marinobacter,0.1739,2742
Cohaesibacter,0.0689,655352
Muricauda,0.0516,111500
Psychrobacter,0.0436,497
Thioclava,0.021400000000000002,285107
Micromonospora,0.018600000000000002,1873
Maribacter,0.0021,252356
Flavobacterium,0.0019,237
Acinetobacter,0.0013,469
Pseudomonas,0.0013,286
Cellulophaga,0.001,104264
Winogradskyella,0.001,286104
Streptomyces,0.0007000000000000001,1883
Polaribacter,0.0007000000000000001,52959
Flagellimonas,0.0006,444459
Moraxella,0.0006,475
Vibrio,0.0005,662
Arenibacter,0.0005,178469
Costertonia,0.0004,343334
Chryseobacterium,0.0004,59732
Aquimarina,0.0004,290174
Zobellia,0.0004,112040
Sediminicola,0.0004,389486
Pseudoalteromonas,0.0003,53246
Euzebyella,0.0003,1287916
Gramella,0.0003,292691
Tenacibaculum,0.0003,104267
Lacinutrix,0.0003,291183
Formosa,0.0003,225842
Capnocytophaga,0.0003,1016
Nonlabens,0.0003,363408
Nocardioides,0.0003,1839
Microlunatus,0.0003,29404
Mycolicibacterium,0.0002,1866885
Xanthomonas,0.0002,338
Galbibacter,0.0002,379068
Dokdonia,0.0002,326319
Algibacter,0.0002,261827
Kordia,0.0002,221065
Aequorivita,0.0002,153265
Shewanella,0.0002,22
Pseudonocardia,0.0001,1847
Bacillus,0.0001,1386
Auraticoccus,0.0001,1278221
Amycolatopsis,0.0001,1813
Neisseria,0.0001,482
Chitinophaga,0.0001,79328
Arthrobacter,0.0001,1663
Brevibacterium,0.0001,1696
Bacteroides,0.0001,816
Pedobacter,0.0001,84567
Syntrophotalea,0.0001,2812025
Streptococcus,0.0001,1301
Nitrosomonas,0.0001,914
Akkermansia,0.0001,239934
Haemophilus,0.0001,724
Homo,0.0001,9605
Legionella,0.0001,445
Acidipropionibacterium,0.0001,1912215
Mesorhizobium,0.0001,68287
Bradyrhizobium,0.0001,374
Microbacterium,0.0001,33882
Sphingobacterium,0.0001,28453
Paracoccus,0.0001,265
Roseivivax,0.0001,93682
Rhodobacter,0.0001,1060
Polynucleobacter,0.0001,44013
Paraburkholderia,0.0001,1822464
Polaromonas,0.0001,52972
Mucilaginibacter,0.0001,423349
Urechidicola,0.0001,2700084
Spirosoma,0.0001,107
Seonamhaeicola,0.0001,1649495
Oceanihabitans,0.0001,2045416
Mariniflexile,0.0001,527198
Flavivirga,0.0001,1209327
Robiginitalea,0.0001,252306
Tamlana,0.0001,393005
Muriicola,0.0001,762641
Antarcticibacterium,0.0001,2058174
Olleya,0.0001,336276
Gilvibacter,0.0001,379070
Psychroflexus,0.0001,83612
Myroides,0.0001,76831
Changchengzhania,0.0001,2049301
Leeuwenhoekiella,0.0001,283735
Providencia,0.0001,586
Algoriphagus,0.0001,246875
Siansivirga,0.0001,1204360
Zunongwangia,0.0001,417127
Mesoflavibacter,0.0001,444051
Tessaracoccus,0.0001,72763
Kaistella,0.0001,2782231
Gordonia,0.0001,2053
Corynebacterium,0.0001,1716
Elizabethkingia,0.0001,308865
