Species,RA,TAX_ID
Marinobacter sp. LV10R510-11A,0.1444,1415568
Halomonas sp. HL-93,0.09609999999999999,1666906
Halomonas sp. hl-4,0.07519999999999999,1761789
Cohaesibacter sp. ES.047,0.0689,1798205
Muricauda ruestringensis,0.0332,111501
Thioclava electrotropha,0.018000000000000002,1549850
Muricauda sp. 501str8,0.0163,2698672
Marinobacter sp. BSs20148,0.013999999999999999,490759
Micromonospora echinofusca,0.01,47858
Marinobacter psychrophilus,0.0089,330734
Micromonospora echinaurantiaca,0.0084,47857
Psychrobacter sp. DAB_AL43B,0.0069,1028416
Psychrobacter urativorans,0.0052,45610
Psychrobacter arcticus,0.004,334543
Psychrobacter sp. P11F6,0.0034999999999999996,1699621
Thioclava nitratireducens,0.0032,1915078
Psychrobacter sp. P11G3,0.0023,1699623
Psychrobacter sp. P11G5,0.0022,1699624
Psychrobacter sp. P2G3,0.0018,1699622
Psychrobacter sp. 28M-43,0.0016,2772254
Psychrobacter sp. KCTC 72983,0.0012,2733866
Psychrobacter sp. G,0.0012,571800
Psychrobacter sp. AntiMn-1,0.0011,1720344
Psychrobacter cryohalolentis,0.0011,330922
Psychrobacter arenosus,0.0009,256326
Maribacter cobaltidurans,0.0006,1178778
Flagellimonas maritima,0.0006,1383885
Muricauda lutaonensis,0.0005,516051
Arenibacter algicola,0.0005,616991
Zobellia galactanivorans,0.0004,63186
Costertonia aggregata,0.0004,343403
Sediminicola sp. YIK13,0.0004,1453352
Maribacter sp. MJ134,0.0004,2496865
Halomonas subglaciescola,0.0004,29571
Marinobacter sp. Arc7-DN-1,0.0003,2304594
Marinobacter sp. NP-4(2019),0.0003,2488665
Winogradskyella forsetii,0.0003,2686077
Maribacter sp. T28,0.0003,1836467
Maribacter sp. HTCC2170,0.0003,313603
Euzebyella marina,0.0003,1761453
Moraxella osloensis,0.0003,34062
Halomonas sp. SH5A2,0.0003,2749040
Halomonas sp. A40-4,0.0003,2785909
Xanthomonas euvesicatoria,0.0002,456327
Winogradskyella schleiferi,0.0002,2686078
Galbibacter sp. BG1,0.0002,1170699
Cellulophaga baltica,0.0002,76594
Cellulophaga lytica,0.0002,979
Marinobacter salinus,0.0002,1874317
Marinobacter salarius,0.0002,1420917
Marinobacter hydrocarbonoclasticus,0.0002,2743
Cellulophaga algicola,0.0002,59600
Marinobacter sp. LQ44,0.0002,1749259
Marinobacter sp. JH2,0.0002,2547598
Cellulophaga sp. L1A9,0.0002,2686362
Cellulophaga sp. HaHaR_3_176,0.0002,1942464
Lacinutrix sp. WUR7,0.0002,2653681
Formosa sp. Hel1_31_208,0.0001,1798225
Tenacibaculum maritimum,0.0001,107401
Gramella fulva,0.0001,2126553
Gramella flava,0.0001,1486245
Marinobacter adhaerens,0.0001,1033846
Marinobacter fonticola,0.0001,2603215
Marinobacter salsuginis,0.0001,418719
Gramella salexigens,0.0001,1913577
Gramella forsetii,0.0001,411153
Halomonas socia,0.0001,1081866
Aquimarina sp. AD10,0.0001,1714849
Halomonas sp. KO116,0.0001,1504981
Marinobacter sp. es.042,0.0001,1761794
Marinobacter sp. CP1,0.0001,1671721
Marinobacter sp. LPB0319,0.0001,2769486
Aquimarina sp. AD1,0.0001,1714848
Aquimarina sp. TRL1,0.0001,2736252
Aquimarina sp. BL5,0.0001,1714860
Polaribacter reichenbachii,0.0001,996801
Tenacibaculum mesophilum,0.0001,104268
Moraxella bovis,0.0001,476
Tenacibaculum jejuense,0.0001,584609
Moraxella catarrhalis,0.0001,480
Formosa sediminum,0.0001,2594004
Formosa sp. Hel1_33_131,0.0001,1336794
Maribacter dokdonensis,0.0001,320912
Flavobacterium sp. Sr18,0.0001,935222
Flavobacterium sp. M31R6,0.0001,2739062
Maribacter sp. 1_2014MBL_MicDiv,0.0001,1644130
Polaribacter sp. MED152,0.0001,313598
Polaribacter sp. Hel1_33_78,0.0001,1336804
Winogradskyella helgolandensis,0.0001,2697010
Winogradskyella sediminis,0.0001,1382466
Flavobacterium sp. P2-65,0.0001,2748320
Winogradskyella sp. PC-19,0.0001,754417
Winogradskyella sp. J14-2,0.0001,1936080
Lacinutrix sp. Bg11-31,0.0001,2057808
Polaribacter sp. SA4-10,0.0001,754397
Flavobacterium branchiophilum,0.0001,55197
Polaromonas vacuolata,0.0001,37448
Pukyongia salina,0.0001,2094025
Flavobacterium haoranii,0.0001,683124
Gilvibacter sp. SZ-19,0.0001,754429
Olleya aquimaris,0.0001,639310
Flavobacterium arcticum,0.0001,1784713
Antarcticibacterium flavum,0.0001,2058175
Flavobacterium gilvum,0.0001,1492737
Muriicola sp. MMS17-SY002,0.0001,2507538
Microlunatus soli,0.0001,630515
Microlunatus phosphovorus,0.0001,29405
Flavivirga eckloniae,0.0001,1803846
Mariniflexile sp. TRM1-10,0.0001,2027857
Oceanihabitans sp. IOP_32,0.0001,2529032
Urechidicola croceus,0.0001,1850246
Acinetobacter indicus,0.0001,756892
Robiginitalea biformata,0.0001,252307
Siansivirga zeaxanthinifaciens,0.0001,762954
Zunongwangia profunda,0.0001,398743
Flavobacterium kingsejongi,0.0001,1678728
Microlunatus sp. KUDC0627,0.0001,2596828
Flavobacterium crassostreae,0.0001,1763534
Flavobacterium alkalisoli,0.0001,2602769
Homo sapiens,0.0001,9606
Syntrophotalea carbinolica,0.0001,19
Flavobacterium columnare,0.0001,996
Flavobacterium nackdongense,0.0001,2547394
Flavobacterium sangjuense,0.0001,2518177
Flavobacterium sediminis,0.0001,2201181
Psychroflexus torquis,0.0001,57029
Salegentibacter salegens,0.0001,143223
Kordia antarctica,0.0001,1218801
Algibacter sp. L3A6,0.0001,2686366
Aequorivita sublithincola,0.0001,101385
Algibacter sp. L1A34,0.0001,2686365
Algibacter alginicilyticus,0.0001,1736674
Vibrio natriegens,0.0001,691
Aequorivita sp. H23M31,0.0001,2494375
Aequorivita sp. KX20305,0.0001,2803865
Dokdonia donghaensis,0.0001,326320
Kordia sp. SMS9,0.0001,2282170
Psychrobacter sp. YP14,0.0001,2203895
Psychrobacter sp. PRwf-1,0.0001,349106
Seonamhaeicola sp. S2-3,0.0001,1936081
Leeuwenhoekiella sp. ZYFB001,0.0001,2719912
Changchengzhania lutea,0.0001,2049305
Auraticoccus monumenti,0.0001,675864
Akkermansia muciniphila,0.0001,239935
Corynebacterium sp. zg-917,0.0,2763010
Corynebacterium sp. sy039,0.0,2599641
Corynebacterium sp. NML98-0116,0.0,702967
Corynebacterium sp. NML93-0612,0.0,699041
Corynebacterium phocae,0.0,161895
Corynebacterium simulans,0.0,146827
Corynebacterium sp. LMM-1652,0.0,2487892
Corynebacterium sp. 1959,0.0,2675216
Corynebacterium sp. 1864,0.0,2820399
Corynebacterium glucuronolyticum,0.0,39791
Corynebacterium halotolerans,0.0,225326
Corynebacterium variabile,0.0,1727
Corynebacterium sp. zg-320,0.0,2768834
Corynebacterium sphenisci,0.0,191493
Corynebacterium frankenforstense,0.0,1230998
Corynebacterium sp. 2039,0.0,2675219
Corynebacterium sp. 2019,0.0,2675218
Xylanimonas allomyrinae,0.0,2509459
Nocardia yunnanensis,0.0,2382165
Rhodococcus sp. DMU1,0.0,2722825
Rhodococcus ruber,0.0,1830
Rhodococcus sp. YL-1,0.0,1045808
Rhodococcus sp. 008,0.0,1723645
Rhodococcus sp. NJ-530,0.0,2490853
Rhodococcus sp. M8,0.0,1925550
Rhodococcus sp. 2G,0.0,1570939
Rhodococcus sp. ZPP,0.0,2749906
Rhodococcus sp. AQ5-07,0.0,2054902
Rhodococcus sp. 21391,0.0,2683591
Rhodococcus sp. WB1,0.0,1033922
