Genus,RA
Halomonas,0.36090000000000005
Marinobacter,0.1739
Cohaesibacter,0.0689
Muricauda,0.0516
Psychrobacter,0.0436
Thioclava,0.021400000000000002
Micromonospora,0.018600000000000002
Maribacter,0.0021
Flavobacterium,0.0019
Acinetobacter,0.0013
Pseudomonas,0.0013
Cellulophaga,0.001
Winogradskyella,0.001
Streptomyces,0.0007000000000000001
Polaribacter,0.0007000000000000001
Flagellimonas,0.0006
Moraxella,0.0006
Vibrio,0.0005
Arenibacter,0.0005
Costertonia,0.0004
Chryseobacterium,0.0004
Aquimarina,0.0004
Zobellia,0.0004
Sediminicola,0.0004
Pseudoalteromonas,0.0003
Euzebyella,0.0003
Gramella,0.0003
Tenacibaculum,0.0003
Lacinutrix,0.0003
Formosa,0.0003
Capnocytophaga,0.0003
Nonlabens,0.0003
Nocardioides,0.0003
Microlunatus,0.0003
Mycolicibacterium,0.0002
Xanthomonas,0.0002
Galbibacter,0.0002
Dokdonia,0.0002
Algibacter,0.0002
Kordia,0.0002
Aequorivita,0.0002
Shewanella,0.0002
Pseudonocardia,0.0001
Bacillus,0.0001
Auraticoccus,0.0001
Amycolatopsis,0.0001
Neisseria,0.0001
Chitinophaga,0.0001
Arthrobacter,0.0001
Brevibacterium,0.0001
Bacteroides,0.0001
Pedobacter,0.0001
Syntrophotalea,0.0001
Streptococcus,0.0001
Nitrosomonas,0.0001
Akkermansia,0.0001
Haemophilus,0.0001
Homo,0.0001
Legionella,0.0001
Acidipropionibacterium,0.0001
Mesorhizobium,0.0001
Bradyrhizobium,0.0001
Microbacterium,0.0001
Sphingobacterium,0.0001
Paracoccus,0.0001
Roseivivax,0.0001
Rhodobacter,0.0001
Polynucleobacter,0.0001
Paraburkholderia,0.0001
Polaromonas,0.0001
Mucilaginibacter,0.0001
Urechidicola,0.0001
Spirosoma,0.0001
Seonamhaeicola,0.0001
Oceanihabitans,0.0001
Mariniflexile,0.0001
Flavivirga,0.0001
Robiginitalea,0.0001
Tamlana,0.0001
Muriicola,0.0001
Antarcticibacterium,0.0001
Olleya,0.0001
Gilvibacter,0.0001
Psychroflexus,0.0001
Myroides,0.0001
Changchengzhania,0.0001
Leeuwenhoekiella,0.0001
Providencia,0.0001
Algoriphagus,0.0001
Siansivirga,0.0001
Zunongwangia,0.0001
Mesoflavibacter,0.0001
Tessaracoccus,0.0001
Kaistella,0.0001
Gordonia,0.0001
Corynebacterium,0.0001
Elizabethkingia,0.0001
Nocardia,0.0001
Rhodococcus,0.0001
Mycobacterium,0.0001
Pukyongia,0.0001
Echinicola,0.0001
Salegentibacter,0.0001
Brevilactibacter,0.0001
Marinomonas,0.0001
Citrobacter,0.0001
Pantoea,0.0001
Alteromonas,0.0001
Marinobacterium,0.0001
Yersinia,0.0001
Serratia,0.0001
Escherichia,0.0001
Klebsiella,0.0001
Colwellia,0.0001
Alkalihalobacillus,0.0
Lysinibacillus,0.0
Weizmannia,0.0
Egibacter,0.0
Virgibacillus,0.0
Actinomarinicola,0.0
Rossellomorea,0.0
Cytobacillus,0.0
Psychrobacillus,0.0
Anoxybacillus,0.0
Ilumatobacter,0.0
Acidimicrobium,0.0
Euzebya,0.0
Natrinema,0.0
Salarchaeum,0.0
Peribacillus,0.0
Haloferax,0.0
Aeribacillus,0.0
Caldibacillus,0.0
Amphibacillus,0.0
Pontibacillus,0.0
Radiobacillus,0.0
Lentibacillus,0.0
Metabacillus,0.0
Niallia,0.0
Sediminibacillus,0.0
Halobacillus,0.0
Gracilibacillus,0.0
Fictibacillus,0.0
Parageobacillus,0.0
Salicibibacter,0.0
Sutcliffiella,0.0
Anaerobacillus,0.0
Pradoshia,0.0
Heyndrickxia,0.0
Oceanobacillus,0.0
Geobacillus,0.0
Salimicrobium,0.0
Lederbergia,0.0
Mesobacillus,0.0
Neobacillus,0.0
Priestia,0.0
Baekduia,0.0
Egicoccus,0.0
Conexibacter,0.0
Bifidobacterium,0.0
Epidermidibacterium,0.0
Geodermatophilus,0.0
Blastococcus,0.0
Modestobacter,0.0
Nakamurella,0.0
Jiangella,0.0
Frankia,0.0
Fannyhessea,0.0
Mobiluncus,0.0
Actinotignum,0.0
Pauljensenia,0.0
Arcanobacterium,0.0
Winkia,0.0
Actinobaculum,0.0
Schaalia,0.0
Trueperella,0.0
Flaviflexus,0.0
Actinomyces,0.0
Parascardovia,0.0
Scardovia,0.0
Kineococcus,0.0
Slackia,0.0
Paraliobacillus,0.0
Rubrobacter,0.0
Parolsenella,0.0
Olsenella,0.0
Cryptobacterium,0.0
Berryella,0.0
Eggerthella,0.0
Arabia,0.0
Gordonibacter,0.0
Catenulispora,0.0
Adlercreutzia,0.0
Acidothermus,0.0
Candidatus Nanopelagicus,0.0
Candidatus Planktophila,0.0
Jatrophihabitans,0.0
Natronoglycomyces,0.0
Stackebrandtia,0.0
Actinopolyspora,0.0
Halalkalicoccus,0.0
Paenibacillus,0.0
Evansella,0.0
Tetragenococcus,0.0
Crassaminicella,0.0
Candidatus Arthromitus,0.0
Clostridium,0.0
Suicoccus,0.0
Aerococcus,0.0
Jeotgalibaca,0.0
Carnobacterium,0.0
Dolosigranulum,0.0
Vagococcus,0.0
Enterococcus,0.0
Caloramator,0.0
Lactococcus,0.0
Halorussus,0.0
Furfurilactobacillus,0.0
Liquorilactobacillus,0.0
Lapidilactobacillus,0.0
Lentilactobacillus,0.0
Pediococcus,0.0
Latilactobacillus,0.0
Schleiferilactobacillus,0.0
Alkaliphilus,0.0
Geosporobacter,0.0
Streptomonospora,0.0
Blautia,0.0
Halobacterium,0.0
Mediterraneibacter,0.0
Herbinix,0.0
Roseburia,0.0
Lachnoanaerobaculum,0.0
Anaerocolumna,0.0
Anaerobutyricum,0.0
Cellulosilyticum,0.0
Lacrimispora,0.0
Anaerostipes,0.0
Caloranaerobacter,0.0
Anaerotignum,0.0
Lachnoclostridium,0.0
Halarchaeum,0.0
Butyrivibrio,0.0
Coprococcus,0.0
Enterocloster,0.0
Hungatella,0.0
Sarcina,0.0
Hathewaya,0.0
Levilactobacillus,0.0
Fructilactobacillus,0.0
Ligilactobacillus,0.0
Rummeliibacillus,0.0
Listeria,0.0
Jeotgalicoccus,0.0
Macrococcus,0.0
Halodesulfurarchaeum,0.0
Mammaliicoccus,0.0
Staphylococcus,0.0
Solibacillus,0.0
Planomicrobium,0.0
Kurthia,0.0
Jeotgalibacillus,0.0
Paucilactobacillus,0.0
Paenisporosarcina,0.0
Viridibacillus,0.0
Planococcus,0.0
Sporosarcina,0.0
Aneurinibacillus,0.0
Saccharibacillus,0.0
Thermobacillus,0.0
Cohnella,0.0
Brevibacillus,0.0
Brochothrix,0.0
Exiguobacterium,0.0
Gemella,0.0
Alicyclobacillus,0.0
Loigolactobacillus,0.0
Secundilactobacillus,0.0
Amylolactobacillus,0.0
Companilactobacillus,0.0
Weissella,0.0
Leuconostoc,0.0
Lactiplantibacillus,0.0
Limosilactobacillus,0.0
Oenococcus,0.0
Lacticaseibacillus,0.0
Lactobacillus,0.0
Sporolactobacillus,0.0
Kroppenstedtia,0.0
Thermoactinomyces,0.0
Staphylospora,0.0
Laceyella,0.0
Effusibacillus,0.0
Kyrpidia,0.0
Tumebacillus,0.0
Thermobifida,0.0
Thermomonospora,0.0
Nocardiopsis,0.0
Psychromicrobium,0.0
Phycicoccus,0.0
Arsenicicoccus,0.0
Baxtervirus,0.0
Janibacter,0.0
Neomicrococcus,0.0
Renibacterium,0.0
Nesterenkonia,0.0
Auritidibacter,0.0
Zhihengliuella,0.0
Paenarthrobacter,0.0
Thermobispora,0.0
Citricoccus,0.0
Sinomonas,0.0
Rothia,0.0
Micrococcus,0.0
Pseudarthrobacter,0.0
Glutamicibacter,0.0
Kocuria,0.0
Pontimonas,0.0
Aquiluna,0.0
Pedococcus,0.0
Intrasporangium,0.0
Likavirus,0.0
Pahexavirus,0.0
Dermacoccus,0.0
Luteipulveratus,0.0
Ruania,0.0
Xylanimicrobium,0.0
Xylanimonas,0.0
Isoptericola,0.0
Cellulosimicrobium,0.0
Dermabacter,0.0
Devriesea,0.0
Brachybacterium,0.0
Serinicoccus,0.0
Ornithinimicrobium,0.0
Paraoerskovia,0.0
Actinotalea,0.0
Oerskovia,0.0
Pseudactinotalea,0.0
Cellulomonas,0.0
Tetrasphaera,0.0
Phayoncevirus,0.0
Rhodoluna,0.0
Microcella,0.0
Aurantimicrobium,0.0
Rathayibacter,0.0
Curtobacterium,0.0
Cheoctovirus,0.0
Actinopolymorpha,0.0
Kribbella,0.0
Mumia,0.0
Pimelobacter,0.0
Percavirus,0.0
Marmoricola,0.0
Micropruina,0.0
Aeromicrobium,0.0
Friedmanniella,0.0
Avipoxvirus,0.0
Propionimicrobium,0.0
Arachnia,0.0
Cutibacterium,0.0
Parapoxvirus,0.0
Chlorovirus,0.0
Aviadenovirus,0.0
Betacoronavirus,0.0
Agromyces,0.0
Leifsonia,0.0
Agreia,0.0
Leucobacter,0.0
Chryseoglobus,0.0
Omegavirus,0.0
Gryllotalpicola,0.0
Cnuibacter,0.0
Marisediminicola,0.0
Glaciihabitans,0.0
Frigoribacterium,0.0
Diaminobutyricimonas,0.0
Protaetiibacter,0.0
Frondihabitans,0.0
Mycetocola,0.0
Herbiconiux,0.0
Microterricola,0.0
Humibacter,0.0
Plantibacter,0.0
Clavibacter,0.0
Cryobacterium,0.0
Salinibacterium,0.0
Agrococcus,0.0
Yimella,0.0
Georgenia,0.0
Timquatrovirus,0.0
Natronobacterium,0.0
Salinarchaeum,0.0
Halostagnicola,0.0
Natrarchaeobaculum,0.0
Halopiger,0.0
Methanotorris,0.0
Methanocaldococcus,0.0
Methanothermococcus,0.0
Methanobacterium,0.0
Methanobrevibacter,0.0
Methanothermobacter,0.0
Methanothermus,0.0
Thermococcus,0.0
Pyrococcus,0.0
Archaeoglobus,0.0
Geoglobus,0.0
Methanopyrus,0.0
Thermosphaera,0.0
Ignicoccus,0.0
Thermogladius,0.0
Natronorubrum,0.0
Natronococcus,0.0
Sulfolobus,0.0
Halobiforma,0.0
Streptosporangium,0.0
Nonomuraea,0.0
Pseudoclostridium,0.0
Actinomadura,0.0
Prauserella,0.0
Alloactinosynnema,0.0
Lentzea,0.0
Actinosynnema,0.0
Kibdelosporangium,0.0
Allokutzneria,0.0
Actinoalloteichus,0.0
Kutzneria,0.0
Saccharomonospora,0.0
Saccharothrix,0.0
Saccharopolyspora,0.0
Halovivax,0.0
Haloterrigena,0.0
Kitasatospora,0.0
Streptacidiphilus,0.0
Metallosphaera,0.0
Saccharolobus,0.0
Beutenbergia,0.0
Eragrovirus,0.0
Eneladusvirus,0.0
Gelderlandvirus,0.0
Schizotequatrovirus,0.0
