Genus,RA
Halomonas,0.8988891838739977
Marinobacter,0.037079301135388064
Psychrobacter,0.01092447050573754
Muricauda,0.0068161519737629985
Jannaschia,0.0026539353338133256
Thalassobius,0.0023152379207205076
Labrenzia,0.0017346158452213134
Mycobacterium,0.0016567590146407201
Helicobacter,0.0016301887119138554
Thauera,0.001625326267157432
Mesorhizobium,0.001564552922011869
Micromonospora,0.0015316412410344166
Leucobacter,0.0015283370871791615
Thioclava,0.0013844260367323793
Tropicibacter,0.0013130115847385607
Arenibacter,0.0009463515071414452
Acinetobacter,0.0008988452775849954
Fusibacter,0.0008438361659118094
Methanolacinia,0.000841751230400524
Nereida,0.0008373072156083034
Phaeobacter,0.0008305618360129684
Aureispira,0.0008294796895538238
Thalassobacter,0.0008257715343538215
Dysgonomonas,0.000825115032168607
Necropsobacter,0.0008250356747616032
Bifidobacterium,0.0008157436438324144
Sporanaerobacter,0.0008139977808783278
Chondromyces,0.0008124755615257977
Flavobacterium,0.0008077141171055612
Cystobacter,0.0008034216028176208
Microbacterium,0.0007984365147958278
Pseudoalteromonas,0.0007959187207008847
Shimia,0.0007954137190199505
Nautella,0.0007923476373857073
Pseudomonas,0.0007845994687382317
Paenibacillus,0.0007761587263569034
Saccharopolyspora,0.0007749827938712996
Acetomicrobium,0.0007743767918541786
Anaerosalibacter,0.0007684105577094278
Brachybacterium,0.0007648466887039781
Leisingera,0.0006562568986836771
Moraxella,0.0006373698358167392
Cohaesibacter,0.0004935742143255991
Verrucosispora,0.0003231722185589561
Maribacter,0.0003217509995426128
Chromohalobacter,0.0003121703962243189
Chlamydia,0.0002850229487192436
Xiangella,0.00023981808396590805
Salinispora,0.000215657360688072
Croceitalea,0.00019028463337599394
Spongiibacterium,0.0001865404066273535
Paracoccus,0.0001742400085417427
Flagellimonas,0.00017299193295886256
Actinoplanes,0.00015569201823200355
Polaribacter,0.00010284719947710683
Rhodobacter,9.815068384441908e-05
Pseudozobellia,8.135577079849423e-05
Defluviimonas,7.103930788798196e-05
Cellulophaga,6.907701564206635e-05
Salinicola,6.629950639692843e-05
Marinimicrobium,6.277892324984454e-05
Mesoflavibacter,5.091138374789162e-05
Jejuia,4.987252314711276e-05
Halotalea,4.956230782882463e-05
Tropicimonas,4.808337433466029e-05
Sulfitobacter,4.5919081416371e-05
Aidingimonas,4.425257586928825e-05
Salinivibrio,3.879855771519925e-05
Pseudovibrio,3.863262859146374e-05
Alcanivorax,3.809155536189142e-05
Pseudorhodobacter,3.688676563737705e-05
Oceanicola,3.4924473391461434e-05
Zobellia,3.298382407472871e-05
Couchioplanes,3.050931583815129e-05
Arsukibacterium,2.952816971519348e-05
Rhizobium,2.5964300709743792e-05
Rhodovulum,2.581280020546354e-05
Streptomyces,2.292707631441116e-05
Carnimonas,2.156357177588891e-05
Bartonella,2.094314113931265e-05
Gemmobacter,2.0524711175110056e-05
Devosia,1.9543565052152243e-05
Robiginitalea,1.92766355922299e-05
Cobetia,1.867784788483653e-05
Ahrensia,1.859849047783259e-05
Marinomonas,1.7884273814797127e-05
Celeribacter,1.76678445229682e-05
Roseicitreum,1.714119991285114e-05
Hahella,1.7040199576664307e-05
Kocuria,1.639091170117752e-05
Pseudooceanicola,1.58498384716052e-05
Ensifer,1.5748838135418364e-05
Puniceibacterium,1.5460265746313126e-05
Roseovarius,1.5099550259931579e-05
Nesiotobacter,1.5092335950203949e-05
Stappia,1.4659477366546091e-05
Ketogulonicigenium,1.4435833764989533e-05
Dermacoccus,1.4406976526079008e-05
Marivirga,1.4147261375884293e-05
Enhydrobacter,1.4140047066156663e-05
Kushneria,1.395968932296589e-05
Phyllobacterium,1.3930832084055365e-05
Actibacterium,1.3750474340864592e-05
