Species,RA
Halomonas sp. HL-93,0.8764615116736165
Marinobacter sp. ELB17,0.021521298158786582
Halomonas campaniensis,0.009913802179129143
Marinobacter psychrophilus,0.0065361669397147595
Halomonas stevensii,0.0059744756314919255
Muricauda ruestringensis,0.0045807895773106455
Psychrobacter sp. P11F6,0.0031425254203565414
Marinobacter sp. AC-23,0.0028567855522109234
Halomonas boliviensis,0.002791606306797453
Psychrobacter arcticus,0.0026991608431831283
Psychrobacter alimentarius,0.0023190207111236007
Labrenzia alba,0.0017138837859103577
Marinobacter subterrani,0.0014314620289743675
Halomonas sp. GFAJ-1,0.0014169272592191502
Marinobacter adhaerens,0.0011010142189216345
Jannaschia seosinensis,0.0010297325341965442
Muricauda antarctica,0.0009955848418783317
Marinobacter excellens,0.0009943225169616254
Arenibacter sp. C-21,0.0008843704100738953
Mycobacterium aurum,0.0008638269737151565
Psychrobacter sp. TB15,0.0008543487169120024
Fusibacter sp. 3D3,0.000843716334470717
Methanolacinia paynteri,0.0008416316950368421
Nereida ignava,0.0008371883113300363
Thauera aminoaromatica,0.0008319442529617767
Phaeobacter sp. CECT 7735,0.0008301481449374347
Aureispira sp. CCB-QB1,0.0008293618968464577
Jannaschia rubra,0.0008277316943825972
Thalassobacter stenotrophicus,0.0008256542682339606
Dysgonomonas sp. HGC4,0.0008249978592772734
Necropsobacter massiliensis,0.0008249185131396519
Mesorhizobium plurifarium,0.0008245362090220209
Acinetobacter rudis,0.0008223577968800479
Thalassobius sp. CECT 5113,0.0008188377136837471
Helicobacter heilmannii,0.000815894693306512
Bifidobacterium aesculapii,0.0008155556689003109
Helicobacter ailurogastricus,0.0008140553055707401
Sporanaerobacter sp. PP17-6a,0.0008138821867250205
Chondromyces apiculatus,0.0008123601835397347
Cystobacter fuscus,0.0008033075105656415
Flavobacterium succinicans,0.0007980562389121437
Shimia marina,0.0007950338723972871
Thauera terpenica,0.000793143991664847
Tropicibacter naphthalenivorans,0.0007925020092786364
Nautella italica,0.0007922351177248185
Jannaschia donghaensis,0.0007919970793119538
Pseudoalteromonas luteoviolacea,0.0007917229744728977
Mycobacterium cosmeticum,0.0007904029432742849
Leucobacter celer,0.0007776210018319797
Paenibacillus sp. FF9,0.0007760412923647873
Microbacterium sp. C448,0.0007758104672371611
Thalassobius mediterraneus,0.0007751179918542823
Acetomicrobium hydrogeniformans,0.0007742668241961603
Saccharopolyspora rectivirgula,0.0007740504256390107
Anaerosalibacter massiliensis,0.0007683014373040687
Pseudomonas pelagia,0.0007656974413330348
Brachybacterium muris,0.0007645721688358566
Leucobacter sp. UCD-THU,0.0007502105179263591
Mesorhizobium sp. ORS3324,0.0007296526549971437
Thalassobius gelatinovorus,0.0007209534329997283
Halomonas salina,0.0007178661469177267
Psychrobacter sp. PRwf-1,0.0007142162245871363
Leisingera aquaemixtae,0.0006552548310490986
Muricauda sp. MAR_2010_75,0.0006422853441905972
Thioclava pacifica,0.0006264161166662905
Psychrobacter aquaticus,0.0006196067754013153
Moraxella catarrhalis,0.0005650599124291303
Micromonospora aurantiaca,0.000555891826891224
Muricauda sp. CP2A,0.000543023326026059
Marinobacter hydrocarbonoclasticus,0.0005414003368474367
Micromonospora carbonacea,0.0005328598071252644
Tropicibacter multivorans,0.0005203231173810622
Cohaesibacter marisflavi,0.0004932516578816426
Micromonospora lupini,0.00044262882207910437
Thioclava atlantica,0.0004273294440886251
Psychrobacter sp. ENNN9_III,0.00042731501751814844
Halomonas huangheensis,0.00042167422846178126
Marinobacter similis,0.00041450422293489
Marinobacter lipolyticus,0.00039506441921761433
Marinobacter salarius,0.0003466560619832407
Verrucosispora maris,0.0003231191122505986
Halomonas elongata,0.00031399430642412224
Chlamydia psittaci,0.00028498247319559434
Thioclava dalianensis,0.000278461663340152
Marinobacter sp. ES-1,0.00026342196361825226
Xiangella phaseoli,0.00023977681460703534
Chromohalobacter salexigens,0.00022894246017907688
Marinobacter nitratireducens,0.00022176524136694728
Marinobacter santoriniensis,0.0001974997498252347
Croceitalea dokdonensis,0.00019025761144596023
Spongiibacterium flavum,0.0001865067031220332
