SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified
S1,biobakery3,18,0.9923,0.0081,11.3385,0.9275,0.0149,94.4444,0.0000,0
S1,biobakery4,18,1.0000,0.0005,0.1831,0.9956,0.0008,100.0000,0.0000,0
S1,jams,22,0.9956,0.0045,11.7126,0.9505,0.0082,94.4444,0.8180,0.00868060940359328
S1,wgsa2,24,0.9967,0.0034,8.9590,0.9592,0.0068,94.4444,0.1192,0.007498276767353572
S1,woltka,47,0.9377,0.0067,22.3954,0.8436,0.0221,94.4444,2.6435,0
S2,biobakery3,13,0.9563,0.0141,5.6829,0.9082,0.0249,83.3333,0.4089,0
S2,biobakery4,12,0.9518,0.0147,0.9660,0.9115,0.0297,100.0000,0.0000,0
S2,jams,13,0.9526,0.0150,3.4164,0.9022,0.0256,100.0000,0.0000,0.0048927877388258625
S2,wgsa2,13,0.9665,0.0125,1.2277,0.9190,0.0215,100.0000,0.0000,0.000617582856814687
S2,woltka,40,0.7666,0.0148,25.5425,0.7040,0.0447,75.0000,1.7589,0
