SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified
S1,biobakery3,41,0.9939,0.0024,8.6188,0.9511,0.0052,100.0000,0.5265,0
S1,biobakery4,41,0.9868,0.0027,12.7647,0.9456,0.0062,89.4737,3.0566,0
S1,jams,51,0.9539,0.0048,15.0361,0.8765,0.0097,97.3684,1.4388,0.022530659379655052
S1,wgsa2,59,0.7585,0.0065,13.4764,0.8082,0.0209,97.3684,2.0432,0.008777910803157183
S1,woltka,93,0.7576,0.0067,30.7596,0.6882,0.0171,86.8421,8.5091,0
S2,biobakery3,22,0.9606,0.0067,1.2308,0.9264,0.0185,100.0000,0.0586,0
S2,biobakery4,22,0.9243,0.0113,7.1138,0.8757,0.0243,95.2381,3.8344,0
S2,jams,25,0.9430,0.0095,4.8525,0.8818,0.0185,100.0000,0.2055,0.008454300846630798
S2,wgsa2,45,0.7143,0.0095,6.3786,0.7868,0.0328,100.0000,3.9102,0.0007626288976952127
S2,woltka,96,0.7546,0.0073,25.8766,0.6489,0.0215,80.9524,30.6668,0
