SampleID,Source/Pipeline,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA
S1,biobakery3,14,0.9937,0.0052,1.4097,0.9635,0.0086,100.0000,0.0000
S1,biobakery4,14,0.9846,0.0066,4.5268,0.9539,0.0115,84.6154,2.4401
S1,jams,14,0.9363,0.0141,3.7405,0.9014,0.0211,92.3077,0.0000
S1,wgsa2,13,0.6190,0.0282,2.5021,0.8164,0.0517,92.3077,0.0000
S1,woltka,18,0.6624,0.0327,9.2433,0.7055,0.0441,87.5000,3.9996
S2,biobakery3,11,0.9521,0.0139,0.8675,0.9237,0.0276,100.0000,0.0000
S2,biobakery4,12,0.9085,0.0217,4.8242,0.8701,0.0346,90.9091,4.0340
S2,jams,11,0.9212,0.0202,0.7936,0.8891,0.0291,100.0000,0.0000
S2,wgsa2,12,0.5804,0.0351,2.6395,0.7893,0.0664,100.0000,1.8748
S2,woltka,15,0.6610,0.0441,8.8335,0.6694,0.0568,81.8182,28.1267
