Genus,RA,TAX_ID
Bordetella,0.561947,517
Clostridium,0.225664,1485
Bacteroides,0.123894,816
Fermentimonas,0.013274,1784836
Ruminiclostridium,0.00885,1508657
Escherichia,0.00885,561
Akkermansia,0.00885,239934
Eubacterium,0.00885,1730
Lachnoclostridium,0.008094,1506553
Bifidobacterium,0.004425,1678
Achromobacter,0.004425,222
Erysipelothrix,0.004425,1647
Ruminococcus,0.004425,1263
Butyrivibrio,0.004425,830
Burkholderia,0.004425,32008
Odoribacter,0.004425,283168
Cellulosilyticum,0.000755,698776
Turicibacter,0.0,191303
Aerococcus,0.0,1375
Croceibacter,0.0,216431
Bibersteinia,0.0,476528
Lacinutrix,0.0,291183
Tannerella,0.0,195950
Desulfovibrio,0.0,872
Zunongwangia,0.0,417127
Brevundimonas,0.0,41275
Sulfurospirillum,0.0,57665
Dichelobacter,0.0,869
Atopobium,0.0,1380
Gemella,0.0,1378
Alistipes,0.0,239759
Cellulophaga,0.0,104264
Seonamhaeicola,0.0,1649495
Leptotrichia,0.0,32067
Chryseobacterium,0.0,59732
Gramella,0.0,292691
Fusobacterium,0.0,848
Salegentibacter,0.0,143222
Lactococcus,0.0,1357
Tenacibaculum,0.0,104267
Porphyromonas,0.0,836
Enterococcus,0.0,1350
Roseburia,0.0,841
Gardnerella,0.0,2701
Kingella,0.0,32257
Histophilus,0.0,214906
Sphaerochaeta,0.0,399320
Maribacter,0.0,252356
Anaerotignum,0.0,2039240
Selenomonas,0.0,970
Rothia,0.0,32207
Capnocytophaga,0.0,1016
Coriobacterium,0.0,33870
Moraxella,0.0,475
Cryptobacterium,0.0,84162
Neisseria,0.0,482
Faecalibaculum,0.0,1729679
Polynucleobacter,0.0,44013
Roseateles,0.0,93681
Basfia,0.0,697331
Desulfitobacterium,0.0,36853
Alkaliphilus,0.0,114627
Weeksella,0.0,1013
Candidatus Arthromitus,0.0,49082
Trueperella,0.0,1069494
Petrimonas,0.0,307628
Peptoniphilus,0.0,162289
Prevotella,0.0,838
Mucinivorans,0.0,1611681
Sebaldella,0.0,32068
Winogradskyella,0.0,286104
Methylobacterium,0.0,407
Salinispira,0.0,1616789
Nonlabens,0.0,363408
Muricauda,0.0,111500
Streptobacillus,0.0,34104
Mageeibacillus,0.0,1637257
Taylorella,0.0,29574
Megasphaera,0.0,906
Streptococcus,0.0,1301
Ethanoligenens,0.0,253238
Cupriavidus,0.0,106589
Aggregatibacter,0.0,416916
Spirochaeta,0.0,146
Eggerthella,0.0,84111
Slackia,0.0,84108
Siansivirga,0.0,1204360
Lutibacter,0.0,358023
Elizabethkingia,0.0,308865
Actinomyces,0.0,1654
Sediminicola,0.0,389486
Sneathia,0.0,168808
Negativicoccus,0.0,909928
Arcanobacterium,0.0,28263
Ralstonia,0.0,48736
Blautia,0.0,572511
Ornithobacterium,0.0,28250
Riemerella,0.0,34084
Salmonella,0.0,590
Jeotgalibaca,0.0,1470540
Actinotignum,0.0,1653174
Coraliomargarita,0.0,442430
Klebsiella,0.0,570
Formosa,0.0,225842
Mycoplasma,0.0,2093
Cloacibacillus,0.0,508459
Lactobacillus,0.0,1578
Clostridioides,0.0,1870884
Myroides,0.0,76831
Desulfotomaculum,0.0,1562
Dialister,0.0,39948
Janthinobacterium,0.0,29580
Geosporobacter,0.0,390805
Veillonella,0.0,29465
Collimonas,0.0,202907
Treponema,0.0,157
Pseudomonas,0.0,286
Marinilactibacillus,0.0,191769
Mobiluncus,0.0,2050
Deinococcus,0.0,1298
Candidatus Symbiobacter,0.0,1436289
Snodgrassella,0.0,1193515
Paraburkholderia,0.0,1822464
Staphylococcus,0.0,1279
Flavobacterium,0.0,237
Lawsonia,0.0,41707
Pasteurella,0.0,745
Peptoclostridium,0.0,1481960
Pediococcus,0.0,1253
Filifactor,0.0,44259
Polaribacter,0.0,52959
Acetoanaerobium,0.0,186831
Arcobacter,0.0,28196
Ilyobacter,0.0,167639
Haemophilus,0.0,724
Mannheimia,0.0,75984
Propionibacterium,0.0,1743
Gallibacterium,0.0,155493
Actinobacillus,0.0,713
Algibacter,0.0,261827
Campylobacter,0.0,194
Carnobacterium,0.0,2747
Corynebacterium,0.0,1716
Aequorivita,0.0,153265
Acetobacterium,0.0,33951
Parabacteroides,0.0,375288
