genus,S1
Achromobacter,0.0079579
Akkermansia,0.0071033
Bacteroides,0.12336549999999999
Bifidobacterium,0.0043118
Bordetella,0.6036839
Burkholderia,0.0024301
Butyrivibrio,0.0042677999999999995
Cellulosilyticum,0.0006574
Clostridium,0.19993629999999998
Desulfovibrio,0.0
Erysipelothrix,0.0044313
Escherichia,0.0082021
Fermentimonas,0.0130155
Hungateiclostridium,0.0
Lachnoclostridium,0.0057151
Muribaculum,0.0
Odoribacter,0.0046099
Parabacteroides,0.0
Roseburia,0.0
Ruminococcus,0.0012839000000000001
Thermoclostridium,0.0090283
