genus,S1,tax_id
ACHROMOBACTER,0.0081892,222
AKKERMANSIA,0.0170406,239934
BACTEROIDES,0.1958892,816
BIFIDOBACTERIUM,0.008467599999999999,1678
BORDETELLA,1.1288795999999999,517
BURKHOLDERIA,0.007869000000000001,32008
BUTYRIVIBRIO,0.0090414,830
CELLULOSILYTICUM,0.0013655999999999998,698776
CLOSTRIDIUM,0.44732700000000003,1485
DESULFOCURVIBACTER,0.0,2582840
ERYSIPELOTHRIX,0.008801400000000001,1647
ESCHERICHIA,0.017037800000000002,561
EUBACTERIUM,0.0165052,1730
FERMENTIMONAS,0.0268078,1784836
HUNGATEICLOSTRIDIUM,0.0,35829
LACHNOCLOSTRIDIUM,0.0165192,1506553
MURIBACULUM,0.0,1918540
ODORIBACTER,0.0089136,283168
PARABACTEROIDES,0.0,375288
PHOCAEICOLA,0.05450580000000001,909656
ROSEBURIA,0.0,841
RUMINOCOCCUS,0.0089192,1263
THERMOCLOSTRIDIUM,0.0179204,2304691
