genus,S1_GItract_HiSeq_cami,tax_id
BORDETELLA,0.5604933629601778,517
CLOSTRIDIUM,0.21504629027774166,1485
BACTEROIDES,0.12873377240263442,816
PHOCAEICOLA,0.02374414246485479,909656
UNCLASSIFIED,0.008676052056312339,12908
LACHNOCLOSTRIDIUM,0.00864305185831115,1506553
ESCHERICHIA,0.008619051714310285,561
LASCOLABACILLUS,0.007800046800280801,1924067
THERMOCLOSTRIDIUM,0.0058120348722092334,2304691
EUBACTERIUM,0.005481032886197317,1730
AKKERMANSIA,0.005397032382194293,239934
BURKHOLDERIA,0.005091030546183277,32008
RUMINOCOCCUS,0.0034210205261231566,1263
ACHROMOBACTER,0.0032750196501179006,222
ODORIBACTER,0.003219019314115885,283168
BUTYRIVIBRIO,0.0025910155460932764,830
BIFIDOBACTERIUM,0.0016770100620603723,1678
ERYSIPELOTHRIX,0.0013580081480488882,1647
PETRIMONAS,0.00026500159000954004,307628
PROTEINIPHILUM,0.00011100066600399603,294702
PARABACTEROIDES,7.300043800262802e-05,375288
LEPTOSPIRA,4.200025200151201e-05,171
SPHINGOBACTERIUM,4.200025200151201e-05,28453
PARAPEDOBACTER,4.1000246001476006e-05,416949
SHIGELLA,3.800022800136801e-05,620
LACHNOBACTERIUM,3.200019200115201e-05,140625
BUTYRICICOCCUS,2.5000150000900005e-05,580596
CELLULOSILYTICUM,2.1000126000756008e-05,698776
CITROBACTER,2.0000120000720005e-05,544
GEOFILUM,1.6000096000576005e-05,1236988
ENTEROBACTER,1.3000078000468004e-05,547
HUNGATELLA,1.2000072000432003e-05,1649459
KLEBSIELLA,1.2000072000432003e-05,570
ANAEROVORAX,1.1000066000396002e-05,109326
COPROCOCCUS,1.0000060000360002e-05,33042
NEISSERIA,9.000054000324002e-06,482
PLURALIBACTER,7.000042000252001e-06,1330546
STAPHYLOCOCCUS,7.000042000252001e-06,1279
DEFLUVIITALEA,6.000036000216001e-06,1185408
CLOSTRIDIOIDES,6.000036000216001e-06,1870884
LELLIOTTIA,5.000030000180001e-06,1330545
ACINETOBACTER,5.000030000180001e-06,469
SALMONELLA,5.000030000180001e-06,590
PSEUDORAMIBACTER,4.000024000144001e-06,113286
PSEUDOMONAS,3.000018000108001e-06,286
PREVOTELLA,3.000018000108001e-06,838
TAYLORELLA,3.0000180001080007e-06,29574
ROSEBURIA,3.0000180001080007e-06,841
LAPIDILACTOBACILLUS,2.0000120000720006e-06,2767884
NOCARDIOIDES,2.0000120000720006e-06,1839
PENICILLIUM,2.0000120000720006e-06,5073
YERSINIA,2.0000120000720006e-06,629
ENTEROCLOSTER,2.0000120000720006e-06,2719313
TERRISPOROBACTER,2.0000120000720006e-06,1505652
CABALLERONIA,2.0000120000720006e-06,1827195
BREVUNDIMONAS,2.0000120000720006e-06,41275
CALONECTRIA,2.0000120000720006e-06,57138
VIBRIO,2.0000120000720006e-06,662
XYLARIA,2.0000120000720006e-06,37991
ALGORIPHAGUS,2.0000120000720006e-06,246875
PANTOEA,1.0000060000360003e-06,53335
OTTOWIA,1.0000060000360003e-06,219181
MASSILIA,1.0000060000360003e-06,149698
TRABULSIELLA,1.0000060000360003e-06,158851
PARABURKHOLDERIA,1.0000060000360003e-06,1822464
NOVOSPHINGOBIUM,1.0000060000360003e-06,165696
THIOMICRORHABDUS,1.0000060000360003e-06,2039723
NOCARDIA,1.0000060000360003e-06,1817
BLASTOCOCCUS,1.0000060000360003e-06,38501
TRINICKIA,1.0000060000360003e-06,2571160
ANAEROMYXOBACTER,1.0000060000360003e-06,161492
ATOPOBIUM,1.0000060000360003e-06,1380
VARIOVORAX,1.0000060000360003e-06,34072
MICROVIRGA,1.0000060000360003e-06,186650
AMPELOMYCES,1.0000060000360003e-06,50729
PHYTOPHTHORA,1.0000060000360003e-06,4783
ROSEOMONAS,1.0000060000360003e-06,125216
XANTHOMONAS,1.0000060000360003e-06,338
ACTINOMORTIERELLA,1.0000060000360003e-06,2779867
ACTINOMADURA,1.0000060000360003e-06,1988
PSEUDOVIRGARIA,1.0000060000360003e-06,470095
RHIZOBACTER,1.0000060000360003e-06,212743
RHIZOBIUM,1.0000060000360003e-06,379
SACCHAROMYCOPSIS,1.0000060000360003e-06,4943
RHIZOPUS,1.0000060000360003e-06,4842
BRACHYMONAS,1.0000060000360003e-06,28219
BRADYRHIZOBIUM,1.0000060000360003e-06,374
DICTYOSTELIUM,1.0000060000360003e-06,5782
DIAPHOROBACTER,1.0000060000360003e-06,238749
CYCLOSPORA,1.0000060000360003e-06,44417
FUSARIUM,1.0000060000360003e-06,5506
GEOSIPHON,1.0000060000360003e-06,50955
GIGASPORA,1.0000060000360003e-06,4873
HAFNIA,1.0000060000360003e-06,568
HALIOGLOBUS,1.0000060000360003e-06,1217416
HATHEWAYA,1.0000060000360003e-06,1769729
CRONOBACTER,1.0000060000360003e-06,413496
COHNELLA,1.0000060000360003e-06,329857
CLADOSIPHON,1.0000060000360003e-06,309736
CHRISTENSENELLA,1.0000060000360003e-06,990721
CHONDROMYCES,1.0000060000360003e-06,50
CHAETOMIUM,1.0000060000360003e-06,5149
LECLERCIA,1.0000060000360003e-06,83654
THIOLAPILLUS,1.0000060000360003e-06,1608298
LUTEIMONAS,1.0000060000360003e-06,83614
LYSINIBACILLUS,1.0000060000360003e-06,400634
MAGNETOSPIRILLUM,1.0000060000360003e-06,13134
THERMOMUCOR,0.0,101120
TEPIDIMONAS,0.0,114248
STREPTACIDIPHILUS,0.0,228398
SULFURIMONAS,0.0,202746
STREPTOMYCES,0.0,1883
ACETIVIBRIO,0.0,35829
