species,S1_GItract_HiSeq_cami,tax_id
BORDETELLA_PETRII,0.2155362932177593,94624
BORDETELLA_PERTUSSIS,0.21206727240363443,520
BORDETELLA_PSEUDOHINZII,0.1019556117336704,1331258
BACTEROIDES_THETAIOTAOMICRON,0.09209855259131555,818
CLOSTRIDIUM_ACETICUM,0.07072942437654627,84022
BACTEROIDES_FRAGILIS,0.03559821358928154,817
CLOSTRIDIUM_BUTYRICUM,0.0329971979831879,1492
CLOSTRIDIUM_SCATOLOGENES,0.029528177169063013,1548
CLOSTRIDIUM_PASTEURIANUM,0.02582615495692974,1501
UNCLASSIFIED,0.02247613485680914,12908
CLOSTRIDIUM_BOTULINUM,0.021105126630759783,1491
BORDETELLA_BRONCHISEPTICA,0.019855119130714784,518
PHOCAEICOLA_SALANITRONIS,0.012604075624453747,376805
LACHNOCLOSTRIDIUM_PHYTOFERMENTANS,0.00862305173831043,66219
ESCHERICHIA_COLI,0.008335050010300061,562
CLOSTRIDIUM_SACCHAROBUTYLICUM,0.008296049776298657,169679
LASCOLABACILLUS_MASSILIENSIS,0.007800046800280801,1627894
PHOCAEICOLA_VULGATUS,0.007316043896263377,821
CLOSTRIDIUM_AUTOETHANOGENUM,0.006165036990221941,84023
THERMOCLOSTRIDIUM_STERCORARIUM,0.0058120348722092334,1510
AKKERMANSIA_MUCINIPHILA,0.005396032376194257,239935
BORDETELLA_HOLMESII,0.004738028428170569,35814
BORDETELLA_BRONCHIALIS,0.004588027528165169,463025
BURKHOLDERIA_MULTIVORANS,0.004388026328157969,87883
CLOSTRIDIUM_ACETOBUTYLICUM,0.004329025974155845,1488
CLOSTRIDIUM_CELLULOVORANS,0.004090024540147241,1493
RUMINOCOCCUS_ALBUS,0.0034200205201231205,1264
ODORIBACTER_SPLANCHNICUS,0.003219019314115885,28118
CLOSTRIDIUM_CARBOXIDIVORANS,0.0026550159300955806,217159
BUTYRIVIBRIO_HUNGATEI,0.0025740154440926644,185008
EUBACTERIUM_CALLANDERI,0.0022370134220805324,53442
PHOCAEICOLA_DOREI,0.0016270097620585723,357276
EUBACTERIUM_LIMOSUM,0.0015360092160552963,1736
CLOSTRIDIUM_TETANI,0.0013890083340500044,1513
ERYSIPELOTHRIX_RHUSIOPATHIAE,0.0013480080880485283,1648
CLOSTRIDIUM_SPOROGENES,0.0006460038760232561,1509
CLOSTRIDIUM_LJUNGDAHLII,0.0005730034380206281,1538
BACTEROIDES_UNIFORMIS,0.0005400032400194401,820
CLOSTRIDIUM_COSKATII,0.0005160030960185761,1705578
ACHROMOBACTER_RUHLANDII,0.0004540027240163441,72557
CLOSTRIDIUM_SP._AWRP,0.0004450026700160201,2212991
BIFIDOBACTERIUM_ANIMALIS,0.0004230025380152281,28025
EUBACTERIUM_SP._1001713B170207-170306-E7,0.00040300241801450806,2787097
PHOCAEICOLA_SARTORII,0.0003670022020132121,671267
PETRIMONAS_MUCOSA,0.00026500159000954004,1642646
ACHROMOBACTER_XYLOSOXIDANS,0.00026500159000954004,85698
CLOSTRIDIUM_BEIJERINCKII,0.00015800094800568802,1520
BORDETELLA_PARAPERTUSSIS,0.00014000084000504004,519
CLOSTRIDIUM_RAGSDALEI,0.00010700064200385203,217158
CLOSTRIDIUM_SP._001,9.600057600345602e-05,1970093
BACTEROIDES_XYLANISOLVENS,7.000042000252002e-05,371601
ACHROMOBACTER_DOLENS,5.800034800208801e-05,1287738
PROTEINIPHILUM_ACETATIGENES,5.7000342002052014e-05,294710
CLOSTRIDIUM_SP._YIM-B02565,5.400032400194401e-05,2803863
PROTEINIPHILUM_SACCHAROFERMENTANS,5.400032400194401e-05,1642647
CLOSTRIDIUM_FELSINEUM,4.800028800172801e-05,36839
CLOSTRIDIUM_ROSEUM,4.500027000162001e-05,36839
EUBACTERIUM_SP._BL-380-WT-2B,4.500027000162001e-05,2605785
LEPTOSPIRA_KIRSCHNERI,4.200025200151201e-05,29507
SPHINGOBACTERIUM_SP._1-A-4,4.200025200151201e-05,2044603
CLOSTRIDIUM_SP._N37,4.200025200151201e-05,2762223
PARAPEDOBACTER_COMPOSTI,4.1000246001476006e-05,623281
CLOSTRIDIUM_AURANTIBUTYRICUM,3.900023400140401e-05,36839
CLOSTRIDIUM_SP._PL3,3.800022800136801e-05,2794346
PARABACTEROIDES_DISTASONIS,3.700022200133201e-05,823
EUBACTERIUM_MALTOSIVORANS,3.700022200133201e-05,2041044
ACHROMOBACTER_PULMONIS,3.400020400122401e-05,1389932
CLOSTRIDIUM_SP._P21,3.3000198001188005e-05,2716538
LACHNOBACTERIUM_BOVIS,3.200019200115201e-05,140626
CLOSTRIDIUM_ACIDISOLI,2.9000174001044005e-05,91624
ACHROMOBACTER_DENITRIFICANS,2.7000162000972006e-05,32002
PARABACTEROIDES_SP._HGS0025,2.7000162000972006e-05,1078087
BACTEROIDES_TOGONIS,2.6000156000936007e-05,1917883
BACTEROIDES_FLUXUS,2.6000156000936007e-05,626930
CLOSTRIDIUM_SARTAGOFORME,2.6000156000936007e-05,84031
CLOSTRIDIUM_IHUMII,2.5000150000900005e-05,1470356
BUTYRICICOCCUS_PULLICAECORUM,2.5000150000900005e-05,501571
ACHROMOBACTER_DELEYI,2.4000144000864005e-05,1353891
CLOSTRIDIUM_VINCENTII,2.3000138000828006e-05,52704
ACHROMOBACTER_PIECHAUDII,2.0000120000720005e-05,72556
ACHROMOBACTER_INSOLITUS,2.0000120000720005e-05,217204
ACHROMOBACTER_SP._ASV32,2.0000120000720005e-05,2795101
CLOSTRIDIUM_ESTERTHETICUM,2.0000120000720005e-05,238834
BURKHOLDERIA_CENOCEPACIA,2.0000120000720005e-05,95486
CLOSTRIDIUM_LUNDENSE,1.9000114000684006e-05,319475
CELLULOSILYTICUM_LENTOCELLUM,1.9000114000684006e-05,29360
CLOSTRIDIUM_SP._YIM-B02505,1.9000114000684006e-05,2800325
CLOSTRIDIUM_MASSILIAMAZONIENSE,1.8000108000648003e-05,1347366
CLOSTRIDIUM_SP._NSJ-6,1.8000108000648003e-05,2763036
ACHROMOBACTER_INSUAVIS,1.7000102000612004e-05,1287735
BACTEROIDES_FAECIS,1.7000102000612004e-05,674529
CLOSTRIDIUM_POLYENDOSPORUM,1.7000102000612004e-05,69208
BIFIDOBACTERIUM_PSEUDOLONGUM,1.6000096000576005e-05,1694
CLOSTRIDIUM_GUANGXIENSE,1.6000096000576005e-05,1662055
CLOSTRIDIUM_ALGIFAECIS,1.6000096000576005e-05,1472040
GEOFILUM_RUBICUNDUM,1.6000096000576005e-05,472113
CLOSTRIDIUM_SP._C2-6-12,1.6000096000576005e-05,2698832
CLOSTRIDIUM_ACETIREDUCENS,1.5000090000540004e-05,76489
CLOSTRIDIUM_SP._AF12-41,1.5000090000540004e-05,2292994
CLOSTRIDIUM_SP._JN-1,1.5000090000540004e-05,2483110
SHIGELLA_FLEXNERI,1.4000084000504003e-05,623
CLOSTRIDIUM_GRANTII,1.4000084000504003e-05,40575
CLOSTRIDIUM_LUTICELLARII,1.4000084000504003e-05,1691940
ACHROMOBACTER_SP._UMC46,1.3000078000468004e-05,1862319
LACHNOCLOSTRIDIUM_EDOUARDI,1.2000072000432003e-05,1926283
BACTEROIDES_SP._3-1-23,1.2000072000432003e-05,457390
CLOSTRIDIUM_THIOSULFATIREDUCENS,1.2000072000432003e-05,150336
CLOSTRIDIUM_SP._DJ247,1.1000066000396002e-05,2726188
CLOSTRIDIUM_TETANOMORPHUM,1.1000066000396002e-05,1553
PHOCAEICOLA_ABSCESSUS,1.1000066000396002e-05,555313
CLOSTRIDIUM_FUNGISOLVENS,1.1000066000396002e-05,1604897
CLOSTRIDIUM_SP._DL-VIII,1.1000066000396002e-05,641107
BURKHOLDERIA_STAGNALIS,1.1000066000396002e-05,1503054
ANAEROVORAX_SP._IOR16,1.1000066000396002e-05,2773458
CLOSTRIDIUM_KLUYVERI,1.1000066000396002e-05,1534
CLOSTRIDIUM_SP._DSM-8431,1.1000066000396002e-05,1761781
HUNGATELLA_HATHEWAYI,1.1000066000396002e-05,154046
CLOSTRIDIUM_PUTREFACIENS,1.0000060000360002e-05,99675
CLOSTRIDIUM_CADAVERIS,1.0000060000360002e-05,1529
SHIGELLA_BOYDII,1.0000060000360002e-05,621
COPROCOCCUS_SP._AF21-14LB,1.0000060000360002e-05,2292231
ACHROMOBACTER_SP._RTA,1.0000060000360002e-05,1532557
CLOSTRIDIUM_ACIDITOLERANS,1.0000060000360002e-05,339861
CLOSTRIDIUM_SP._SA3CUN1,9.000054000324002e-06,2762246
BURKHOLDERIA_SP._BP9126,9.000054000324002e-06,2184570
ACHROMOBACTER_PESTIFER,9.000054000324002e-06,1353889
NEISSERIA_MENINGITIDIS,9.000054000324002e-06,487
CLOSTRIDIUM_BARATII,9.000054000324002e-06,1561
CLOSTRIDIUM_TARANTELLAE,9.000054000324002e-06,39493
SHIGELLA_SONNEI,8.000048000288002e-06,624
CLOSTRIDIUM_FERMENTICELLAE,8.000048000288002e-06,2068654
CLOSTRIDIUM_SYMBIOSUM,8.000048000288002e-06,1512
BURKHOLDERIA_VIETNAMIENSIS,8.000048000288002e-06,60552
BACTEROIDES_INTESTINALIS,8.000048000288002e-06,329854
BURKHOLDERIA_TERRITORII,8.000048000288002e-06,1503055
STAPHYLOCOCCUS_SP._GDK8D66P,7.000042000252001e-06,2804383
ESCHERICHIA_WHITTAMII,7.000042000252001e-06,2762229
ACHROMOBACTER_SP._MARSEILLE-Q0513,7.000042000252001e-06,2829161
BACTEROIDES_BOUCHESDURHONENSIS,7.000042000252001e-06,1841855
ACHROMOBACTER_SPANIUS,7.000042000252001e-06,217203
CITROBACTER_SP._MARSEILLE-Q3906,7.000042000252001e-06,2866574
PARABACTEROIDES_MASSILIENSIS,7.000042000252001e-06,1750560
ESCHERICHIA_ALBERTII,7.000042000252001e-06,208962
BURKHOLDERIA_UBONENSIS,7.000042000252001e-06,101571
CLOSTRIDIUM_TEPIDIPROFUNDI,7.000042000252001e-06,420412
CLOSTRIDIUM_ULIGINOSUM,7.000042000252001e-06,119641
PLURALIBACTER_GERGOVIAE,7.000042000252001e-06,61647
CITROBACTER_FREUNDII,6.000036000216001e-06,546
CLOSTRIDIOIDES_DIFFICILE,6.000036000216001e-06,1496
ACHROMOBACTER_SP._UMC71,6.000036000216001e-06,1862320
KLEBSIELLA_PNEUMONIAE,6.000036000216001e-06,573
DEFLUVIITALEA_PHAPHYPHILA,6.000036000216001e-06,1473580
CLOSTRIDIUM_SP._M14,6.000036000216001e-06,2716311
CLOSTRIDIUM_PERFRINGENS,6.000036000216001e-06,1502
BURKHOLDERIA_DIFFUSA,6.000036000216001e-06,488732
BACTEROIDES_OVATUS,6.000036000216001e-06,28116
BACTEROIDES_SP._3-1-33FAA,6.000036000216001e-06,457391
CLOSTRIDIUM_TAENIOSPORUM,6.000036000216001e-06,394958
ACHROMOBACTER_KERSTERSII,6.000036000216001e-06,1353890
BURKHOLDERIA_LATENS,6.000036000216001e-06,488446
LELLIOTTIA_AMNIGENA,5.000030000180001e-06,61646
ESCHERICHIA_FERGUSONII,5.000030000180001e-06,564
ESCHERICHIA_SP._E4742,5.000030000180001e-06,2044467
CLOSTRIDIUM_SP._CS001,5.000030000180001e-06,2880648
SALMONELLA_ENTERICA,5.000030000180001e-06,28901
ACHROMOBACTER_AGILIS,5.000030000180001e-06,1353888
CLOSTRIDIUM_SP._HV4-5-A1G,5.000030000180001e-06,2004595
PSEUDORAMIBACTER_ALACTOLYTICUS,4.000024000144001e-06,113287
BURKHOLDERIA_ARBORIS,4.000024000144001e-06,488730
BACTEROIDES_SALYERSIAE,4.000024000144001e-06,291644
CLOSTRIDIUM_SENEGALENSE,4.000024000144001e-06,1465809
CLOSTRIDIUM_CAGAE,4.000024000144001e-06,2080751
ACHROMOBACTER_SP._MFA1-R4,4.000024000144001e-06,1881016
ACHROMOBACTER_VETERISILVAE,4.000024000144001e-06,2069367
ACHROMOBACTER_MUCICOLENS,4.000024000144001e-06,1389922
ESCHERICHIA_SP._E3659,4.000024000144001e-06,2044462
ENTEROBACTER_LUDWIGII,4.000024000144001e-06,299767
SHIGELLA_DYSENTERIAE,4.000024000144001e-06,622
ACHROMOBACTER_SP._MYB9,3.0000180001080007e-06,1827284
ACHROMOBACTER_SP._DH1F,3.0000180001080007e-06,1397275
CLOSTRIDIUM_SP._YB-6,3.0000180001080007e-06,2859781
BURKHOLDERIA_ANTHINA,3.0000180001080007e-06,179879
ROSEBURIA_SP._AM59-24XD,3.0000180001080007e-06,2293138
BACTEROIDES_LUTI,3.0000180001080007e-06,1297750
ESCHERICHIA_SP._94-0001,3.0000180001080007e-06,2723312
BIFIDOBACTERIUM_DOLICHOTIDIS,3.0000180001080007e-06,2306976
CLOSTRIDIUM_MAGNUM,3.0000180001080007e-06,33954
BIFIDOBACTERIUM_PULLORUM,3.0000180001080007e-06,78448
BACTEROIDES_SP._NMBE5,3.0000180001080007e-06,2184759
BIFIDOBACTERIUM_CALLIMICONIS,3.0000180001080007e-06,2306973
