"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","LKT","NumBases","PctFromCtg","CumSum","PctCumSum","NumContigs","ContigSum","LargestContigSize","N50","L50","N90","ProbNumGenomes","Num16S"
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Bordetella","s__Bordetella_pertussis","LKT__s__Bordetella_pertussis",1331603939,100,1331603939,32.87,498,4083104,53965,20905,434,6657,0.99,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter","s__Achromobacter_xylosoxidans","LKT__s__Achromobacter_xylosoxidans",879072143,100,2210676082,54.58,54,6246912,765291,320507,48,122880,0.96,3
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_botulinum","LKT__s__Clostridium_botulinum",372448074,100,2583124156,63.77,7492,13449709,687745,2821,6806,670,3.46,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Roseburia","s__Roseburia_hominis","LKT__s__Roseburia_hominis",295632795,100,2878756951,71.07,73,3533719,328239,96037,63,27256,0.98,2
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_perfringens","LKT__s__Clostridium_perfringens",273789805,100,3152546756,77.83,463,3890856,827608,168157,458,2428,1.17,6
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_scatologenes","LKT__s__Clostridium_scatologenes",195554398,100,3348101154,82.66,95,5710968,497404,181624,85,45877,0.99,3
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_fragilis","LKT__s__Bacteroides_fragilis",181270207,100,3529371361,87.13,123,5159873,671613,215693,117,53001,0.98,0
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_thetaiotaomicron","LKT__s__Bacteroides_thetaiotaomicron",137366939,100,3666738300,90.52,101,6180057,323119,132987,85,35874,0.97,1
"d__Bacteria","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Phocaeicola_dorei","LKT__s__Phocaeicola_dorei",84331061,100,3751069361,92.61,177,4983792,305899,91527,162,19526,0.91,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_cellulovorans","LKT__s__Clostridium_cellulovorans",81485072,100,3832554433,94.62,210,5199077,243421,51784,179,15354,0.99,1
