Genus,RA
Bordetella,0.3299830741464462
Clostridium,0.2518293625306614
Achromobacter,0.21767542738670365
Bacteroides,0.0791466341793969
Roseburia,0.07320025094105247
Phocaeicola,0.021588030842331934
Unclassified,0.00852267294868419
Ruminiclostridium,0.008468035864956201
Parabacteroides,0.0034898114399864863
Desulfocurvibacter,0.0028263869238999975
Butyrivibrio,0.0022649168669863808
Muribaculum,0.0007551447048288884
Leptospira,0.00010117351201351517
Dorea,8.562414591951618e-05
Bacillus,3.2383060950073376e-05
Cronobacter,5.706559664459541e-06
Butyricimonas,5.009055495813621e-06
Acetilactobacillus,4.514587684388025e-06
Echinicola,4.355872678317015e-06
Prevotella,3.681643409157327e-06
Barnesiella,2.8568701092781788e-06
Alistipes,1.510144808154586e-06
Clostridioides,1.2821003142522456e-06
Candidatus,1.0273144464721063e-06
Staphylococcus,7.138461193490197e-07
Sulfurimonas,3.21391697160953e-07
Burkholderia,6.635822406713052e-08
LKT,2.4760531368332282e-08
