genus,RA
Bordetella,0.36653399999999997
Clostridium,0.29083699999999996
Achromobacter,0.14740999999999999
Roseburia,0.087649
Bacteroides,0.079681
Ruminiclostridium,0.011951999999999997
Parabacteroides,0.007968
Butyrivibrio,0.003984
Desulfovibrio,0.003984
Acetoanaerobium,0.0
Paraburkholderia,0.0
Nonlabens,0.0
Odoribacter,0.0
Ornithobacterium,0.0
Peptoclostridium,0.0
Pasteurella,0.0
Pediococcus,0.0
Peptoniphilus,0.0
Petrimonas,0.0
Polaribacter,0.0
Polynucleobacter,0.0
Neisseria,0.0
Negativicoccus,0.0
Prevotella,0.0
Maribacter,0.0
Lactobacillus,0.0
Lactococcus,0.0
Lawsonia,0.0
Leptotrichia,0.0
Lutibacter,0.0
Mageeibacillus,0.0
Mannheimia,0.0
Marinilactibacillus,0.0
Myroides,0.0
Megasphaera,0.0
Methylobacterium,0.0
Mobiluncus,0.0
Moraxella,0.0
Mucinivorans,0.0
Muricauda,0.0
Mycoplasma,0.0
Porphyromonas,0.0
Riemerella,0.0
Propionibacterium,0.0
Tenacibaculum,0.0
Staphylococcus,0.0
Streptobacillus,0.0
Streptococcus,0.0
Sulfurospirillum,0.0
Tannerella,0.0
Taylorella,0.0
Treponema,0.0
Sphaerochaeta,0.0
Trueperella,0.0
Turicibacter,0.0
Veillonella,0.0
Weeksella,0.0
Winogradskyella,0.0
Zunongwangia,0.0
Spirochaeta,0.0
Snodgrassella,0.0
Pseudomonas,0.0
Salinispira,0.0
Ralstonia,0.0
Lachnoclostridium,0.0
Roseateles depolymerans,0.0
Rothia,0.0
Ruminococcus,0.0
Salegentibacter,0.0
Salmonella,0.0
Sneathia,0.0
Sebaldella,0.0
Sediminicola,0.0
Selenomonas,0.0
Seonamhaeicola,0.0
Siansivirga,0.0
Slackia,0.0
Lacinutrix,0.0
Jeotgalibaca,0.0
Klebsiella,0.0
Carnobacterium,0.0
Brevundimonas,0.0
Burkholderia,0.0
Campylobacter,0.0
Candidatus Arthromitus,0.0
Candidatus Symbiobacter,0.0
Capnocytophaga,0.0
Cellulophaga,0.0
Bifidobacterium,0.0
Cellulosilyticum,0.0
Chryseobacterium,0.0
Cloacibacillus,0.0
Clostridioides,0.0
Collimonas,0.0
Coraliomargarita,0.0
Blautia,0.0
Bibersteinia,0.0
Coriobacterium,0.0
Akkermansia,0.0
Actinobacillus,0.0
Actinomyces,0.0
Actinotignum,0.0
Aequorivita,0.0
Aerococcus,0.0
Aggregatibacter,0.0
Algibacter,0.0
Basfia,0.0
Alistipes,0.0
Alkaliphilus,0.0
Anaerotignum,0.0
Arcanobacterium,0.0
Arcobacter,0.0
Atopobium,0.0
Coriobacteriaceae bacterium 68-1-3,0.0
Corynebacterium,0.0
Kingella,0.0
Gemella sp. oral taxon 928,0.0
Flavobacteriaceae bacterium 3519-10,0.0
Flavobacterium,0.0
Formosa,0.0
Fusobacterium,0.0
Gallibacterium,0.0
Gardnerella,0.0
Geosporobacter,0.0
Fermentimonas,0.0
Gramella,0.0
Haemophilus,0.0
Histophilus,0.0
Ilyobacter,0.0
Janthinobacterium,0.0
Acetobacterium,0.0
Filifactor,0.0
Faecalibaculum,0.0
Croceibacter,0.0
Dichelobacter,0.0
Cryptobacterium,0.0
Cupriavidus,0.0
Deinococcus,0.0
Desulfitobacterium,0.0
Desulfotomaculum,0.0
Dialister,0.0
Eggerthella,0.0
Eubacterium,0.0
Elizabethkingia,0.0
Enterococcus,0.0
Erysipelothrix,0.0
Erysipelotrichaceae bacterium I46,0.0
Escherichia,0.0
Ethanoligenens,0.0
[Eubacterium] rectale,0.0
