Species,RA,TAX_ID
Bordetella petrii,0.19805511905721646,94624
Bordetella pseudohinzii,0.09437104771095385,1331258
Bordetella pertussis,0.0933868088686744,520
Bacteroides thetaiotaomicron,0.08451700509288333,818
Clostridium aceticum,0.0677343030905364,84022
Bacteroides fragilis,0.03365178922534804,817
Clostridium butyricum,0.03184881312834285,1492
Clostridium pasteurianum,0.024700466155796408,1501
Clostridium scatologenes,0.024446957371957338,1548
Clostridium botulinum,0.022160151951482986,1491
Bordetella bronchiseptica,0.01837229819409233,518
Phocaeicola salanitronis,0.012097114769674054,376805
Phocaeicola vulgatus,0.008466953087538746,821
Lachnoclostridium phytofermentans,0.008440340672552796,66219
Clostridium saccharobutylicum,0.008040733935562873,169679
Clostridium acetobutylicum,0.007884663835938726,1488
Eubacterium callanderi,0.007293543828124409,53442
Bordetella holmesii,0.006318916693289094,35814
Burkholderia multivorans,0.0060980877147600865,87883
Bordetella bronchialis,0.0060583793483815025,463025
Clostridium carboxidivorans,0.005687187221523304,217159
Escherichia coli,0.005653906684497986,562
Thermoclostridium stercorarium,0.005620145562100461,1510
Akkermansia muciniphila,0.005234595947247586,239935
Clostridium cellulovorans,0.005000130358782211,1493
Phocaeicola dorei,0.004703849476816742,357276
Bordetella parapertussis,0.004324006813258821,519
Ruminococcus albus,0.004268499202768941,1264
Odoribacter splanchnicus,0.004108704566510192,28118
Butyrivibrio hungatei,0.0032181798718110607,185008
Clostridium autoethanogenum,0.0027479871582782693,84023
Clostridium tetani,0.0021642561505616303,1513
Clostridium sporogenes,0.0021569272236354768,1509
Bordetella genomosp. 6,0.0018384793413769708,463024
Bifidobacterium animalis,0.0018336134144833773,28025
Erysipelothrix rhusiopathiae,0.001667931607415096,1648
Clostridium beijerinckii,0.0014040301649020574,1520
Bordetella hinzii,0.0007872589128462032,103855
Achromobacter xylosoxidans,0.0006967286433567542,85698
Bordetella genomosp. 13,0.0006506525207964309,463040
Cellulosilyticum lentocellum,0.0006336518132546167,29360
Bordetella trematum,0.0005800665442535626,123899
Bordetella avium,0.0004026103955662155,521
Clostridium sp. AWRP,0.0003548522242031684,2212991
Bordetella sp. N,0.00035100754122551435,1746199
Clostridium sp. 001,0.0003362295410301564,1970093
Bordetella genomosp. 9,0.00032890061410400324,1416803
Bordetella flabilis,0.00032799951653111556,463014
Bordetella genomosp. 8,0.00032751893115890877,1416806
Pseudomonas aeruginosa,0.0003234339554951513,287
Clostridium drakei,0.0002852274184047137,332101
Bordetella sp. H567,0.0002762164426758369,1697043
Petrimonas mucosa,0.00020665171004890796,1642646
Achromobacter denitrificans,0.0001587133191712834,32002
Proteiniphilum saccharofermentans,0.00014015070916979718,1642647
Achromobacter deleyi,0.00010164380622173032,1353891
Escherichia albertii,9.059034266097477e-05,208962
Achromobacter spanius,7.821526932665063e-05,217203
Eubacterium limosum,7.785483029749556e-05,1736
Escherichia marmotae,6.962480579845475e-05,1499973
Escherichia fergusonii,6.608048867842988e-05,564
Achromobacter sp. AONIH1,5.3825561687157425e-05,1758194
Bacteroides xylanisolvens,5.35251958295282e-05,371601
Salmonella enterica,5.040139091018424e-05,28901
Clostridium ljungdahlii,5.0101025052555015e-05,1538
Escherichia sp. E4742,4.938014699424487e-05,2044467
Achromobacter insolitus,4.577575670269415e-05,217204
Clostridium kluyveri,4.511495181590985e-05,1534
Parabacteroides distasonis,4.1750854210462515e-05,823
Shigella dysenteriae,3.3340610196844166e-05,622
Clostridium perfringens,3.1658561394120495e-05,1502
Stenotrophomonas maltophilia,3.0336951620551896e-05,40324
Achromobacter sp. B7,2.8835122332405762e-05,2282475
Achromobacter sp. MFA1 R4,2.8174317445621464e-05,1881016
Cupriavidus sp. USMAA2-4,2.7633658901888855e-05,876364
Achromobacter pestifer,2.7633658901888855e-05,1353889
Shigella flexneri,2.6972854015104557e-05,623
Pseudomonas oleovorans,2.541095155543258e-05,301
Clostridium sp. JN-1,2.5110585697803352e-05,2483110
Shigella boydii,2.4930366183225815e-05,621
Bacteroides eggerthii,2.4630000325596588e-05,28111
Variovorax sp. WDL1,2.4209488124915672e-05,207745
Pseudomonas putida,2.3128171037450458e-05,303
Alicycliphilus denitrificans,2.2767732008295383e-05,179636
Bacteroides ovatus,2.168641492083017e-05,28116
Bacteroides uniformis,2.078531734794249e-05,820
Ralstonia solanacearum,2.0304731975735725e-05,305
Alcaligenes aquatilis,2.024465880420988e-05,323284
Burkholderia cenocepacia,2.024465880420988e-05,95486
Klebsiella pneumoniae,1.9824146603528964e-05,573
Citrobacter freundii,1.9523780745899737e-05,546
Bacteroides cellulosilyticus,1.832231731538283e-05,246787
Xanthomonas citri,1.8021951457753603e-05,346
Clostridium tyrobutyricum,1.7841731943176066e-05,1519
Clostridium saccharoperbutylacetonicum,1.7841731943176066e-05,36745
